process,d,K,T_train,hall_gt,T,n_anchors,roundtrip_acc,model,arch,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,2,2,150,0.0274,150,1500,0.9580,analytic,analytic,0.9585,0.9799,0.9720,0.4603,0.2007,0.2795,0.6297
ddim,2,2,150,0.0274,150,1500,0.9580,knn,knn,0.9459,0.9612,0.9643,0.3294,0.4033,0.3626,0.6619
ddim,2,2,150,0.0274,150,1500,0.9580,altered_knn,altered_knn,0.9211,0.9364,0.9514,0.1795,0.3796,0.2437,0.5900
ddim,2,2,150,0.0274,150,1500,0.9580,kernel,kernel,0.9506,0.9678,0.9659,0.3975,0.3431,0.3683,0.6680
ddim,2,2,150,0.0274,150,1500,0.9580,linear,linear,0.7170,0.7154,0.8314,0.0711,0.7737,0.1303,0.4229
ddim,2,2,150,0.0274,150,1500,0.9580,quadratic,quadratic,0.9541,0.9739,0.9702,0.3433,0.2518,0.2905,0.6322
ddim,2,2,150,0.0274,150,1500,0.9580,polar2,polar,0.9541,0.9727,0.9697,0.3704,0.2920,0.3265,0.6496
ddim,2,2,150,0.0274,150,1500,0.9580,polar3,polar,0.9538,0.9720,0.9695,0.3731,0.3084,0.3377,0.6548
ddim,2,2,150,0.0274,150,1500,0.9580,polar8,polar,0.9530,0.9730,0.9690,0.3401,0.2445,0.2845,0.6287
ddim,2,2,150,0.0274,150,1500,0.9580,mlp,mlp,0.9539,0.9734,0.9695,0.3655,0.2628,0.3057,0.6396
ddim,2,4,150,0.0297,150,3000,0.8600,analytic,analytic,0.9298,0.9507,0.9435,0.4728,0.2492,0.3264,0.6385
ddim,2,4,150,0.0297,150,3000,0.8600,knn,knn,0.9014,0.9184,0.9239,0.2393,0.3468,0.2832,0.6008
ddim,2,4,150,0.0297,150,3000,0.8600,altered_knn,altered_knn,0.8923,0.9165,0.9219,0.0707,0.1010,0.0832,0.4998
ddim,2,4,150,0.0297,150,3000,0.8600,kernel,kernel,0.9086,0.9255,0.9308,0.2527,0.3552,0.2953,0.6104
ddim,2,4,150,0.0297,150,3000,0.8600,linear,linear,0.2162,0.2041,0.2787,0.0230,0.6111,0.0443,0.1242
ddim,2,4,150,0.0297,150,3000,0.8600,quadratic,quadratic,0.9154,0.9325,0.9331,0.3344,0.3569,0.3453,0.6389
ddim,2,4,150,0.0297,150,3000,0.8600,polar2,polar,0.9086,0.9253,0.9310,0.2449,0.3653,0.2932,0.6093
ddim,2,4,150,0.0297,150,3000,0.8600,polar3,polar,0.9221,0.9386,0.9415,0.3128,0.3838,0.3447,0.6416
ddim,2,4,150,0.0297,150,3000,0.8600,polar8,polar,0.9251,0.9418,0.9424,0.3538,0.3788,0.3659,0.6538
ddim,2,4,150,0.0297,150,3000,0.8600,mlp,mlp,0.9337,0.9517,0.9466,0.5024,0.3468,0.4104,0.6810
ddim,2,8,150,0.0342,150,6000,0.8218,analytic,analytic,0.8619,0.8869,0.8796,0.2753,0.1552,0.1985,0.5427
ddim,2,8,150,0.0342,150,6000,0.8218,knn,knn,0.8306,0.8498,0.8618,0.1589,0.2884,0.2049,0.5274
ddim,2,8,150,0.0342,150,6000,0.8218,altered_knn,altered_knn,0.8492,0.8776,0.8689,0.0937,0.0454,0.0611,0.4694
ddim,2,8,150,0.0342,150,6000,0.8218,kernel,kernel,0.0342,0.0000,0.0000,0.0341,1.0000,0.0660,0.0330
ddim,2,8,150,0.0342,150,6000,0.8218,linear,linear,0.1072,0.0883,0.1318,0.0244,0.6413,0.0470,0.0677
ddim,2,8,150,0.0342,150,6000,0.8218,quadratic,quadratic,0.8238,0.8414,0.8627,0.1320,0.3250,0.1877,0.5146
ddim,2,8,150,0.0342,150,6000,0.8218,polar2,polar,0.8122,0.8295,0.8481,0.1387,0.3236,0.1942,0.5118
ddim,2,8,150,0.0342,150,6000,0.8218,polar3,polar,0.8431,0.8620,0.8700,0.1914,0.3060,0.2355,0.5488
ddim,2,8,150,0.0342,150,6000,0.8218,polar8,polar,0.8588,0.8797,0.8802,0.2460,0.2679,0.2565,0.5681
ddim,2,8,150,0.0342,150,6000,0.8218,mlp,mlp,0.8650,0.8876,0.8818,0.3370,0.2255,0.2702,0.5789
ddim,2,16,150,0.0522,150,12000,0.8516,analytic,analytic,0.7686,0.8055,0.7895,0.3614,0.0986,0.1549,0.4802
ddim,2,16,150,0.0522,150,12000,0.8516,knn,knn,0.7423,0.7704,0.7735,0.2094,0.2335,0.2208,0.4956
ddim,2,16,150,0.0522,150,12000,0.8516,altered_knn,altered_knn,0.7068,0.7355,0.7597,0.0876,0.1866,0.1192,0.4274
ddim,2,16,150,0.0522,150,12000,0.8516,kernel,kernel,0.0522,0.0000,0.0000,0.0522,1.0000,0.0993,0.0497
ddim,2,16,150,0.0522,150,12000,0.8516,linear,linear,0.0685,0.0216,0.0431,0.0495,0.9206,0.0940,0.0578
ddim,2,16,150,0.0522,150,12000,0.8516,quadratic,quadratic,0.7089,0.7190,0.7604,0.1778,0.5273,0.2659,0.4924
ddim,2,16,150,0.0522,150,12000,0.8516,polar2,polar,0.7623,0.7910,0.7835,0.3351,0.2411,0.2805,0.5357
ddim,2,16,150,0.0522,150,12000,0.8516,polar3,polar,0.7729,0.8046,0.7951,0.3224,0.1981,0.2454,0.5250
ddim,2,16,150,0.0522,150,12000,0.8516,polar8,polar,0.7708,0.8034,0.7922,0.3650,0.1799,0.2410,0.5222
ddim,2,16,150,0.0522,150,12000,0.8516,mlp,mlp,0.7605,0.7951,0.7822,0.3491,0.1340,0.1936,0.4944
ddim,4,2,150,0.0306,150,1500,0.9620,analytic,analytic,0.9645,0.9867,0.9768,0.7306,0.2610,0.3846,0.6857
ddim,4,2,150,0.0306,150,1500,0.9620,knn,knn,0.8705,0.8925,0.8821,0.6815,0.1746,0.2779,0.5852
ddim,4,2,150,0.0306,150,1500,0.9620,altered_knn,altered_knn,0.9009,0.9263,0.9288,0.0824,0.0962,0.0888,0.5076
ddim,4,2,150,0.0306,150,1500,0.9620,kernel,kernel,0.8968,0.9201,0.9085,0.7840,0.1599,0.2656,0.5928
ddim,4,2,150,0.0306,150,1500,0.9620,linear,linear,0.6849,0.6928,0.8099,0.0428,0.4339,0.0779,0.3853
ddim,4,2,150,0.0306,150,1500,0.9620,quadratic,quadratic,0.9653,0.9840,0.9769,0.6958,0.3768,0.4889,0.7364
ddim,4,2,150,0.0306,150,1500,0.9620,polar2,polar,0.9664,0.9821,0.9774,0.6737,0.4715,0.5547,0.7684
ddim,4,2,150,0.0306,150,1500,0.9620,polar3,polar,0.9669,0.9818,0.9780,0.6587,0.4976,0.5669,0.7744
ddim,4,2,150,0.0306,150,1500,0.9620,polar8,polar,0.9612,0.9781,0.9736,0.6051,0.4274,0.5010,0.7395
ddim,4,2,150,0.0306,150,1500,0.9620,mlp,mlp,0.9645,0.9801,0.9763,0.6239,0.4682,0.5349,0.7575
ddim,4,4,150,0.0205,150,3000,0.9150,analytic,analytic,0.8855,0.8999,0.8959,0.2842,0.1976,0.2331,0.5665
ddim,4,4,150,0.0205,150,3000,0.9150,knn,knn,0.7558,0.7681,0.7707,0.1434,0.1707,0.1559,0.4620
ddim,4,4,150,0.0205,150,3000,0.9150,altered_knn,altered_knn,0.7989,0.8138,0.8195,0.0515,0.0902,0.0655,0.4397
ddim,4,4,150,0.0205,150,3000,0.9150,kernel,kernel,0.7968,0.8102,0.8085,0.2443,0.1561,0.1905,0.5003
ddim,4,4,150,0.0205,150,3000,0.9150,linear,linear,0.2678,0.2566,0.3394,0.0226,0.8073,0.0439,0.1502
ddim,4,4,150,0.0205,150,3000,0.9150,quadratic,quadratic,0.8714,0.8840,0.8829,0.2716,0.2683,0.2699,0.5770
ddim,4,4,150,0.0205,150,3000,0.9150,polar2,polar,0.8770,0.8890,0.8921,0.2013,0.3024,0.2417,0.5654
ddim,4,4,150,0.0205,150,3000,0.9150,polar3,polar,0.8805,0.8925,0.8949,0.2126,0.3049,0.2505,0.5715
ddim,4,4,150,0.0205,150,3000,0.9150,polar8,polar,0.8817,0.8945,0.8961,0.2040,0.2732,0.2336,0.5640
ddim,4,4,150,0.0205,150,3000,0.9150,mlp,mlp,0.8808,0.8932,0.8947,0.2204,0.2902,0.2505,0.5718
ddim,4,8,150,0.0290,150,6000,0.8873,analytic,analytic,0.8810,0.9014,0.8938,0.3979,0.1983,0.2647,0.5831
ddim,4,8,150,0.0290,150,6000,0.8873,knn,knn,0.7024,0.7135,0.7333,0.1178,0.3328,0.1740,0.4437
