T,model,n_cells,mean_full_acc,mean_mode_acc,mean_mode_f1,mean_hall_prec,mean_hall_rec,mean_hall_f1,mean_balanced
50,altered_knn,20,0.6598,0.6641,0.7618,0.0626,0.5316,0.1075,0.3858
50,analytic,20,0.8360,0.8407,0.8798,0.1897,0.7069,0.2857,0.5632
50,kernel,20,0.4289,0.4166,0.4244,0.1097,0.6465,0.1115,0.2640
50,knn,20,0.6977,0.7098,0.7180,0.1988,0.2735,0.1745,0.4421
50,linear,20,0.4327,0.4279,0.5473,0.0300,0.5332,0.0564,0.2421
50,mlp,20,0.7797,0.7829,0.8358,0.1571,0.7047,0.2349,0.5089
50,polar2,20,0.7506,0.7521,0.8185,0.1336,0.7287,0.2097,0.4809
50,polar3,20,0.7664,0.7684,0.8304,0.1417,0.7282,0.2207,0.4945
50,polar8,20,0.7804,0.7832,0.8355,0.1552,0.7161,0.2369,0.5100
50,quadratic,20,0.7670,0.7710,0.8188,0.1439,0.6375,0.2257,0.4984
100,altered_knn,20,0.7701,0.7867,0.8088,0.0774,0.2086,0.1056,0.4461
100,analytic,20,0.8932,0.9096,0.9052,0.4982,0.3773,0.4194,0.6645
100,kernel,20,0.4255,0.4142,0.4182,0.1486,0.6076,0.1022,0.2582
100,knn,20,0.6717,0.6859,0.6872,0.1912,0.1781,0.1433,0.4146
100,linear,20,0.3738,0.3651,0.4775,0.0299,0.5932,0.0564,0.2108
100,mlp,20,0.8672,0.8791,0.8836,0.3449,0.4962,0.3901,0.6346
100,polar2,20,0.8592,0.8685,0.8811,0.2856,0.5748,0.3640,0.6163
100,polar3,20,0.8626,0.8727,0.8828,0.2982,0.5524,0.3723,0.6225
100,polar8,20,0.8516,0.8633,0.8689,0.3202,0.4787,0.3717,0.6175
100,quadratic,20,0.8310,0.8424,0.8546,0.2786,0.4500,0.3294,0.5859
150,altered_knn,20,0.7580,0.7751,0.7990,0.0813,0.1982,0.0936,0.4344
150,analytic,20,0.8935,0.9130,0.9048,0.5963,0.2691,0.3632,0.6381
150,kernel,20,0.4235,0.4125,0.4155,0.1032,0.5938,0.0931,0.2528
150,knn,20,0.6615,0.6764,0.6763,0.1987,0.1483,0.1273,0.4018
150,linear,20,0.3540,0.3441,0.4523,0.0298,0.6130,0.0564,0.2002
150,mlp,20,0.8741,0.8897,0.8868,0.4412,0.3727,0.3931,0.6414
150,polar2,20,0.8705,0.8830,0.8857,0.3796,0.4752,0.4088,0.6459
150,polar3,20,0.8713,0.8849,0.8858,0.3883,0.4372,0.4013,0.6431
150,polar8,20,0.8549,0.8701,0.8685,0.3924,0.3568,0.3648,0.6175
150,quadratic,20,0.8400,0.8542,0.8597,0.3480,0.3644,0.3347,0.5945
200,altered_knn,20,0.7597,0.7766,0.7991,0.0810,0.1959,0.0973,0.4370
200,analytic,20,0.8935,0.9138,0.9047,0.6270,0.2409,0.3413,0.6275
200,kernel,20,0.4224,0.4115,0.4142,0.1099,0.5891,0.0901,0.2508
200,knn,20,0.6561,0.6711,0.6705,0.1916,0.1369,0.1194,0.3953
200,linear,20,0.3449,0.3343,0.4404,0.0299,0.6247,0.0566,0.1955
200,mlp,20,0.8751,0.8927,0.8872,0.4929,0.3084,0.3677,0.6302
200,polar2,20,0.8727,0.8874,0.8865,0.4290,0.4062,0.4047,0.6460
200,polar3,20,0.8724,0.8880,0.8856,0.4396,0.3715,0.3925,0.6402
200,polar8,20,0.8554,0.8723,0.8683,0.4299,0.3010,0.3433,0.6078
200,quadratic,20,0.8427,0.8583,0.8613,0.3850,0.3194,0.3219,0.5901
250,altered_knn,20,0.7443,0.7598,0.7919,0.0844,0.2406,0.0966,0.4282
250,analytic,20,0.8936,0.9141,0.9046,0.6472,0.2309,0.3338,0.6239
250,kernel,20,0.4218,0.4110,0.4134,0.1124,0.5860,0.0879,0.2494
250,knn,20,0.6527,0.6678,0.6670,0.1943,0.1311,0.1156,0.3917
250,linear,20,0.3390,0.3280,0.4327,0.0299,0.6305,0.0566,0.1923
250,mlp,20,0.8754,0.8940,0.8873,0.5237,0.2721,0.3454,0.6197
250,polar2,20,0.8727,0.8886,0.8861,0.4548,0.3624,0.3903,0.6395
250,polar3,20,0.8727,0.8892,0.8853,0.4763,0.3354,0.3827,0.6360
250,polar8,20,0.8551,0.8729,0.8676,0.4538,0.2680,0.3245,0.5987
250,quadratic,20,0.8442,0.8606,0.8623,0.4108,0.2937,0.3115,0.5860
300,altered_knn,20,0.7596,0.7767,0.8010,0.0813,0.2045,0.0934,0.4351
300,analytic,20,0.8936,0.9143,0.9047,0.6553,0.2272,0.3308,0.6225
300,kernel,20,0.4214,0.4106,0.4128,0.1133,0.5842,0.0864,0.2485
300,knn,20,0.6504,0.6657,0.6646,0.1943,0.1263,0.1125,0.3891
300,linear,20,0.3350,0.3238,0.4274,0.0298,0.6343,0.0565,0.1902
300,mlp,20,0.8746,0.8939,0.8864,0.5413,0.2443,0.3237,0.6088
300,polar2,20,0.8726,0.8892,0.8860,0.4683,0.3349,0.3764,0.6328
300,polar3,20,0.8726,0.8898,0.8850,0.5007,0.3097,0.3705,0.6302
300,polar8,20,0.8543,0.8726,0.8668,0.4683,0.2496,0.3113,0.5919
300,quadratic,20,0.8449,0.8618,0.8627,0.4271,0.2761,0.3012,0.5815
350,altered_knn,20,0.7606,0.7776,0.8010,0.0787,0.1982,0.0921,0.4349
350,analytic,20,0.8937,0.9144,0.9047,0.6609,0.2260,0.3303,0.6224
350,kernel,20,0.4211,0.4104,0.4125,0.1146,0.5822,0.0847,0.2475
350,knn,20,0.6489,0.6641,0.6629,0.1956,0.1233,0.1100,0.3871
350,linear,20,0.3322,0.3209,0.4237,0.0298,0.6373,0.0565,0.1887
350,mlp,20,0.8748,0.8946,0.8867,0.5519,0.2285,0.3090,0.6018
350,polar2,20,0.8722,0.8894,0.8856,0.4713,0.3139,0.3620,0.6257
350,polar3,20,0.8723,0.8901,0.8846,0.5180,0.2921,0.3601,0.6251
350,polar8,20,0.8541,0.8728,0.8665,0.4742,0.2347,0.2989,0.5858
350,quadratic,20,0.8455,0.8627,0.8632,0.4388,0.2638,0.2932,0.5780
400,altered_knn,20,0.7715,0.7897,0.8051,0.0939,0.1614,0.0863,0.4380
400,analytic,20,0.8938,0.9144,0.9047,0.6666,0.2268,0.3320,0.6232
400,kernel,20,0.4208,0.4101,0.4121,0.1170,0.5814,0.0839,0.2470
