process,d,K,T_train,hall_gt,T,n_anchors,roundtrip_acc,model,arch,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
flow,2,2,150,0.0144,550,1500,0.9953,analytic,analytic,0.9833,0.9924,0.9899,0.5556,0.3633,0.4393,0.7159
flow,2,2,150,0.0144,550,1500,0.9953,knn,knn,0.9595,0.9673,0.9720,0.2610,0.4325,0.3255,0.6464
flow,2,2,150,0.0144,550,1500,0.9953,altered_knn,altered_knn,0.9373,0.9480,0.9584,0.0846,0.2111,0.1208,0.5344
flow,2,2,150,0.0144,550,1500,0.9953,kernel,kernel,0.9664,0.9751,0.9742,0.4320,0.3737,0.4007,0.6879
flow,2,2,150,0.0144,550,1500,0.9953,linear,linear,0.6899,0.6917,0.8144,0.0264,0.5709,0.0505,0.3711
flow,2,2,150,0.0144,550,1500,0.9953,quadratic,quadratic,0.9806,0.9899,0.9878,0.4878,0.3460,0.4049,0.6974
flow,2,2,150,0.0144,550,1500,0.9953,polar2,polar,0.9830,0.9915,0.9897,0.5370,0.4014,0.4594,0.7255
flow,2,2,150,0.0144,550,1500,0.9953,polar3,polar,0.9826,0.9915,0.9897,0.5046,0.3772,0.4317,0.7116
flow,2,2,150,0.0144,550,1500,0.9953,polar8,polar,0.9826,0.9918,0.9895,0.5200,0.3599,0.4254,0.7086
flow,2,2,150,0.0144,550,1500,0.9953,mlp,mlp,0.9833,0.9921,0.9897,0.5663,0.3841,0.4577,0.7249
flow,2,4,150,0.0151,550,3000,0.9243,analytic,analytic,0.9724,0.9828,0.9804,0.4363,0.2947,0.3518,0.6673
flow,2,4,150,0.0151,550,3000,0.9243,knn,knn,0.9282,0.9373,0.9468,0.1465,0.3411,0.2050,0.5711
flow,2,4,150,0.0151,550,3000,0.9243,altered_knn,altered_knn,0.9221,0.9358,0.9314,0.0762,0.0265,0.0393,0.4876
flow,2,4,150,0.0151,550,3000,0.9243,kernel,kernel,0.9339,0.9431,0.9524,0.1474,0.3344,0.2047,0.5739
flow,2,4,150,0.0151,550,3000,0.9243,linear,linear,0.1790,0.1703,0.2529,0.0136,0.7483,0.0268,0.0986
flow,2,4,150,0.0151,550,3000,0.9243,quadratic,quadratic,0.9487,0.9580,0.9609,0.2452,0.3377,0.2841,0.6211
flow,2,4,150,0.0151,550,3000,0.9243,polar2,polar,0.9409,0.9504,0.9600,0.1400,0.3245,0.1956,0.5730
flow,2,4,150,0.0151,550,3000,0.9243,polar3,polar,0.9569,0.9662,0.9713,0.2102,0.3543,0.2639,0.6150
flow,2,4,150,0.0151,550,3000,0.9243,polar8,polar,0.9640,0.9727,0.9761,0.2746,0.3974,0.3248,0.6488
flow,2,4,150,0.0151,550,3000,0.9243,mlp,mlp,0.9699,0.9800,0.9787,0.3750,0.3079,0.3382,0.6591
flow,2,8,150,0.0299,550,6000,0.8940,analytic,analytic,0.8958,0.9169,0.9084,0.5272,0.2107,0.3011,0.6090
flow,2,8,150,0.0299,550,6000,0.8940,knn,knn,0.8602,0.8767,0.8875,0.1812,0.3261,0.2330,0.5548
flow,2,8,150,0.0299,550,6000,0.8940,altered_knn,altered_knn,0.8636,0.8890,0.8766,0.3636,0.0401,0.0723,0.4807
flow,2,8,150,0.0299,550,6000,0.8940,kernel,kernel,0.0299,0.0000,0.0000,0.0299,1.0000,0.0581,0.0290
flow,2,8,150,0.0299,550,6000,0.8940,linear,linear,0.0913,0.0695,0.1129,0.0258,0.7977,0.0501,0.0598
flow,2,8,150,0.0299,550,6000,0.8940,quadratic,quadratic,0.8498,0.8640,0.8856,0.1543,0.3880,0.2207,0.5424
flow,2,8,150,0.0299,550,6000,0.8940,polar2,polar,0.8381,0.8528,0.8720,0.1449,0.3629,0.2071,0.5299
flow,2,8,150,0.0299,550,6000,0.8940,polar3,polar,0.8703,0.8872,0.8951,0.1990,0.3227,0.2462,0.5667
flow,2,8,150,0.0299,550,6000,0.8940,polar8,polar,0.8914,0.9091,0.9091,0.3111,0.3194,0.3152,0.6121
flow,2,8,150,0.0299,550,6000,0.8940,mlp,mlp,0.8946,0.9153,0.9080,0.4455,0.2258,0.2997,0.6075
flow,2,16,150,0.0193,550,12000,0.9066,analytic,analytic,0.8773,0.8901,0.8856,0.4944,0.2280,0.3121,0.6011
flow,2,16,150,0.0193,550,12000,0.9066,knn,knn,0.8297,0.8383,0.8537,0.1430,0.3938,0.2098,0.5240
flow,2,16,150,0.0193,550,12000,0.9066,altered_knn,altered_knn,0.8025,0.8128,0.8509,0.0510,0.2798,0.0863,0.4496
flow,2,16,150,0.0193,550,12000,0.9066,kernel,kernel,0.0193,0.0000,0.0000,0.0193,1.0000,0.0379,0.0189
flow,2,16,150,0.0193,550,12000,0.9066,linear,linear,0.0252,0.0101,0.0198,0.0155,0.7902,0.0304,0.0203
flow,2,16,150,0.0193,550,12000,0.9066,quadratic,quadratic,0.7774,0.7827,0.8407,0.0635,0.5104,0.1129,0.4478
flow,2,16,150,0.0193,550,12000,0.9066,polar2,polar,0.8493,0.8589,0.8634,0.2434,0.3601,0.2905,0.5747
flow,2,16,150,0.0193,550,12000,0.9066,polar3,polar,0.8675,0.8778,0.8794,0.2854,0.3446,0.3122,0.5950
flow,2,16,150,0.0193,550,12000,0.9066,polar8,polar,0.8747,0.8857,0.8851,0.3343,0.3135,0.3235,0.6046
flow,2,16,150,0.0193,550,12000,0.9066,mlp,mlp,0.8664,0.8786,0.8762,0.3887,0.2487,0.3033,0.5909
flow,4,2,150,0.0192,550,1500,0.9967,analytic,analytic,0.9552,0.9667,0.9616,0.8057,0.3681,0.5054,0.7360
flow,4,2,150,0.0192,550,1500,0.9967,knn,knn,0.8556,0.8698,0.8628,0.7656,0.1279,0.2192,0.5445
flow,4,2,150,0.0192,550,1500,0.9967,altered_knn,altered_knn,0.7438,0.7480,0.8500,0.0400,0.5274,0.0744,0.4112
flow,4,2,150,0.0192,550,1500,0.9967,kernel,kernel,0.8677,0.8827,0.8749,0.9500,0.0992,0.1797,0.5312
flow,4,2,150,0.0192,550,1500,0.9967,linear,linear,0.6736,0.6783,0.8042,0.0257,0.4334,0.0484,0.3634
flow,4,2,150,0.0192,550,1500,0.9967,quadratic,quadratic,0.9512,0.9641,0.9578,0.8661,0.2872,0.4314,0.6977
flow,4,2,150,0.0192,550,1500,0.9967,polar2,polar,0.9538,0.9663,0.9607,0.7707,0.3159,0.4481,0.7072
flow,4,2,150,0.0192,550,1500,0.9967,polar3,polar,0.9540,0.9661,0.9609,0.7356,0.3342,0.4596,0.7129
flow,4,2,150,0.0192,550,1500,0.9967,polar8,polar,0.9546,0.9675,0.9628,0.5926,0.2924,0.3916,0.6796
flow,4,2,150,0.0192,550,1500,0.9967,mlp,mlp,0.9552,0.9671,0.9622,0.7151,0.3473,0.4675,0.7173
flow,4,4,150,0.0138,550,3000,0.9677,analytic,analytic,0.9215,0.9286,0.9269,0.5897,0.4167,0.4883,0.7084
flow,4,4,150,0.0138,550,3000,0.9677,knn,knn,0.7440,0.7514,0.7548,0.2068,0.2210,0.2137,0.4825
flow,4,4,150,0.0138,550,3000,0.9677,altered_knn,altered_knn,0.8204,0.8301,0.8487,0.0330,0.1304,0.0527,0.4414
flow,4,4,150,0.0138,550,3000,0.9677,kernel,kernel,0.7836,0.7913,0.7916,0.5702,0.2355,0.3333,0.5623
flow,4,4,150,0.0138,550,3000,0.9677,linear,linear,0.2253,0.2196,0.3085,0.0113,0.6341,0.0222,0.1209
flow,4,4,150,0.0138,550,3000,0.9677,quadratic,quadratic,0.8993,0.9072,0.9054,0.5434,0.3406,0.4187,0.6629
flow,4,4,150,0.0138,550,3000,0.9677,polar2,polar,0.9082,0.9150,0.9168,0.3188,0.4239,0.3639,0.6394
flow,4,4,150,0.0138,550,3000,0.9677,polar3,polar,0.9148,0.9214,0.9220,0.3856,0.4457,0.4134,0.6674
flow,4,4,150,0.0138,550,3000,0.9677,polar8,polar,0.9172,0.9241,0.9253,0.3565,0.4275,0.3888,0.6564
flow,4,4,150,0.0138,550,3000,0.9677,mlp,mlp,0.9185,0.9260,0.9265,0.3643,0.3841,0.3739,0.6499
flow,4,8,150,0.0158,550,6000,0.9530,analytic,analytic,0.9437,0.9540,0.9506,0.5337,0.3016,0.3854,0.6697
flow,4,8,150,0.0158,550,6000,0.9530,knn,knn,0.6966,0.7026,0.7252,0.0655,0.3175,0.1086,0.4056
flow,4,8,150,0.0158,550,6000,0.9530,altered_knn,altered_knn,0.7860,0.7940,0.8306,0.0437,0.2857,0.0758,0.4349
flow,4,8,150,0.0158,550,6000,0.9530,kernel,kernel,0.0158,0.0000,0.0000,0.0158,1.0000,0.0310,0.0155
