T,model,n_cells,mean_full_acc,mean_mode_acc,mean_mode_f1,mean_hall_prec,mean_hall_rec,mean_hall_f1,mean_balanced
50,altered_knn,20,0.7960,0.8107,0.8209,0.0804,0.1236,0.0714,0.4410
50,analytic,20,0.9243,0.9424,0.9341,0.6341,0.1120,0.1754,0.5589
50,kernel,20,0.4211,0.4139,0.4174,0.1029,0.6200,0.0980,0.2560
50,knn,20,0.6663,0.6764,0.6795,0.1990,0.1958,0.1359,0.4062
50,linear,20,0.3507,0.3443,0.4534,0.0206,0.5909,0.0396,0.1920
50,mlp,20,0.9028,0.9135,0.9125,0.4626,0.4265,0.4342,0.6739
50,polar2,20,0.8982,0.9067,0.9108,0.3860,0.5239,0.4327,0.6697
50,polar3,20,0.8981,0.9073,0.9095,0.4020,0.4946,0.4351,0.6712
50,polar8,20,0.8795,0.8899,0.8901,0.4000,0.4110,0.3964,0.6431
50,quadratic,20,0.8654,0.8758,0.8834,0.3494,0.4060,0.3463,0.6110
100,altered_knn,20,0.7742,0.7871,0.8121,0.0803,0.1867,0.0799,0.4335
100,analytic,20,0.9263,0.9427,0.9352,0.6950,0.1981,0.2977,0.6202
100,kernel,20,0.4196,0.4126,0.4154,0.1131,0.6058,0.0908,0.2517
100,knn,20,0.6579,0.6684,0.6707,0.1857,0.1669,0.1194,0.3939
100,linear,20,0.3308,0.3233,0.4280,0.0207,0.6145,0.0398,0.1816
100,mlp,20,0.9039,0.9175,0.9130,0.5585,0.3016,0.3703,0.6439
100,polar2,20,0.9002,0.9117,0.9114,0.4575,0.3868,0.3990,0.6554
100,polar3,20,0.8997,0.9116,0.9096,0.5057,0.3681,0.4075,0.6596
100,polar8,20,0.8805,0.8931,0.8902,0.4727,0.3120,0.3543,0.6237
100,quadratic,20,0.8700,0.8824,0.8864,0.4317,0.3206,0.3208,0.6016
150,altered_knn,20,0.7728,0.7851,0.8125,0.0770,0.2103,0.0809,0.4330
150,analytic,20,0.9271,0.9427,0.9356,0.7058,0.2355,0.3445,0.6436
150,kernel,20,0.4191,0.4122,0.4150,0.1152,0.6015,0.0879,0.2501
150,knn,20,0.6552,0.6658,0.6678,0.1603,0.1582,0.1126,0.3892
150,linear,20,0.3241,0.3163,0.4192,0.0207,0.6220,0.0399,0.1781
150,mlp,20,0.9035,0.9178,0.9127,0.5754,0.2648,0.3381,0.6280
150,polar2,20,0.8995,0.9120,0.9109,0.4592,0.3433,0.3695,0.6407
150,polar3,20,0.8994,0.9122,0.9093,0.5298,0.3263,0.3794,0.6458
150,polar8,20,0.8808,0.8941,0.8904,0.4915,0.2813,0.3329,0.6135
150,quadratic,20,0.8707,0.8837,0.8869,0.4593,0.2919,0.3027,0.5932
200,altered_knn,20,0.7805,0.7936,0.8156,0.0785,0.1817,0.0786,0.4361
200,analytic,20,0.9275,0.9426,0.9358,0.7046,0.2608,0.3732,0.6579
200,kernel,20,0.4188,0.4119,0.4146,0.1182,0.6005,0.0869,0.2494
200,knn,20,0.6536,0.6643,0.6663,0.1643,0.1545,0.1100,0.3872
200,linear,20,0.3211,0.3132,0.4153,0.0207,0.6256,0.0399,0.1765
200,mlp,20,0.9030,0.9178,0.9123,0.5778,0.2450,0.3177,0.6177
200,polar2,20,0.8991,0.9120,0.9106,0.4551,0.3217,0.3515,0.6318
200,polar3,20,0.8993,0.9125,0.9092,0.5446,0.3089,0.3670,0.6397
200,polar8,20,0.8805,0.8941,0.8902,0.5024,0.2686,0.3229,0.6085
200,quadratic,20,0.8711,0.8843,0.8871,0.4733,0.2799,0.2940,0.5892
250,altered_knn,20,0.7749,0.7873,0.8140,0.0754,0.2135,0.0825,0.4349
250,analytic,20,0.9277,0.9425,0.9359,0.7042,0.2750,0.3883,0.6654
250,kernel,20,0.4186,0.4117,0.4143,0.1178,0.5980,0.0849,0.2483
250,knn,20,0.6527,0.6634,0.6654,0.1625,0.1516,0.1084,0.3859
250,linear,20,0.3193,0.3113,0.4129,0.0207,0.6277,0.0399,0.1756
250,mlp,20,0.9040,0.9189,0.9133,0.5872,0.2350,0.3089,0.6139
250,polar2,20,0.8988,0.9120,0.9104,0.4526,0.3095,0.3410,0.6265
250,polar3,20,0.8992,0.9127,0.9091,0.5543,0.2973,0.3580,0.6354
250,polar8,20,0.8811,0.8949,0.8908,0.5117,0.2605,0.3156,0.6052
250,quadratic,20,0.8713,0.8847,0.8872,0.4801,0.2721,0.2875,0.5861
300,altered_knn,20,0.7792,0.7921,0.8156,0.0648,0.1921,0.0807,0.4364
300,analytic,20,0.9279,0.9425,0.9360,0.7024,0.2844,0.3978,0.6702
300,kernel,20,0.4184,0.4116,0.4141,0.1179,0.5975,0.0844,0.2480
300,knn,20,0.6521,0.6629,0.6647,0.1628,0.1501,0.1075,0.3852
300,linear,20,0.3181,0.3100,0.4113,0.0208,0.6302,0.0400,0.1750
300,mlp,20,0.9035,0.9186,0.9129,0.5887,0.2278,0.3010,0.6098
300,polar2,20,0.8986,0.9120,0.9103,0.4460,0.3005,0.3322,0.6221
300,polar3,20,0.8993,0.9129,0.9091,0.5616,0.2910,0.3527,0.6328
300,polar8,20,0.8806,0.8945,0.8903,0.5129,0.2537,0.3084,0.6015
300,quadratic,20,0.8714,0.8850,0.8874,0.4865,0.2666,0.2825,0.5838
350,altered_knn,20,0.7765,0.7891,0.8146,0.0725,0.2080,0.0838,0.4365
350,analytic,20,0.9281,0.9424,0.9361,0.7005,0.2923,0.4055,0.6740
350,kernel,20,0.4183,0.4115,0.4140,0.1176,0.5964,0.0832,0.2473
350,knn,20,0.6516,0.6624,0.6642,0.1630,0.1486,0.1066,0.3845
350,linear,20,0.3172,0.3090,0.4101,0.0208,0.6310,0.0400,0.1745
350,mlp,20,0.9040,0.9192,0.9134,0.5845,0.2233,0.2952,0.6072
350,polar2,20,0.8983,0.9118,0.9101,0.4420,0.2941,0.3253,0.6186
350,polar3,20,0.8991,0.9128,0.9090,0.5638,0.2850,0.3472,0.6300
350,polar8,20,0.8808,0.8948,0.8905,0.5104,0.2496,0.3044,0.5996
350,quadratic,20,0.8715,0.8851,0.8874,0.4903,0.2620,0.2787,0.5819
400,altered_knn,20,0.7774,0.7902,0.8141,0.0713,0.1924,0.0799,0.4351
400,analytic,20,0.9282,0.9424,0.9362,0.7016,0.2977,0.4112,0.6768
400,kernel,20,0.4183,0.4114,0.4139,0.1183,0.5962,0.0833,0.2473
400,knn,20,0.6513,0.6620,0.6639,0.1623,0.1472,0.1058,0.3839
400,linear,20,0.3166,0.3084,0.4093,0.0208,0.6319,0.0400,0.1742
400,mlp,20,0.9041,0.9193,0.9135,0.5901,0.2222,0.2955,0.6074
400,polar2,20,0.8982,0.9118,0.9101,0.4404,0.2903,0.3217,0.6167
400,polar3,20,0.8990,0.9128,0.9089,0.5665,0.2825,0.3451,0.6290
400,polar8,20,0.8798,0.8938,0.8895,0.5082,0.2480,0.3023,0.5981
400,quadratic,20,0.8715,0.8852,0.8874,0.4927,0.2602,0.2772,0.5812
450,altered_knn,20,0.7764,0.7890,0.8141,0.0720,0.1997,0.0817,0.4353
450,analytic,20,0.9282,0.9424,0.9362,0.6991,0.3009,0.4140,0.6782
450,kernel,20,0.4182,0.4114,0.4139,0.1187,0.5964,0.0834,0.2474
450,knn,20,0.6510,0.6618,0.6636,0.1621,0.1462,0.1050,0.3834
450,linear,20,0.3161,0.3078,0.4087,0.0208,0.6323,0.0400,0.1739
450,mlp,20,0.9038,0.9191,0.9133,0.5916,0.2194,0.2914,0.6052
450,polar2,20,0.8980,0.9117,0.9099,0.4370,0.2866,0.3177,0.6147
450,polar3,20,0.8990,0.9128,0.9089,0.5695,0.2799,0.3432,0.6280
450,polar8,20,0.8800,0.8941,0.8897,0.5144,0.2445,0.2991,0.5966
450,quadratic,20,0.8716,0.8853,0.8875,0.4936,0.2585,0.2758,0.5805
500,altered_knn,20,0.7698,0.7819,0.8109,0.0731,0.2162,0.0821,0.4320
500,analytic,20,0.9282,0.9424,0.9362,0.6978,0.3051,0.4180,0.6802
500,kernel,20,0.4182,0.4114,0.4138,0.1185,0.5954,0.0825,0.2469
500,knn,20,0.6507,0.6615,0.6634,0.1615,0.1457,0.1045,0.3830
500,linear,20,0.3156,0.3074,0.4081,0.0207,0.6325,0.0400,0.1737
500,mlp,20,0.9035,0.9189,0.9129,0.5909,0.2132,0.2848,0.6019
500,polar2,20,0.8981,0.9118,0.9100,0.4369,0.2843,0.3158,0.6138
500,polar3,20,0.8989,0.9128,0.9088,0.5690,0.2770,0.3405,0.6266
500,polar8,20,0.8802,0.8943,0.8899,0.5112,0.2429,0.2976,0.5960
500,quadratic,20,0.8716,0.8854,0.8875,0.4939,0.2567,0.2739,0.5797
550,altered_knn,20,0.7678,0.7797,0.8103,0.0730,0.2221,0.0819,0.4308
550,analytic,20,0.9283,0.9424,0.9362,0.6978,0.3082,0.4209,0.6816
550,kernel,20,0.4182,0.4113,0.4138,0.1185,0.5951,0.0823,0.2468
550,knn,20,0.6505,0.6613,0.6632,0.1615,0.1460,0.1046,0.3829
550,linear,20,0.3153,0.3070,0.4076,0.0207,0.6327,0.0400,0.1735
550,mlp,20,0.9035,0.9189,0.9129,0.5905,0.2170,0.2895,0.6042
550,polar2,20,0.8980,0.9118,0.9099,0.4352,0.2818,0.3132,0.6125
550,polar3,20,0.8989,0.9128,0.9089,0.5711,0.2754,0.3390,0.6259
550,polar8,20,0.8802,0.8943,0.8899,0.5237,0.2427,0.2984,0.5964
550,quadratic,20,0.8716,0.8855,0.8875,0.4958,0.2553,0.2730,0.5792
600,altered_knn,20,0.7659,0.7776,0.8100,0.0724,0.2431,0.0865,0.4320
600,analytic,20,0.9283,0.9423,0.9362,0.6966,0.3098,0.4220,0.6822
600,kernel,20,0.4181,0.4113,0.4138,0.1188,0.5949,0.0823,0.2468
600,knn,20,0.6504,0.6611,0.6630,0.1611,0.1454,0.1041,0.3826
600,linear,20,0.3150,0.3067,0.4072,0.0207,0.6327,0.0400,0.1733
600,mlp,20,0.9033,0.9187,0.9127,0.5932,0.2150,0.2874,0.6030
600,polar2,20,0.8979,0.9117,0.9099,0.4339,0.2804,0.3119,0.6118
600,polar3,20,0.8989,0.9129,0.9089,0.5724,0.2746,0.3383,0.6256
600,polar8,20,0.8801,0.8943,0.8899,0.5122,0.2406,0.2956,0.5949
