sampler,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,2,2,0.0532,knn,knn,2000,6000,0.9693,0.9890,0.9834,0.7746,0.6197,0.6886,0.8388
ddim,2,2,0.0532,altered_knn,altered_knn,2000,4000,0.9213,0.9601,0.9584,0.2468,0.2319,0.2391,0.5996
ddim,2,2,0.0532,polar3,polar,2000,6000,0.9775,0.9970,0.9878,0.9372,0.6310,0.7542,0.8756
ddim,2,2,0.0532,knn,knn,5000,15000,0.9743,0.9942,0.9863,0.8629,0.6207,0.7220,0.8581
ddim,2,2,0.0532,altered_knn,altered_knn,5000,10000,0.9398,0.9828,0.9685,0.3681,0.1756,0.2378,0.6103
ddim,2,2,0.0532,polar3,polar,5000,15000,0.9777,0.9969,0.9879,0.9352,0.6366,0.7575,0.8772
ddim,2,2,0.0532,knn,knn,10000,30000,0.9756,0.9955,0.9871,0.8886,0.6216,0.7315,0.8635
ddim,2,2,0.0532,altered_knn,altered_knn,10000,20000,0.9457,0.9913,0.9717,0.4704,0.1343,0.2089,0.6001
ddim,2,2,0.0532,polar3,polar,10000,30000,0.9778,0.9967,0.9880,0.9305,0.6413,0.7593,0.8780
ddim,2,2,0.0532,knn,knn,20000,60000,0.9764,0.9966,0.9874,0.9229,0.6178,0.7402,0.8684
ddim,2,2,0.0532,altered_knn,altered_knn,20000,40000,0.9478,0.9934,0.9729,0.5404,0.1380,0.2199,0.6066
ddim,2,2,0.0532,polar3,polar,20000,60000,0.9778,0.9967,0.9880,0.9304,0.6404,0.7586,0.8777
ddim,2,2,0.0532,knn,knn,50000,150000,0.9763,0.9967,0.9873,0.9277,0.6141,0.7390,0.8679
ddim,2,2,0.0532,altered_knn,altered_knn,50000,100000,0.9484,0.9978,0.9732,0.6757,0.0704,0.1276,0.5627
ddim,2,2,0.0532,polar3,polar,50000,150000,0.9777,0.9968,0.9880,0.9302,0.6385,0.7572,0.8770
ddim,2,2,0.0532,knn,knn,100000,300000,0.9770,0.9971,0.9876,0.9415,0.6197,0.7475,0.8723
ddim,2,2,0.0532,altered_knn,altered_knn,100000,200000,0.9477,0.9987,0.9728,0.7627,0.0423,0.0801,0.5394
ddim,2,2,0.0532,polar3,polar,100000,300000,0.9776,0.9967,0.9879,0.9291,0.6394,0.7575,0.8771
ddim,2,4,0.0345,knn,knn,2000,12000,0.9369,0.9547,0.9532,0.4330,0.4399,0.4365,0.6956
ddim,2,4,0.0345,altered_knn,altered_knn,2000,8000,0.9131,0.9383,0.9455,0.1429,0.2113,0.1705,0.5544
ddim,2,4,0.0345,polar3,polar,2000,12000,0.9409,0.9575,0.9534,0.5288,0.4776,0.5019,0.7297
ddim,2,4,0.0345,knn,knn,5000,30000,0.9400,0.9588,0.9535,0.5053,0.4153,0.4559,0.7073
ddim,2,4,0.0345,altered_knn,altered_knn,5000,20000,0.9153,0.9388,0.9477,0.1703,0.2590,0.2055,0.5721
ddim,2,4,0.0345,polar3,polar,5000,30000,0.9415,0.9579,0.9536,0.5440,0.4834,0.5119,0.7349
ddim,2,4,0.0345,knn,knn,10000,60000,0.9417,0.9615,0.9533,0.5687,0.3893,0.4622,0.7118
ddim,2,4,0.0345,altered_knn,altered_knn,10000,40000,0.9244,0.9513,0.9498,0.1855,0.1737,0.1794,0.5653
ddim,2,4,0.0345,polar3,polar,10000,60000,0.9415,0.9579,0.9537,0.5406,0.4819,0.5096,0.7338
ddim,2,4,0.0345,knn,knn,20000,120000,0.9429,0.9623,0.9533,0.6174,0.3994,0.4851,0.7237
ddim,2,4,0.0345,altered_knn,altered_knn,20000,80000,0.9268,0.9547,0.9507,0.1856,0.1491,0.1653,0.5600
ddim,2,4,0.0345,polar3,polar,20000,120000,0.9417,0.9579,0.9538,0.5418,0.4877,0.5133,0.7356
ddim,2,4,0.0345,knn,knn,50000,300000,0.9443,0.9639,0.9530,0.7098,0.3965,0.5088,0.7364
ddim,2,4,0.0345,altered_knn,altered_knn,50000,200000,0.9308,0.9614,0.9490,0.1955,0.0753,0.1087,0.5350
ddim,2,4,0.0345,polar3,polar,50000,300000,0.9420,0.9586,0.9536,0.5572,0.4790,0.5152,0.7369
ddim,2,4,0.0345,knn,knn,100000,600000,0.9448,0.9643,0.9530,0.7406,0.4009,0.5202,0.7422
