sampler,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
flow,2,2,0.0144,knn,knn,2000,6000,0.9786,0.9854,0.9877,0.3927,0.5190,0.4471,0.7162
flow,2,2,0.0144,altered_knn,altered_knn,2000,4000,0.9602,0.9683,0.9793,0.1626,0.4118,0.2331,0.6007
flow,2,2,0.0144,polar3,polar,2000,6000,0.9832,0.9914,0.9900,0.5214,0.4221,0.4665,0.7290
flow,2,2,0.0144,knn,knn,5000,15000,0.9812,0.9887,0.9892,0.4373,0.4706,0.4533,0.7210
flow,2,2,0.0144,altered_knn,altered_knn,5000,10000,0.9778,0.9897,0.9866,0.2892,0.1661,0.2110,0.6003
flow,2,2,0.0144,polar3,polar,5000,15000,0.9834,0.9917,0.9902,0.5259,0.4221,0.4683,0.7300
flow,2,2,0.0144,knn,knn,10000,30000,0.9815,0.9897,0.9893,0.4489,0.4256,0.4369,0.7133
flow,2,2,0.0144,altered_knn,altered_knn,10000,20000,0.9768,0.9876,0.9871,0.2565,0.2388,0.2473,0.6175
flow,2,2,0.0144,polar3,polar,10000,30000,0.9835,0.9918,0.9903,0.5304,0.4221,0.4701,0.7310
flow,2,2,0.0144,knn,knn,20000,60000,0.9828,0.9911,0.9898,0.5042,0.4152,0.4554,0.7233
flow,2,2,0.0144,altered_knn,altered_knn,20000,40000,0.9783,0.9902,0.9876,0.2609,0.1661,0.2030,0.5966
flow,2,2,0.0144,polar3,polar,20000,60000,0.9834,0.9917,0.9901,0.5307,0.4187,0.4681,0.7299
flow,2,2,0.0144,knn,knn,50000,150000,0.9830,0.9917,0.9898,0.5280,0.3910,0.4493,0.7205
flow,2,2,0.0144,altered_knn,altered_knn,50000,100000,0.9798,0.9933,0.9883,0.2000,0.0623,0.0950,0.5441
flow,2,2,0.0144,polar3,polar,50000,150000,0.9834,0.9917,0.9902,0.5259,0.4221,0.4683,0.7300
flow,2,2,0.0144,knn,knn,100000,300000,0.9834,0.9921,0.9899,0.5650,0.3910,0.4622,0.7272
flow,2,2,0.0144,altered_knn,altered_knn,100000,200000,0.9801,0.9942,0.9882,0.1224,0.0208,0.0355,0.5149
flow,2,2,0.0144,polar3,polar,100000,300000,0.9835,0.9917,0.9902,0.5351,0.4221,0.4720,0.7318
flow,2,4,0.0150,knn,knn,2000,12000,0.9495,0.9579,0.9648,0.2102,0.4000,0.2755,0.6167
flow,2,4,0.0150,altered_knn,altered_knn,2000,8000,0.9316,0.9431,0.9556,0.0659,0.1767,0.0960,0.5196
flow,2,4,0.0150,polar3,polar,2000,12000,0.9522,0.9601,0.9647,0.2701,0.4367,0.3338,0.6469
flow,2,4,0.0150,knn,knn,5000,30000,0.9532,0.9618,0.9655,0.2636,0.3867,0.3135,0.6377
flow,2,4,0.0150,altered_knn,altered_knn,5000,20000,0.9418,0.9534,0.9622,0.0835,0.1800,0.1140,0.5337
flow,2,4,0.0150,polar3,polar,5000,30000,0.9525,0.9606,0.9648,0.2714,0.4233,0.3307,0.6457
flow,2,4,0.0150,knn,knn,10000,60000,0.9546,0.9638,0.9654,0.2944,0.3533,0.3212,0.6425
flow,2,4,0.0150,altered_knn,altered_knn,10000,40000,0.9505,0.9638,0.9637,0.0842,0.0800,0.0821,0.5229
flow,2,4,0.0150,polar3,polar,10000,60000,0.9506,0.9582,0.9638,0.2571,0.4500,0.3273,0.6427
flow,2,4,0.0150,knn,knn,20000,120000,0.9554,0.9649,0.9651,0.3267,0.3300,0.3284,0.6466
flow,2,4,0.0150,altered_knn,altered_knn,20000,80000,0.9509,0.9636,0.9639,0.1173,0.1200,0.1186,0.5411
flow,2,4,0.0150,polar3,polar,20000,120000,0.9523,0.9606,0.9642,0.2758,0.4100,0.3298,0.6452
flow,2,4,0.0150,knn,knn,50000,300000,0.9567,0.9662,0.9653,0.3870,0.3367,0.3601,0.6631
flow,2,4,0.0150,altered_knn,altered_knn,50000,200000,0.9520,0.9652,0.9640,0.1098,0.0900,0.0989,0.5320
flow,2,4,0.0150,polar3,polar,50000,300000,0.9528,0.9613,0.9649,0.2698,0.3967,0.3212,0.6413
flow,2,4,0.0150,knn,knn,100000,600000,0.9575,0.9669,0.9653,0.4388,0.3467,0.3873,0.6771
