sampler,seed,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,0,2,2,0.0100,knn,knn,20000,60000,0.9748,0.9763,0.9872,0.2630,0.8333,0.3998,0.6880
ddim,0,2,2,0.0100,altered_knn,altered_knn,20000,40000,0.9865,0.9938,0.9932,0.3086,0.2687,0.2872,0.6405
ddim,0,2,2,0.0100,quadratic,quadratic,20000,60000,0.9642,0.9677,0.9808,0.1711,0.6219,0.2684,0.6181
ddim,0,2,2,0.0100,quadratic_cal,quadratic,20000,60000,0.9710,0.9750,0.9843,0.2009,0.5771,0.2980,0.6365
ddim,0,2,2,0.0100,polar8,polar,20000,60000,0.9742,0.9762,0.9868,0.2508,0.7811,0.3797,0.6779
ddim,0,2,2,0.0100,polar8_cal,polar,20000,60000,0.9743,0.9763,0.9868,0.2512,0.7811,0.3801,0.6782
ddim,0,2,2,0.0100,knn,knn,50000,150000,0.9749,0.9768,0.9871,0.2565,0.7861,0.3868,0.6818
ddim,0,2,2,0.0100,altered_knn,altered_knn,50000,100000,0.9891,0.9967,0.9945,0.4254,0.2413,0.3079,0.6523
ddim,0,2,2,0.0100,quadratic,quadratic,50000,150000,0.9646,0.9681,0.9810,0.1748,0.6269,0.2733,0.6207
ddim,0,2,2,0.0100,quadratic_cal,quadratic,50000,150000,0.9708,0.9748,0.9842,0.2016,0.5796,0.2991,0.6370
ddim,0,2,2,0.0100,polar8,polar,50000,150000,0.9743,0.9762,0.9868,0.2522,0.7886,0.3822,0.6792
ddim,0,2,2,0.0100,polar8_cal,polar,50000,150000,0.9743,0.9762,0.9868,0.2522,0.7886,0.3822,0.6792
ddim,0,2,2,0.0100,knn,knn,100000,300000,0.9749,0.9770,0.9872,0.2539,0.7687,0.3817,0.6794
ddim,0,2,2,0.0100,altered_knn,altered_knn,100000,200000,0.9900,0.9983,0.9949,0.5111,0.1716,0.2570,0.6276
ddim,0,2,2,0.0100,quadratic,quadratic,100000,300000,0.9669,0.9704,0.9830,0.1784,0.6294,0.2780,0.6242
ddim,0,2,2,0.0100,quadratic_cal,quadratic,100000,300000,0.9735,0.9772,0.9864,0.2137,0.6045,0.3158,0.6465
ddim,0,2,2,0.0100,polar8,polar,100000,300000,0.9743,0.9763,0.9869,0.2512,0.7786,0.3799,0.6781
ddim,0,2,2,0.0100,polar8_cal,polar,100000,300000,0.9744,0.9763,0.9869,0.2518,0.7811,0.3808,0.6786
ddim,100,2,2,0.0084,knn,knn,20000,60000,0.9920,0.9930,0.9960,0.5166,0.8757,0.6498,0.8214
ddim,100,2,2,0.0084,altered_knn,altered_knn,20000,40000,0.9865,0.9928,0.9932,0.2331,0.2544,0.2433,0.6180
ddim,100,2,2,0.0084,quadratic,quadratic,20000,60000,0.9834,0.9866,0.9901,0.3339,0.6065,0.4307,0.7087
ddim,100,2,2,0.0084,quadratic_cal,quadratic,20000,60000,0.9846,0.9880,0.9907,0.3558,0.5769,0.4402,0.7141
ddim,100,2,2,0.0084,polar8,polar,20000,60000,0.9926,0.9940,0.9962,0.5416,0.8284,0.6550,0.8245
ddim,100,2,2,0.0084,polar8_cal,polar,20000,60000,0.9926,0.9940,0.9962,0.5416,0.8284,0.6550,0.8245
ddim,100,2,2,0.0084,knn,knn,50000,150000,0.9930,0.9942,0.9964,0.5573,0.8491,0.6729,0.8336
ddim,100,2,2,0.0084,altered_knn,altered_knn,50000,100000,0.9896,0.9964,0.9948,0.3208,0.2012,0.2473,0.6218
ddim,100,2,2,0.0084,quadratic,quadratic,50000,150000,0.9838,0.9870,0.9904,0.3361,0.6095,0.4332,0.7101
ddim,100,2,2,0.0084,quadratic_cal,quadratic,50000,150000,0.9849,0.9884,0.9910,0.3578,0.5769,0.4417,0.7150
ddim,100,2,2,0.0084,polar8,polar,50000,150000,0.9926,0.9939,0.9962,0.5413,0.8343,0.6566,0.8253
ddim,100,2,2,0.0084,polar8_cal,polar,50000,150000,0.9926,0.9940,0.9963,0.5426,0.8284,0.6557,0.8249
ddim,100,2,2,0.0084,knn,knn,100000,300000,0.9932,0.9946,0.9965,0.5665,0.8314,0.6739,0.8342
ddim,100,2,2,0.0084,altered_knn,altered_knn,100000,200000,0.9907,0.9979,0.9953,0.3731,0.1479,0.2119,0.6049
ddim,100,2,2,0.0084,quadratic,quadratic,100000,300000,0.9855,0.9888,0.9924,0.3259,0.6036,0.4232,0.7060
ddim,100,2,2,0.0084,quadratic_cal,quadratic,100000,300000,0.9871,0.9905,0.9932,0.3607,0.5858,0.4464,0.7185
ddim,100,2,2,0.0084,polar8,polar,100000,300000,0.9925,0.9939,0.9962,0.5404,0.8314,0.6550,0.8245
ddim,100,2,2,0.0084,polar8_cal,polar,100000,300000,0.9927,0.9941,0.9963,0.5499,0.8314,0.6620,0.8280
ddim,200,2,2,0.0101,knn,knn,20000,60000,0.9872,0.9896,0.9931,0.4420,0.7469,0.5554,0.7725
ddim,200,2,2,0.0101,altered_knn,altered_knn,20000,40000,0.9828,0.9908,0.9911,0.1852,0.1985,0.1916,0.5912
ddim,200,2,2,0.0101,quadratic,quadratic,20000,60000,0.9780,0.9821,0.9860,0.3217,0.5732,0.4121,0.6971
