sampler,d,K,n_seeds,hall_gt,hall_gt_std,model,arch,n_per_mode,n_anchors,full_acc,full_acc_std,mode_acc,mode_acc_std,mode_f1,mode_f1_std,hall_prec,hall_prec_std,hall_rec,hall_rec_std,hall_f1,hall_f1_std,balanced,balanced_std
ddim,2,2,3,0.0095,0.0008,knn,knn,20000,60000,0.9950,0.0013,0.9960,0.0009,0.9974,0.0008,0.6960,0.0372,0.8980,0.0408,0.7839,0.0355,0.8899,0.0182
ddim,2,2,3,0.0095,0.0008,altered_knn,altered_knn,20000,40000,0.9847,0.0009,0.9918,0.0006,0.9922,0.0005,0.2330,0.0267,0.2572,0.0301,0.2437,0.0240,0.6177,0.0122
ddim,2,2,3,0.0095,0.0008,quadratic,quadratic,20000,60000,0.9882,0.0018,0.9922,0.0016,0.9925,0.0017,0.5326,0.0334,0.5773,0.0453,0.5539,0.0382,0.7730,0.0189
ddim,2,2,3,0.0095,0.0008,quadratic_cal,quadratic,20000,60000,0.9878,0.0016,0.9916,0.0012,0.9924,0.0015,0.5150,0.0402,0.5923,0.0396,0.5504,0.0357,0.7710,0.0177
ddim,2,2,3,0.0095,0.0008,polar8,polar,20000,60000,0.9959,0.0009,0.9968,0.0008,0.9976,0.0008,0.7656,0.0222,0.8974,0.0082,0.8261,0.0121,0.9114,0.0063
ddim,2,2,3,0.0095,0.0008,polar8_cal,polar,20000,60000,0.9960,0.0009,0.9971,0.0008,0.9977,0.0008,0.7844,0.0181,0.8901,0.0053,0.8338,0.0105,0.9154,0.0056
ddim,2,2,3,0.0095,0.0008,knn,knn,50000,150000,0.9959,0.0010,0.9969,0.0008,0.9977,0.0008,0.7654,0.0173,0.8930,0.0204,0.8240,0.0119,0.9105,0.0063
ddim,2,2,3,0.0095,0.0008,altered_knn,altered_knn,50000,100000,0.9889,0.0017,0.9966,0.0011,0.9943,0.0010,0.3765,0.0937,0.1921,0.0323,0.2540,0.0491,0.6253,0.0251
ddim,2,2,3,0.0095,0.0008,quadratic,quadratic,50000,150000,0.9882,0.0018,0.9922,0.0015,0.9926,0.0016,0.5353,0.0324,0.5774,0.0474,0.5554,0.0383,0.7738,0.0190
ddim,2,2,3,0.0095,0.0008,quadratic_cal,quadratic,50000,150000,0.9878,0.0017,0.9916,0.0013,0.9924,0.0015,0.5149,0.0389,0.5969,0.0421,0.5524,0.0367,0.7720,0.0183
ddim,2,2,3,0.0095,0.0008,polar8,polar,50000,150000,0.9959,0.0009,0.9968,0.0009,0.9976,0.0008,0.7655,0.0301,0.8974,0.0082,0.8258,0.0160,0.9113,0.0083
ddim,2,2,3,0.0095,0.0008,polar8_cal,polar,50000,150000,0.9961,0.0010,0.9971,0.0009,0.9977,0.0008,0.7860,0.0288,0.8911,0.0066,0.8350,0.0162,0.9160,0.0085
ddim,2,2,3,0.0095,0.0008,knn,knn,100000,300000,0.9961,0.0008,0.9972,0.0007,0.9977,0.0008,0.7908,0.0232,0.8780,0.0172,0.8317,0.0065,0.9144,0.0034
ddim,2,2,3,0.0095,0.0008,altered_knn,altered_knn,100000,200000,0.9896,0.0015,0.9976,0.0010,0.9945,0.0011,0.4318,0.1133,0.1535,0.0362,0.2265,0.0549,0.6120,0.0279
ddim,2,2,3,0.0095,0.0008,quadratic,quadratic,100000,300000,0.9901,0.0015,0.9941,0.0009,0.9945,0.0011,0.5321,0.0303,0.5840,0.0491,0.5566,0.0376,0.7753,0.0189
ddim,2,2,3,0.0095,0.0008,quadratic_cal,quadratic,100000,300000,0.9897,0.0013,0.9935,0.0005,0.9943,0.0009,0.5124,0.0435,0.5949,0.0559,0.5489,0.0373,0.7712,0.0188
ddim,2,2,3,0.0095,0.0008,polar8,polar,100000,300000,0.9959,0.0009,0.9969,0.0008,0.9976,0.0008,0.7708,0.0301,0.8923,0.0110,0.8267,0.0164,0.9118,0.0085
ddim,2,2,3,0.0095,0.0008,polar8_cal,polar,100000,300000,0.9960,0.0010,0.9971,0.0010,0.9977,0.0008,0.7857,0.0274,0.8896,0.0098,0.8341,0.0154,0.9156,0.0081
ddim,2,4,3,0.0110,0.0005,knn,knn,20000,120000,0.9898,0.0010,0.9929,0.0008,0.9942,0.0007,0.5638,0.0177,0.7116,0.0125,0.6291,0.0158,0.8110,0.0083
ddim,2,4,3,0.0110,0.0005,altered_knn,altered_knn,20000,80000,0.9835,0.0011,0.9918,0.0005,0.9909,0.0008,0.2810,0.0111,0.2406,0.0184,0.2589,0.0137,0.6253,0.0071
ddim,2,4,3,0.0110,0.0005,quadratic,quadratic,20000,120000,0.9320,0.0105,0.9377,0.0111,0.9427,0.0084,0.2220,0.0279,0.4196,0.0773,0.2843,0.0072,0.6110,0.0089
ddim,2,4,3,0.0110,0.0005,quadratic_cal,quadratic,20000,120000,0.9382,0.0068,0.9449,0.0066,0.9447,0.0074,0.3343,0.0444,0.3332,0.0061,0.3325,0.0244,0.6387,0.0097
