sampler,seed,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,0,2,2,0.0100,knn,knn,20000,60000,0.8201,0.8218,0.8685,0.0533,0.6493,0.0986,0.4602
ddim,0,2,2,0.0100,altered_knn,altered_knn,20000,40000,0.9118,0.9211,0.9185,0.0020,0.0025,0.0022,0.4616
ddim,0,2,2,0.0100,quadratic,quadratic,20000,60000,0.7883,0.7894,0.8374,0.0491,0.6741,0.0915,0.4405
ddim,0,2,2,0.0100,quadratic_cal,quadratic,20000,60000,0.7951,0.7964,0.8411,0.0514,0.6642,0.0954,0.4459
ddim,0,2,2,0.0100,polar8,polar,20000,60000,0.8155,0.8172,0.8653,0.0515,0.6493,0.0954,0.4563
ddim,0,2,2,0.0100,polar8_cal,polar,20000,60000,0.8153,0.8170,0.8652,0.0514,0.6493,0.0953,0.4561
ddim,0,2,2,0.0100,knn,knn,50000,150000,0.8187,0.8204,0.8671,0.0530,0.6493,0.0980,0.4592
ddim,0,2,2,0.0100,altered_knn,altered_knn,50000,100000,0.9153,0.9246,0.9178,0.0047,0.0025,0.0032,0.4639
ddim,0,2,2,0.0100,quadratic,quadratic,50000,150000,0.7895,0.7907,0.8384,0.0494,0.6741,0.0921,0.4414
ddim,0,2,2,0.0100,quadratic_cal,quadratic,50000,150000,0.7960,0.7973,0.8419,0.0517,0.6642,0.0959,0.4466
ddim,0,2,2,0.0100,polar8,polar,50000,150000,0.8156,0.8173,0.8654,0.0515,0.6493,0.0955,0.4564
ddim,0,2,2,0.0100,polar8_cal,polar,50000,150000,0.8150,0.8167,0.8652,0.0513,0.6517,0.0951,0.4559
ddim,0,2,2,0.0100,knn,knn,100000,300000,0.8176,0.8193,0.8664,0.0525,0.6493,0.0971,0.4582
ddim,0,2,2,0.0100,altered_knn,altered_knn,100000,200000,0.9163,0.9256,0.9176,0.0075,0.0025,0.0037,0.4647
ddim,0,2,2,0.0100,quadratic,quadratic,100000,300000,0.7969,0.7982,0.8459,0.0508,0.6766,0.0945,0.4463
ddim,0,2,2,0.0100,quadratic_cal,quadratic,100000,300000,0.7995,0.8008,0.8474,0.0516,0.6716,0.0959,0.4483
ddim,0,2,2,0.0100,polar8,polar,100000,300000,0.8156,0.8173,0.8653,0.0516,0.6493,0.0956,0.4564
ddim,0,2,2,0.0100,polar8_cal,polar,100000,300000,0.8153,0.8170,0.8652,0.0514,0.6493,0.0952,0.4561
ddim,0,2,4,0.0104,knn,knn,20000,120000,0.7915,0.7948,0.7958,0.0953,0.4874,0.1595,0.4771
ddim,0,2,4,0.0104,altered_knn,altered_knn,20000,80000,0.8176,0.8256,0.8093,0.0326,0.0623,0.0428,0.4342
ddim,0,2,4,0.0104,quadratic,quadratic,20000,120000,0.7109,0.7120,0.7556,0.0458,0.6132,0.0852,0.3986
