sampler,d,K,n_seeds,hall_gt,hall_gt_std,model,arch,n_per_mode,n_anchors,full_acc,full_acc_std,mode_acc,mode_acc_std,mode_f1,mode_f1_std,hall_prec,hall_prec_std,hall_rec,hall_rec_std,hall_f1,hall_f1_std,balanced,balanced_std
ddim,2,2,1,0.0100,0.0000,knn,knn,20000,60000,0.9397,0.0000,0.9435,0.0000,0.9513,0.0000,0.1805,0.0000,0.5672,0.0000,0.2739,0.0000,0.6087,0.0000
ddim,2,2,1,0.0100,0.0000,altered_knn,altered_knn,20000,40000,0.9490,0.0000,0.9584,0.0000,0.9594,0.0000,0.0118,0.0000,0.0174,0.0000,0.0140,0.0000,0.4862,0.0000
ddim,2,2,1,0.0100,0.0000,quadratic,quadratic,20000,60000,0.9145,0.0000,0.9177,0.0000,0.9242,0.0000,0.1733,0.0000,0.5995,0.0000,0.2688,0.0000,0.5933,0.0000
ddim,2,2,1,0.0100,0.0000,quadratic_cal,quadratic,20000,60000,0.9176,0.0000,0.9210,0.0000,0.9256,0.0000,0.1916,0.0000,0.5871,0.0000,0.2889,0.0000,0.6049,0.0000
ddim,2,2,1,0.0100,0.0000,polar8,polar,20000,60000,0.9395,0.0000,0.9430,0.0000,0.9509,0.0000,0.1868,0.0000,0.5970,0.0000,0.2845,0.0000,0.6138,0.0000
ddim,2,2,1,0.0100,0.0000,polar8_cal,polar,20000,60000,0.9393,0.0000,0.9428,0.0000,0.9509,0.0000,0.1855,0.0000,0.5970,0.0000,0.2830,0.0000,0.6129,0.0000
ddim,2,2,1,0.0100,0.0000,knn,knn,50000,150000,0.9400,0.0000,0.9437,0.0000,0.9510,0.0000,0.1868,0.0000,0.5771,0.0000,0.2822,0.0000,0.6129,0.0000
ddim,2,2,1,0.0100,0.0000,altered_knn,altered_knn,50000,100000,0.9534,0.0000,0.9631,0.0000,0.9584,0.0000,0.0123,0.0000,0.0075,0.0000,0.0093,0.0000,0.4862,0.0000
ddim,2,2,1,0.0100,0.0000,quadratic,quadratic,50000,150000,0.9153,0.0000,0.9186,0.0000,0.9248,0.0000,0.1757,0.0000,0.5970,0.0000,0.2715,0.0000,0.5950,0.0000
ddim,2,2,1,0.0100,0.0000,quadratic_cal,quadratic,50000,150000,0.9181,0.0000,0.9215,0.0000,0.9262,0.0000,0.1927,0.0000,0.5896,0.0000,0.2904,0.0000,0.6060,0.0000
ddim,2,2,1,0.0100,0.0000,polar8,polar,50000,150000,0.9395,0.0000,0.9430,0.0000,0.9508,0.0000,0.1862,0.0000,0.5920,0.0000,0.2833,0.0000,0.6132,0.0000
ddim,2,2,1,0.0100,0.0000,polar8_cal,polar,50000,150000,0.9393,0.0000,0.9428,0.0000,0.9508,0.0000,0.1848,0.0000,0.5945,0.0000,0.2820,0.0000,0.6124,0.0000
ddim,2,2,1,0.0100,0.0000,knn,knn,100000,300000,0.9400,0.0000,0.9437,0.0000,0.9508,0.0000,0.1873,0.0000,0.5721,0.0000,0.2822,0.0000,0.6130,0.0000
