sampler,d,K,n_seeds,hall_gt,hall_gt_std,model,arch,n_per_mode,n_anchors,full_acc,full_acc_std,mode_acc,mode_acc_std,mode_f1,mode_f1_std,hall_prec,hall_prec_std,hall_rec,hall_rec_std,hall_f1,hall_f1_std,balanced,balanced_std
flow,2,2,3,0.0095,0.0006,knn,knn,20000,60000,0.9956,0.0008,0.9966,0.0004,0.9977,0.0004,0.7145,0.0389,0.8929,0.0471,0.7937,0.0422,0.8951,0.0213
flow,2,2,3,0.0095,0.0006,altered_knn,altered_knn,20000,40000,0.9844,0.0021,0.9911,0.0023,0.9921,0.0011,0.2416,0.0373,0.2846,0.0134,0.2587,0.0181,0.6249,0.0102
flow,2,2,3,0.0095,0.0006,quadratic,quadratic,20000,60000,0.9885,0.0003,0.9928,0.0001,0.9928,0.0001,0.5446,0.0099,0.5395,0.0174,0.5418,0.0080,0.7673,0.0040
flow,2,2,3,0.0095,0.0006,quadratic_cal,quadratic,20000,60000,0.9884,0.0001,0.9926,0.0006,0.9927,0.0001,0.5369,0.0304,0.5448,0.0292,0.5393,0.0081,0.7660,0.0042
flow,2,2,3,0.0095,0.0006,polar8,polar,20000,60000,0.9958,0.0007,0.9972,0.0003,0.9978,0.0004,0.7486,0.0354,0.8427,0.0477,0.7928,0.0403,0.8950,0.0203
flow,2,2,3,0.0095,0.0006,polar8_cal,polar,20000,60000,0.9958,0.0007,0.9974,0.0004,0.9978,0.0004,0.7610,0.0380,0.8298,0.0420,0.7938,0.0391,0.8956,0.0197
flow,2,2,3,0.0095,0.0006,knn,knn,50000,150000,0.9960,0.0009,0.9974,0.0004,0.9979,0.0005,0.7613,0.0427,0.8448,0.0581,0.8008,0.0497,0.8991,0.0250
flow,2,2,3,0.0095,0.0006,altered_knn,altered_knn,50000,100000,0.9893,0.0005,0.9966,0.0001,0.9946,0.0003,0.3923,0.0422,0.2285,0.0290,0.2888,0.0346,0.6427,0.0173
flow,2,2,3,0.0095,0.0006,quadratic,quadratic,50000,150000,0.9887,0.0004,0.9930,0.0001,0.9929,0.0003,0.5493,0.0099,0.5422,0.0197,0.5454,0.0084,0.7692,0.0043
flow,2,2,3,0.0095,0.0006,quadratic_cal,quadratic,50000,150000,0.9886,0.0002,0.9928,0.0005,0.9928,0.0003,0.5431,0.0260,0.5450,0.0327,0.5426,0.0080,0.7677,0.0041
flow,2,2,3,0.0095,0.0006,polar8,polar,50000,150000,0.9958,0.0008,0.9972,0.0004,0.9978,0.0004,0.7480,0.0411,0.8434,0.0498,0.7927,0.0443,0.8950,0.0223
flow,2,2,3,0.0095,0.0006,polar8_cal,polar,50000,150000,0.9958,0.0007,0.9974,0.0003,0.9978,0.0004,0.7588,0.0370,0.8289,0.0452,0.7922,0.0398,0.8948,0.0201
flow,2,2,3,0.0095,0.0006,knn,knn,100000,300000,0.9960,0.0007,0.9976,0.0004,0.9979,0.0004,0.7745,0.0383,0.8235,0.0431,0.7981,0.0396,0.8979,0.0200
flow,2,2,3,0.0095,0.0006,altered_knn,altered_knn,100000,200000,0.9899,0.0006,0.9980,0.0004,0.9949,0.0004,0.4100,0.1314,0.1419,0.0521,0.2107,0.0749,0.6044,0.0376
flow,2,2,3,0.0095,0.0006,quadratic,quadratic,100000,300000,0.9907,0.0005,0.9948,0.0004,0.9949,0.0006,0.5512,0.0095,0.5557,0.0235,0.5529,0.0074,0.7739,0.0038
flow,2,2,3,0.0095,0.0006,quadratic_cal,quadratic,100000,300000,0.9905,0.0003,0.9946,0.0007,0.9948,0.0005,0.5407,0.0313,0.5624,0.0365,0.5493,0.0055,0.7719,0.0030
flow,2,2,3,0.0095,0.0006,polar8,polar,100000,300000,0.9957,0.0007,0.9972,0.0003,0.9978,0.0004,0.7453,0.0372,0.8332,0.0482,0.7866,0.0408,0.8919,0.0206
flow,2,2,3,0.0095,0.0006,polar8_cal,polar,100000,300000,0.9957,0.0007,0.9973,0.0003,0.9978,0.0004,0.7522,0.0331,0.8288,0.0473,0.7886,0.0393,0.8929,0.0198
flow,2,4,3,0.0106,0.0004,knn,knn,20000,120000,0.9908,0.0021,0.9932,0.0016,0.9948,0.0016,0.5963,0.0458,0.7717,0.0516,0.6727,0.0486,0.8330,0.0250
flow,2,4,3,0.0106,0.0004,altered_knn,altered_knn,20000,80000,0.9839,0.0016,0.9914,0.0015,0.9913,0.0012,0.2973,0.0277,0.2933,0.0114,0.2951,0.0193,0.6432,0.0103
flow,2,4,3,0.0106,0.0004,quadratic,quadratic,20000,120000,0.9331,0.0096,0.9386,0.0101,0.9434,0.0076,0.2281,0.0302,0.4244,0.0620,0.2917,0.0119,0.6151,0.0108
flow,2,4,3,0.0106,0.0004,quadratic_cal,quadratic,20000,120000,0.9393,0.0063,0.9458,0.0061,0.9455,0.0067,0.3562,0.0396,0.3347,0.0181,0.3434,0.0194,0.6446,0.0073
flow,2,4,3,0.0106,0.0004,polar8,polar,20000,120000,0.9903,0.0027,0.9923,0.0024,0.9944,0.0020,0.5804,0.0599,0.8025,0.0331,0.6730,0.0517,0.8327,0.0270
flow,2,4,3,0.0106,0.0004,polar8_cal,polar,20000,120000,0.9914,0.0021,0.9949,0.0016,0.9948,0.0018,0.6884,0.0399,0.6657,0.0467,0.6760,0.0377,0.8355,0.0197
flow,2,4,3,0.0106,0.0004,knn,knn,50000,300000,0.9918,0.0020,0.9947,0.0016,0.9951,0.0016,0.6672,0.0472,0.7224,0.0490,0.6937,0.0480,0.8442,0.0247
flow,2,4,3,0.0106,0.0004,altered_knn,altered_knn,50000,200000,0.9858,0.0016,0.9930,0.0014,0.9923,0.0012,0.3604,0.0462,0.3137,0.0419,0.3352,0.0433,0.6641,0.0221
