sampler,seed,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
flow,0,2,2,0.0094,knn,knn,20000,60000,0.9950,0.9965,0.9974,0.7000,0.8355,0.7618,0.8792
flow,0,2,2,0.0094,altered_knn,altered_knn,20000,40000,0.9817,0.9883,0.9908,0.1909,0.2891,0.2300,0.6091
flow,0,2,2,0.0094,quadratic,quadratic,20000,60000,0.9884,0.9929,0.9926,0.5449,0.5146,0.5293,0.7611
flow,0,2,2,0.0094,quadratic_cal,quadratic,20000,60000,0.9884,0.9929,0.9926,0.5447,0.5172,0.5306,0.7617
flow,0,2,2,0.0094,polar8,polar,20000,60000,0.9950,0.9971,0.9974,0.7289,0.7772,0.7522,0.8747
flow,0,2,2,0.0094,polar8_cal,polar,20000,60000,0.9950,0.9971,0.9974,0.7330,0.7719,0.7519,0.8745
flow,0,2,2,0.0094,knn,knn,50000,150000,0.9950,0.9970,0.9974,0.7273,0.7851,0.7551,0.8760
flow,0,2,2,0.0094,altered_knn,altered_knn,50000,100000,0.9887,0.9963,0.9943,0.3302,0.1883,0.2399,0.6181
flow,0,2,2,0.0094,quadratic,quadratic,50000,150000,0.9883,0.9929,0.9925,0.5527,0.5146,0.5330,0.7629
flow,0,2,2,0.0094,quadratic_cal,quadratic,50000,150000,0.9882,0.9927,0.9925,0.5462,0.5172,0.5313,0.7620
flow,0,2,2,0.0094,polar8,polar,50000,150000,0.9950,0.9970,0.9974,0.7259,0.7798,0.7519,0.8745
flow,0,2,2,0.0094,polar8_cal,polar,50000,150000,0.9950,0.9971,0.9974,0.7323,0.7692,0.7503,0.8737
flow,0,2,2,0.0094,knn,knn,100000,300000,0.9952,0.9973,0.9975,0.7468,0.7745,0.7604,0.8789
flow,0,2,2,0.0094,altered_knn,altered_knn,100000,200000,0.9890,0.9975,0.9944,0.2835,0.0955,0.1429,0.5702
flow,0,2,2,0.0094,quadratic,quadratic,100000,300000,0.9900,0.9944,0.9941,0.5609,0.5252,0.5425,0.7684
flow,0,2,2,0.0094,quadratic_cal,quadratic,100000,300000,0.9900,0.9944,0.9941,0.5629,0.5225,0.5420,0.7682
flow,0,2,2,0.0094,polar8,polar,100000,300000,0.9949,0.9971,0.9973,0.7268,0.7692,0.7474,0.8722
flow,0,2,2,0.0094,polar8_cal,polar,100000,300000,0.9949,0.9971,0.9973,0.7286,0.7692,0.7484,0.8727
flow,100,2,2,0.0088,knn,knn,20000,60000,0.9953,0.9964,0.9976,0.6868,0.8722,0.7685,0.8824
flow,100,2,2,0.0088,altered_knn,altered_knn,20000,40000,0.9864,0.9925,0.9931,0.2601,0.2926,0.2754,0.6340
flow,100,2,2,0.0088,quadratic,quadratic,20000,60000,0.9890,0.9928,0.9930,0.5355,0.5568,0.5460,0.7694
flow,100,2,2,0.0088,quadratic_cal,quadratic,20000,60000,0.9882,0.9918,0.9926,0.4940,0.5852,0.5358,0.7638
flow,100,2,2,0.0088,polar8,polar,20000,60000,0.9959,0.9973,0.9979,0.7437,0.8409,0.7893,0.8933
flow,100,2,2,0.0088,polar8_cal,polar,20000,60000,0.9959,0.9973,0.9978,0.7494,0.8324,0.7887,0.8930
flow,100,2,2,0.0088,knn,knn,50000,150000,0.9959,0.9974,0.9979,0.7405,0.8267,0.7812,0.8893
flow,100,2,2,0.0088,altered_knn,altered_knn,50000,100000,0.9900,0.9968,0.9950,0.3824,0.2216,0.2806,0.6387
flow,100,2,2,0.0088,quadratic,quadratic,50000,150000,0.9892,0.9930,0.9932,0.5393,0.5653,0.5520,0.7725
flow,100,2,2,0.0088,quadratic_cal,quadratic,50000,150000,0.9887,0.9922,0.9929,0.5086,0.5909,0.5466,0.7694
flow,100,2,2,0.0088,polar8,polar,50000,150000,0.9956,0.9970,0.9977,0.7248,0.8381,0.7773,0.8872
flow,100,2,2,0.0088,polar8_cal,polar,50000,150000,0.9958,0.9973,0.9978,0.7399,0.8324,0.7834,0.8903
flow,100,2,2,0.0088,knn,knn,100000,300000,0.9960,0.9976,0.9979,0.7573,0.8153,0.7852,0.8914
flow,100,2,2,0.0088,altered_knn,altered_knn,100000,200000,0.9902,0.9979,0.9951,0.3594,0.1307,0.1917,0.5948
flow,100,2,2,0.0088,quadratic,quadratic,100000,300000,0.9912,0.9949,0.9952,0.5381,0.5824,0.5593,0.7771
flow,100,2,2,0.0088,quadratic_cal,quadratic,100000,300000,0.9904,0.9938,0.9948,0.4965,0.6108,0.5478,0.7708
flow,100,2,2,0.0088,polar8,polar,100000,300000,0.9957,0.9971,0.9978,0.7302,0.8381,0.7804,0.8888
flow,100,2,2,0.0088,polar8_cal,polar,100000,300000,0.9959,0.9973,0.9978,0.7455,0.8324,0.7866,0.8920
flow,200,2,2,0.0102,knn,knn,20000,60000,0.9965,0.9970,0.9982,0.7683,0.9510,0.8499,0.9235
flow,200,2,2,0.0102,altered_knn,altered_knn,20000,40000,0.9852,0.9925,0.9925,0.2716,0.2696,0.2706,0.6316
flow,200,2,2,0.0102,quadratic,quadratic,20000,60000,0.9883,0.9929,0.9928,0.5567,0.5417,0.5491,0.7710
flow,200,2,2,0.0102,quadratic_cal,quadratic,20000,60000,0.9885,0.9932,0.9929,0.5696,0.5319,0.5501,0.7716
flow,200,2,2,0.0102,polar8,polar,20000,60000,0.9967,0.9978,0.9983,0.8040,0.8946,0.8469,0.9223
flow,200,2,2,0.0102,polar8_cal,polar,20000,60000,0.9967,0.9979,0.9983,0.8141,0.8799,0.8457,0.9218
flow,200,2,2,0.0102,knn,knn,50000,150000,0.9972,0.9979,0.9986,0.8214,0.9240,0.8697,0.9338
flow,200,2,2,0.0102,altered_knn,altered_knn,50000,100000,0.9891,0.9967,0.9945,0.4426,0.2549,0.3235,0.6601
flow,200,2,2,0.0102,quadratic,quadratic,50000,150000,0.9885,0.9932,0.9930,0.5609,0.5417,0.5511,0.7721
flow,200,2,2,0.0102,quadratic_cal,quadratic,50000,150000,0.9887,0.9935,0.9931,0.5733,0.5270,0.5492,0.7713
flow,200,2,2,0.0102,polar8,polar,50000,150000,0.9968,0.9978,0.9984,0.8097,0.8971,0.8512,0.9245
flow,200,2,2,0.0102,polar8_cal,polar,50000,150000,0.9967,0.9979,0.9984,0.8145,0.8824,0.8471,0.9225
flow,200,2,2,0.0102,knn,knn,100000,300000,0.9972,0.9984,0.9986,0.8474,0.8848,0.8657,0.9320
flow,200,2,2,0.0102,altered_knn,altered_knn,100000,200000,0.9904,0.9984,0.9952,0.5828,0.2157,0.3148,0.6566
flow,200,2,2,0.0102,quadratic,quadratic,100000,300000,0.9909,0.9954,0.9954,0.5608,0.5539,0.5573,0.7764
flow,200,2,2,0.0102,quadratic_cal,quadratic,100000,300000,0.9908,0.9954,0.9953,0.5567,0.5539,0.5553,0.7753
flow,200,2,2,0.0102,polar8,polar,100000,300000,0.9966,0.9978,0.9983,0.8067,0.8799,0.8417,0.9198
flow,200,2,2,0.0102,polar8_cal,polar,100000,300000,0.9965,0.9977,0.9982,0.7996,0.8799,0.8378,0.9178
flow,0,2,4,0.0109,knn,knn,20000,120000,0.9885,0.9912,0.9929,0.5655,0.7391,0.6408,0.8160
flow,0,2,4,0.0109,altered_knn,altered_knn,20000,80000,0.9801,0.9870,0.9891,0.2560,0.3529,0.2968,0.6419
flow,0,2,4,0.0109,quadratic,quadratic,20000,120000,0.9239,0.9285,0.9372,0.1903,0.5092,0.2770,0.6028
flow,0,2,4,0.0109,quadratic_cal,quadratic,20000,120000,0.9356,0.9425,0.9415,0.3841,0.3046,0.3397,0.6411
flow,0,2,4,0.0109,polar8,polar,20000,120000,0.9869,0.9893,0.9919,0.5215,0.7667,0.6208,0.8050
flow,0,2,4,0.0109,polar8_cal,polar,20000,120000,0.9889,0.9932,0.9925,0.6960,0.6000,0.6444,0.8188
flow,0,2,4,0.0109,knn,knn,50000,300000,0.9896,0.9930,0.9933,0.6528,0.6851,0.6685,0.8308
flow,0,2,4,0.0109,altered_knn,altered_knn,50000,200000,0.9835,0.9907,0.9907,0.3299,0.3276,0.3287,0.6597
flow,0,2,4,0.0109,quadratic,quadratic,50000,300000,0.9326,0.9372,0.9463,0.1882,0.5115,0.2751,0.6062
flow,0,2,4,0.0109,quadratic_cal,quadratic,50000,300000,0.9436,0.9505,0.9493,0.4157,0.3172,0.3598,0.6552
flow,0,2,4,0.0109,polar8,polar,50000,300000,0.9874,0.9901,0.9921,0.5456,0.7425,0.6290,0.8096
flow,0,2,4,0.0109,polar8_cal,polar,50000,300000,0.9897,0.9936,0.9929,0.7360,0.6345,0.6815,0.8375
flow,0,2,4,0.0109,knn,knn,100000,600000,0.9900,0.9936,0.9932,0.7087,0.6655,0.6864,0.8400
flow,0,2,4,0.0109,altered_knn,altered_knn,100000,400000,0.9849,0.9931,0.9910,0.3933,0.2414,0.2991,0.6461
flow,0,2,4,0.0109,quadratic,quadratic,100000,600000,0.9433,0.9479,0.9578,0.1856,0.5322,0.2752,0.6115
flow,0,2,4,0.0109,quadratic_cal,quadratic,100000,600000,0.9559,0.9624,0.9613,0.4618,0.3609,0.4052,0.6838
flow,0,2,4,0.0109,polar8,polar,100000,600000,0.9887,0.9916,0.9926,0.6084,0.7195,0.6593,0.8255
flow,0,2,4,0.0109,polar8_cal,polar,100000,600000,0.9896,0.9933,0.9929,0.7074,0.6586,0.6821,0.8377
flow,100,2,4,0.0101,knn,knn,20000,120000,0.9904,0.9932,0.9946,0.5635,0.7173,0.6312,0.8122
flow,100,2,4,0.0101,altered_knn,altered_knn,20000,80000,0.9848,0.9920,0.9918,0.2961,0.2815,0.2886,0.6403
flow,100,2,4,0.0101,quadratic,quadratic,20000,120000,0.9464,0.9523,0.9541,0.2651,0.3630,0.3064,0.6294
flow,100,2,4,0.0101,quadratic_cal,quadratic,20000,120000,0.9481,0.9543,0.9550,0.3011,0.3457,0.3218,0.6381
flow,100,2,4,0.0101,polar8,polar,20000,120000,0.9905,0.9927,0.9947,0.5595,0.7716,0.6487,0.8207
flow,100,2,4,0.0101,polar8_cal,polar,20000,120000,0.9914,0.9947,0.9949,0.6441,0.6704,0.6570,0.8258
flow,100,2,4,0.0101,knn,knn,50000,300000,0.9913,0.9945,0.9949,0.6307,0.6790,0.6540,0.8243
flow,100,2,4,0.0101,altered_knn,altered_knn,50000,200000,0.9858,0.9932,0.9923,0.3171,0.2654,0.2890,0.6411
flow,100,2,4,0.0101,quadratic,quadratic,50000,300000,0.9515,0.9572,0.9617,0.2020,0.3914,0.2665,0.6118
flow,100,2,4,0.0101,quadratic_cal,quadratic,50000,300000,0.9550,0.9612,0.9615,0.3223,0.3494,0.3353,0.6482
flow,100,2,4,0.0101,polar8,polar,50000,300000,0.9910,0.9937,0.9948,0.5951,0.7259,0.6541,0.8239
flow,100,2,4,0.0101,polar8_cal,polar,50000,300000,0.9915,0.9948,0.9949,0.6569,0.6642,0.6605,0.8277
flow,100,2,4,0.0101,knn,knn,100000,600000,0.9914,0.9948,0.9949,0.6540,0.6605,0.6572,0.8260
flow,100,2,4,0.0101,altered_knn,altered_knn,100000,400000,0.9871,0.9953,0.9928,0.3710,0.1864,0.2482,0.6217
flow,100,2,4,0.0101,quadratic,quadratic,100000,600000,0.9447,0.9489,0.9648,0.1250,0.5259,0.2020,0.5755
flow,100,2,4,0.0101,quadratic_cal,quadratic,100000,600000,0.9659,0.9726,0.9726,0.3143,0.3185,0.3164,0.6445
flow,100,2,4,0.0101,polar8,polar,100000,600000,0.9911,0.9941,0.9948,0.6168,0.6975,0.6547,0.8244
flow,100,2,4,0.0101,polar8_cal,polar,100000,600000,0.9912,0.9946,0.9948,0.6429,0.6667,0.6545,0.8246
flow,200,2,4,0.0109,knn,knn,20000,120000,0.9935,0.9952,0.9967,0.6598,0.8419,0.7398,0.8675
flow,200,2,4,0.0109,altered_knn,altered_knn,20000,80000,0.9850,0.9921,0.9923,0.3289,0.3425,0.3356,0.6638
flow,200,2,4,0.0109,quadratic,quadratic,20000,120000,0.9293,0.9351,0.9389,0.2320,0.3998,0.2936,0.6144
flow,200,2,4,0.0109,quadratic_cal,quadratic,20000,120000,0.9342,0.9407,0.9402,0.3910,0.3494,0.3690,0.6549
flow,200,2,4,0.0109,polar8,polar,20000,120000,0.9936,0.9952,0.9968,0.6646,0.8511,0.7464,0.8708
flow,200,2,4,0.0109,polar8_cal,polar,20000,120000,0.9941,0.9972,0.9970,0.7461,0.7171,0.7313,0.8642
flow,200,2,4,0.0109,knn,knn,50000,300000,0.9947,0.9970,0.9973,0.7416,0.7858,0.7631,0.8800
flow,200,2,4,0.0109,altered_knn,altered_knn,50000,200000,0.9874,0.9942,0.9936,0.4120,0.3700,0.3899,0.6920
flow,200,2,4,0.0109,quadratic,quadratic,50000,300000,0.9337,0.9389,0.9464,0.1900,0.4593,0.2689,0.6039
flow,200,2,4,0.0109,quadratic_cal,quadratic,50000,300000,0.9417,0.9482,0.9476,0.3961,0.3471,0.3700,0.6591
flow,200,2,4,0.0109,polar8,polar,50000,300000,0.9937,0.9954,0.9968,0.6706,0.8442,0.7475,0.8714
flow,200,2,4,0.0109,polar8_cal,polar,50000,300000,0.9943,0.9972,0.9970,0.7503,0.7262,0.7381,0.8676
flow,200,2,4,0.0109,knn,knn,100000,600000,0.9946,0.9973,0.9972,0.7608,0.7468,0.7538,0.8755
flow,200,2,4,0.0109,altered_knn,altered_knn,100000,400000,0.9892,0.9973,0.9945,0.5126,0.2566,0.3420,0.6696
flow,200,2,4,0.0109,quadratic,quadratic,100000,600000,0.9378,0.9421,0.9556,0.1547,0.5521,0.2417,0.5919
flow,200,2,4,0.0109,quadratic_cal,quadratic,100000,600000,0.9534,0.9602,0.9600,0.3543,0.3414,0.3477,0.6540
flow,200,2,4,0.0109,polar8,polar,100000,600000,0.9943,0.9965,0.9971,0.7198,0.7973,0.7565,0.8765
flow,200,2,4,0.0109,polar8_cal,polar,100000,600000,0.9945,0.9975,0.9972,0.7703,0.7182,0.7433,0.8704
flow,0,2,8,0.0117,knn,knn,20000,240000,0.9795,0.9851,0.9866,0.4087,0.5125,0.4547,0.7199
flow,0,2,8,0.0117,altered_knn,altered_knn,20000,160000,0.9704,0.9785,0.9829,0.1652,0.2893,0.2103,0.5944
flow,0,2,8,0.0117,quadratic,quadratic,20000,240000,0.8460,0.8498,0.9078,0.0448,0.5280,0.0825,0.4661
flow,0,2,8,0.0117,quadratic_cal,quadratic,20000,240000,0.9508,0.9588,0.9580,0.3100,0.2738,0.2908,0.6248
flow,0,2,8,0.0117,polar8,polar,20000,240000,0.9796,0.9847,0.9869,0.3995,0.5461,0.4614,0.7231
flow,0,2,8,0.0117,polar8_cal,polar,20000,240000,0.9809,0.9869,0.9869,0.4818,0.4795,0.4806,0.7338
flow,0,2,8,0.0117,knn,knn,50000,600000,0.9807,0.9867,0.9867,0.4709,0.4779,0.4744,0.7305
flow,0,2,8,0.0117,altered_knn,altered_knn,50000,400000,0.9749,0.9843,0.9845,0.1762,0.1822,0.1792,0.5817
flow,0,2,8,0.0117,quadratic,quadratic,50000,600000,0.8918,0.8963,0.9396,0.0589,0.5157,0.1057,0.5010
flow,0,2,8,0.0117,quadratic_cal,quadratic,50000,600000,0.9751,0.9832,0.9826,0.3268,0.2941,0.3096,0.6464
flow,0,2,8,0.0117,polar8,polar,50000,600000,0.9800,0.9855,0.9868,0.4238,0.5173,0.4659,0.7257
flow,0,2,8,0.0117,polar8_cal,polar,50000,600000,0.9810,0.9871,0.9867,0.4975,0.4678,0.4822,0.7346
flow,0,2,8,0.0117,knn,knn,100000,1200000,0.9812,0.9873,0.9868,0.5100,0.4635,0.4856,0.7365
flow,0,2,8,0.0117,altered_knn,altered_knn,100000,800000,0.9770,0.9872,0.9848,0.1961,0.1135,0.1438,0.5655
flow,0,2,8,0.0117,quadratic,quadratic,100000,1200000,0.9118,0.9167,0.9507,0.0713,0.5013,0.1249,0.5208
flow,0,2,8,0.0117,quadratic_cal,quadratic,100000,1200000,0.9762,0.9840,0.9832,0.3754,0.3186,0.3447,0.6644
flow,0,2,8,0.0117,polar8,polar,100000,1200000,0.9805,0.9863,0.9867,0.4582,0.4939,0.4754,0.7308
flow,0,2,8,0.0117,polar8_cal,polar,100000,1200000,0.9810,0.9872,0.9867,0.5050,0.4619,0.4825,0.7348
flow,100,2,8,0.0119,knn,knn,20000,240000,0.9847,0.9900,0.9913,0.4443,0.5412,0.4879,0.7390
flow,100,2,8,0.0119,altered_knn,altered_knn,20000,160000,0.9791,0.9882,0.9883,0.2252,0.2286,0.2269,0.6075
flow,100,2,8,0.0119,quadratic,quadratic,20000,240000,0.8357,0.8392,0.8981,0.0462,0.5501,0.0852,0.4622
flow,100,2,8,0.0119,quadratic_cal,quadratic,20000,240000,0.9433,0.9513,0.9502,0.3432,0.2800,0.3084,0.6298
flow,100,2,8,0.0119,polar8,polar,20000,240000,0.9847,0.9896,0.9913,0.4504,0.5815,0.5077,0.7486
flow,100,2,8,0.0119,polar8_cal,polar,20000,240000,0.9865,0.9930,0.9913,0.6201,0.4442,0.5176,0.7553
flow,100,2,8,0.0119,knn,knn,50000,600000,0.9857,0.9915,0.9915,0.5034,0.4987,0.5011,0.7463
flow,100,2,8,0.0119,altered_knn,altered_knn,50000,400000,0.9807,0.9897,0.9893,0.2525,0.2365,0.2442,0.6170
flow,100,2,8,0.0119,quadratic,quadratic,50000,600000,0.8901,0.8945,0.9378,0.0601,0.5212,0.1078,0.5012
flow,100,2,8,0.0119,quadratic_cal,quadratic,50000,600000,0.9714,0.9795,0.9789,0.3397,0.3057,0.3218,0.6507
flow,100,2,8,0.0119,polar8,polar,50000,600000,0.9853,0.9908,0.9915,0.4789,0.5364,0.5061,0.7484
flow,100,2,8,0.0119,polar8_cal,polar,50000,600000,0.9862,0.9926,0.9913,0.5734,0.4567,0.5085,0.7505
flow,100,2,8,0.0119,knn,knn,100000,1200000,0.9861,0.9922,0.9915,0.5378,0.4777,0.5060,0.7491
