sampler,d,K,n_seeds,hall_gt,hall_gt_std,model,arch,n_per_mode,n_anchors,full_acc,full_acc_std,mode_acc,mode_acc_std,mode_f1,mode_f1_std,hall_prec,hall_prec_std,hall_rec,hall_rec_std,hall_f1,hall_f1_std,balanced,balanced_std
flow,2,2,1,0.0096,0.0000,knn,knn,20000,60000,0.9962,0.0000,0.9974,0.0000,0.9977,0.0000,0.7677,0.0000,0.8731,0.0000,0.8170,0.0000,0.9072,0.0000
flow,2,2,1,0.0096,0.0000,altered_knn,altered_knn,20000,40000,0.9891,0.0000,0.9973,0.0000,0.9941,0.0000,0.3522,0.0000,0.1451,0.0000,0.2055,0.0000,0.6014,0.0000
flow,2,2,1,0.0096,0.0000,quadratic,quadratic,20000,60000,0.9712,0.0000,0.9754,0.0000,0.9721,0.0000,0.5508,0.0000,0.5337,0.0000,0.5421,0.0000,0.7588,0.0000
flow,2,2,1,0.0096,0.0000,quadratic_cal,quadratic,20000,60000,0.9707,0.0000,0.9747,0.0000,0.9718,0.0000,0.5204,0.0000,0.5622,0.0000,0.5405,0.0000,0.7576,0.0000
flow,2,2,1,0.0096,0.0000,polar8,polar,20000,60000,0.9964,0.0000,0.9976,0.0000,0.9979,0.0000,0.7879,0.0000,0.8756,0.0000,0.8294,0.0000,0.9135,0.0000
flow,2,2,1,0.0096,0.0000,polar8_cal,polar,20000,60000,0.9965,0.0000,0.9983,0.0000,0.9980,0.0000,0.8509,0.0000,0.8135,0.0000,0.8318,0.0000,0.9151,0.0000
flow,2,2,1,0.0096,0.0000,knn,knn,50000,150000,0.9966,0.0000,0.9981,0.0000,0.9980,0.0000,0.8155,0.0000,0.8472,0.0000,0.8310,0.0000,0.9145,0.0000
flow,2,2,1,0.0096,0.0000,altered_knn,altered_knn,50000,100000,0.9897,0.0000,0.9976,0.0000,0.9945,0.0000,0.4321,0.0000,0.1813,0.0000,0.2555,0.0000,0.6266,0.0000
flow,2,2,1,0.0096,0.0000,quadratic,quadratic,50000,150000,0.9715,0.0000,0.9758,0.0000,0.9724,0.0000,0.5493,0.0000,0.5337,0.0000,0.5414,0.0000,0.7586,0.0000
flow,2,2,1,0.0096,0.0000,quadratic_cal,quadratic,50000,150000,0.9710,0.0000,0.9750,0.0000,0.9722,0.0000,0.5204,0.0000,0.5622,0.0000,0.5405,0.0000,0.7577,0.0000
flow,2,2,1,0.0096,0.0000,polar8,polar,50000,150000,0.9964,0.0000,0.9976,0.0000,0.9979,0.0000,0.7911,0.0000,0.8731,0.0000,0.8300,0.0000,0.9138,0.0000
flow,2,2,1,0.0096,0.0000,polar8_cal,polar,50000,150000,0.9965,0.0000,0.9982,0.0000,0.9980,0.0000,0.8404,0.0000,0.8187,0.0000,0.8294,0.0000,0.9138,0.0000
flow,2,2,1,0.0096,0.0000,knn,knn,100000,300000,0.9966,0.0000,0.9982,0.0000,0.9981,0.0000,0.8265,0.0000,0.8394,0.0000,0.8329,0.0000,0.9155,0.0000
flow,2,2,1,0.0096,0.0000,altered_knn,altered_knn,100000,200000,0.9901,0.0000,0.9984,0.0000,0.9948,0.0000,0.4779,0.0000,0.1399,0.0000,0.2164,0.0000,0.6074,0.0000
flow,2,2,1,0.0096,0.0000,quadratic,quadratic,100000,300000,0.9792,0.0000,0.9835,0.0000,0.9810,0.0000,0.5476,0.0000,0.5363,0.0000,0.5419,0.0000,0.7627,0.0000
flow,2,2,1,0.0096,0.0000,quadratic_cal,quadratic,100000,300000,0.9788,0.0000,0.9829,0.0000,0.9809,0.0000,0.5206,0.0000,0.5570,0.0000,0.5382,0.0000,0.7606,0.0000
flow,2,2,1,0.0096,0.0000,polar8,polar,100000,300000,0.9965,0.0000,0.9979,0.0000,0.9980,0.0000,0.8073,0.0000,0.8575,0.0000,0.8317,0.0000,0.9148,0.0000
flow,2,2,1,0.0096,0.0000,polar8_cal,polar,100000,300000,0.9965,0.0000,0.9982,0.0000,0.9980,0.0000,0.8439,0.0000,0.8264,0.0000,0.8351,0.0000,0.9166,0.0000
flow,2,4,1,0.0096,0.0000,knn,knn,20000,120000,0.9899,0.0000,0.9924,0.0000,0.9937,0.0000,0.5159,0.0000,0.7354,0.0000,0.6064,0.0000,0.7994,0.0000
flow,2,4,1,0.0096,0.0000,altered_knn,altered_knn,20000,80000,0.9806,0.0000,0.9871,0.0000,0.9886,0.0000,0.1993,0.0000,0.3152,0.0000,0.2442,0.0000,0.6157,0.0000
flow,2,4,1,0.0096,0.0000,quadratic,quadratic,20000,120000,0.9208,0.0000,0.9251,0.0000,0.9286,0.0000,0.1689,0.0000,0.4799,0.0000,0.2498,0.0000,0.5875,0.0000
flow,2,4,1,0.0096,0.0000,quadratic_cal,quadratic,20000,120000,0.9336,0.0000,0.9397,0.0000,0.9333,0.0000,0.4268,0.0000,0.3100,0.0000,0.3591,0.0000,0.6494,0.0000
flow,2,4,1,0.0096,0.0000,polar8,polar,20000,120000,0.9896,0.0000,0.9917,0.0000,0.9933,0.0000,0.5055,0.0000,0.7795,0.0000,0.6133,0.0000,0.8025,0.0000
flow,2,4,1,0.0096,0.0000,polar8_cal,polar,20000,120000,0.9907,0.0000,0.9942,0.0000,0.9936,0.0000,0.6161,0.0000,0.6368,0.0000,0.6263,0.0000,0.8102,0.0000
flow,2,4,1,0.0096,0.0000,knn,knn,50000,300000,0.9910,0.0000,0.9939,0.0000,0.9941,0.0000,0.5949,0.0000,0.6913,0.0000,0.6395,0.0000,0.8167,0.0000
