sampler,d,K,n_seeds,hall_gt,hall_gt_std,model,arch,n_per_mode,n_anchors,full_acc,full_acc_std,mode_acc,mode_acc_std,mode_f1,mode_f1_std,hall_prec,hall_prec_std,hall_rec,hall_rec_std,hall_f1,hall_f1_std,balanced,balanced_std
ddim,2,2,3,0.0097,0.0005,knn,knn,2000,6000,0.9846,0.0010,0.9865,0.0009,0.9915,0.0005,0.3872,0.0164,0.7851,0.0160,0.5184,0.0161,0.7525,0.0085
ddim,2,2,3,0.0097,0.0005,altered_knn,altered_knn,2000,4000,0.9725,0.0010,0.9799,0.0012,0.9850,0.0006,0.1056,0.0174,0.2143,0.0204,0.1412,0.0197,0.5606,0.0104
ddim,2,2,3,0.0097,0.0005,quadratic,quadratic,2000,6000,0.9886,0.0009,0.9925,0.0006,0.9928,0.0008,0.5564,0.0192,0.5912,0.0376,0.5731,0.0268,0.7828,0.0134
ddim,2,2,3,0.0097,0.0005,polar3,polar,2000,6000,0.9954,0.0008,0.9964,0.0008,0.9975,0.0006,0.7293,0.0236,0.8933,0.0204,0.8025,0.0100,0.8994,0.0054
ddim,2,2,3,0.0097,0.0005,knn,knn,5000,15000,0.9905,0.0006,0.9918,0.0007,0.9950,0.0004,0.5182,0.0190,0.8590,0.0317,0.6458,0.0116,0.8188,0.0061
ddim,2,2,3,0.0097,0.0005,altered_knn,altered_knn,5000,10000,0.9770,0.0009,0.9840,0.0011,0.9881,0.0004,0.1439,0.0222,0.2633,0.0287,0.1856,0.0240,0.5848,0.0124
ddim,2,2,3,0.0097,0.0005,quadratic,quadratic,5000,15000,0.9879,0.0015,0.9918,0.0017,0.9920,0.0016,0.5586,0.0098,0.5856,0.0345,0.5714,0.0196,0.7816,0.0091
ddim,2,2,3,0.0097,0.0005,polar3,polar,5000,15000,0.9953,0.0008,0.9963,0.0008,0.9974,0.0007,0.7273,0.0214,0.8917,0.0224,0.8007,0.0112,0.8985,0.0060
ddim,2,2,3,0.0097,0.0005,knn,knn,10000,30000,0.9935,0.0006,0.9945,0.0005,0.9966,0.0004,0.6234,0.0183,0.8909,0.0300,0.7331,0.0156,0.8638,0.0080
ddim,2,2,3,0.0097,0.0005,altered_knn,altered_knn,10000,20000,0.9828,0.0030,0.9903,0.0033,0.9911,0.0014,0.1925,0.0339,0.2136,0.0272,0.1980,0.0095,0.5941,0.0063
ddim,2,2,3,0.0097,0.0005,quadratic,quadratic,10000,30000,0.9879,0.0013,0.9918,0.0017,0.9921,0.0016,0.5575,0.0162,0.5892,0.0381,0.5725,0.0247,0.7822,0.0115
ddim,2,2,3,0.0097,0.0005,polar3,polar,10000,30000,0.9953,0.0008,0.9964,0.0008,0.9974,0.0007,0.7302,0.0231,0.8874,0.0230,0.8007,0.0138,0.8986,0.0073
ddim,2,2,3,0.0097,0.0005,knn,knn,15000,45000,0.9944,0.0007,0.9954,0.0006,0.9971,0.0005,0.6678,0.0236,0.8919,0.0292,0.7634,0.0197,0.8794,0.0101
ddim,2,2,3,0.0097,0.0005,altered_knn,altered_knn,15000,30000,0.9837,0.0024,0.9909,0.0026,0.9917,0.0013,0.2164,0.0389,0.2417,0.0178,0.2256,0.0209,0.6082,0.0114
ddim,2,2,3,0.0097,0.0005,quadratic,quadratic,15000,45000,0.9882,0.0013,0.9921,0.0015,0.9924,0.0014,0.5587,0.0155,0.5922,0.0363,0.5745,0.0223,0.7833,0.0106
ddim,2,2,3,0.0097,0.0005,polar3,polar,15000,45000,0.9952,0.0009,0.9963,0.0008,0.9974,0.0007,0.7241,0.0203,0.8917,0.0192,0.7990,0.0141,0.8976,0.0074
