sampler,d,K,n_seeds,hall_gt,hall_gt_std,model,arch,n_per_mode,n_anchors,full_acc,full_acc_std,mode_acc,mode_acc_std,mode_f1,mode_f1_std,hall_prec,hall_prec_std,hall_rec,hall_rec_std,hall_f1,hall_f1_std,balanced,balanced_std
ddim,2,2,3,0.0094,0.0004,knn,knn,2000,6000,0.9626,0.0028,0.9658,0.0025,0.9736,0.0041,0.2428,0.0159,0.6259,0.0399,0.3492,0.0161,0.6575,0.0081
ddim,2,2,3,0.0094,0.0004,altered_knn,altered_knn,2000,4000,0.9548,0.0093,0.9629,0.0097,0.9713,0.0060,0.0426,0.0158,0.1003,0.0027,0.0583,0.0151,0.5106,0.0124
ddim,2,2,3,0.0094,0.0004,quadratic,quadratic,2000,6000,0.9496,0.0004,0.9529,0.0005,0.9556,0.0021,0.3538,0.0739,0.6015,0.0201,0.4392,0.0577,0.6961,0.0291
ddim,2,2,3,0.0094,0.0004,polar3,polar,2000,6000,0.9671,0.0018,0.9698,0.0020,0.9743,0.0039,0.3509,0.0586,0.6849,0.0186,0.4616,0.0560,0.7157,0.0271
ddim,2,2,3,0.0094,0.0004,knn,knn,5000,15000,0.9657,0.0025,0.9689,0.0025,0.9743,0.0039,0.2969,0.0253,0.6316,0.0201,0.4028,0.0213,0.6859,0.0096
ddim,2,2,3,0.0094,0.0004,altered_knn,altered_knn,5000,10000,0.9597,0.0048,0.9681,0.0048,0.9735,0.0059,0.0361,0.0163,0.0751,0.0386,0.0488,0.0230,0.5084,0.0139
ddim,2,2,3,0.0094,0.0004,quadratic,quadratic,5000,15000,0.9512,0.0007,0.9546,0.0008,0.9572,0.0018,0.3497,0.0662,0.5956,0.0249,0.4350,0.0496,0.6948,0.0251
ddim,2,2,3,0.0094,0.0004,polar3,polar,5000,15000,0.9670,0.0017,0.9697,0.0019,0.9743,0.0038,0.3471,0.0578,0.6814,0.0167,0.4575,0.0555,0.7136,0.0269
ddim,2,2,3,0.0094,0.0004,knn,knn,10000,30000,0.9671,0.0021,0.9703,0.0021,0.9743,0.0040,0.3427,0.0489,0.6364,0.0131,0.4429,0.0408,0.7066,0.0194
ddim,2,2,3,0.0094,0.0004,altered_knn,altered_knn,10000,20000,0.9639,0.0045,0.9727,0.0047,0.9740,0.0060,0.0327,0.0141,0.0429,0.0241,0.0369,0.0178,0.5048,0.0112
ddim,2,2,3,0.0094,0.0004,quadratic,quadratic,10000,30000,0.9518,0.0006,0.9551,0.0007,0.9577,0.0017,0.3529,0.0681,0.6004,0.0209,0.4390,0.0521,0.6970,0.0264
ddim,2,2,3,0.0094,0.0004,polar3,polar,10000,30000,0.9671,0.0015,0.9699,0.0017,0.9744,0.0037,0.3503,0.0624,0.6828,0.0179,0.4603,0.0598,0.7151,0.0291
ddim,2,2,3,0.0094,0.0004,knn,knn,15000,45000,0.9678,0.0021,0.9708,0.0021,0.9743,0.0040,0.3723,0.0601,0.6489,0.0094,0.4697,0.0493,0.7203,0.0236
ddim,2,2,3,0.0094,0.0004,altered_knn,altered_knn,15000,30000,0.9654,0.0058,0.9743,0.0061,0.9742,0.0057,0.0272,0.0099,0.0259,0.0070,0.0265,0.0084,0.5004,0.0070
ddim,2,2,3,0.0094,0.0004,quadratic,quadratic,15000,45000,0.9510,0.0008,0.9543,0.0008,0.9569,0.0019,0.3535,0.0687,0.6025,0.0204,0.4400,0.0529,0.6971,0.0268
ddim,2,2,3,0.0094,0.0004,polar3,polar,15000,45000,0.9671,0.0016,0.9698,0.0017,0.9744,0.0037,0.3496,0.0609,0.6845,0.0166,0.4601,0.0580,0.7149,0.0282
ddim,2,2,3,0.0094,0.0004,knn,knn,20000,60000,0.9680,0.0020,0.9710,0.0021,0.9742,0.0040,0.3865,0.0674,0.6527,0.0084,0.4818,0.0559,0.7264,0.0269
ddim,2,2,3,0.0094,0.0004,altered_knn,altered_knn,20000,40000,0.9658,0.0055,0.9748,0.0058,0.9742,0.0059,0.0299,0.0103,0.0252,0.0065,0.0269,0.0076,0.5008,0.0066
ddim,2,2,3,0.0094,0.0004,quadratic,quadratic,20000,60000,0.9507,0.0006,0.9540,0.0007,0.9565,0.0020,0.3546,0.0688,0.6014,0.0205,0.4405,0.0528,0.6972,0.0267
ddim,2,2,3,0.0094,0.0004,polar3,polar,20000,60000,0.9671,0.0015,0.9698,0.0017,0.9744,0.0037,0.3496,0.0607,0.6848,0.0163,0.4601,0.0577,0.7150,0.0281
ddim,2,4,3,0.0108,0.0004,knn,knn,2000,12000,0.9151,0.0342,0.9207,0.0333,0.9164,0.0377,0.1572,0.0539,0.4005,0.1135,0.2256,0.0735,0.5731,0.0530
ddim,2,4,3,0.0108,0.0004,altered_knn,altered_knn,2000,8000,0.9084,0.0361,0.9173,0.0358,0.9112,0.0391,0.0423,0.0316,0.0889,0.0495,0.0557,0.0384,0.4865,0.0367
ddim,2,4,3,0.0108,0.0004,quadratic,quadratic,2000,12000,0.8920,0.0364,0.8973,0.0369,0.8954,0.0378,0.2018,0.0763,0.4006,0.0860,0.2521,0.0567,0.5747,0.0460
ddim,2,4,3,0.0108,0.0004,polar3,polar,2000,12000,0.9181,0.0342,0.9235,0.0338,0.9174,0.0392,0.1906,0.0390,0.4199,0.0717,0.2619,0.0503,0.5927,0.0419
ddim,2,4,3,0.0108,0.0004,knn,knn,5000,30000,0.9186,0.0340,0.9244,0.0333,0.9170,0.0380,0.2002,0.0627,0.3820,0.0870,0.2621,0.0740,0.5933,0.0535
ddim,2,4,3,0.0108,0.0004,altered_knn,altered_knn,5000,20000,0.9118,0.0373,0.9210,0.0374,0.9152,0.0386,0.0399,0.0313,0.0644,0.0204,0.0461,0.0280,0.4836,0.0325
ddim,2,4,3,0.0108,0.0004,quadratic,quadratic,5000,30000,0.8931,0.0368,0.8984,0.0373,0.8966,0.0383,0.2006,0.0766,0.3983,0.0858,0.2510,0.0562,0.5747,0.0463
ddim,2,4,3,0.0108,0.0004,polar3,polar,5000,30000,0.9182,0.0342,0.9236,0.0338,0.9173,0.0396,0.1886,0.0346,0.4183,0.0707,0.2597,0.0460,0.5917,0.0397
ddim,2,4,3,0.0108,0.0004,knn,knn,10000,60000,0.9207,0.0339,0.9266,0.0334,0.9173,0.0383,0.2470,0.0731,0.3790,0.0774,0.2982,0.0767,0.6124,0.0549
ddim,2,4,3,0.0108,0.0004,altered_knn,altered_knn,10000,40000,0.9168,0.0340,0.9262,0.0338,0.9157,0.0380,0.0417,0.0365,0.0466,0.0297,0.0433,0.0334,0.4848,0.0336
ddim,2,4,3,0.0108,0.0004,quadratic,quadratic,10000,60000,0.8920,0.0364,0.8973,0.0369,0.8954,0.0378,0.2034,0.0771,0.3977,0.0852,0.2532,0.0565,0.5753,0.0461
ddim,2,4,3,0.0108,0.0004,polar3,polar,10000,60000,0.9182,0.0344,0.9236,0.0339,0.9172,0.0397,0.1915,0.0370,0.4196,0.0737,0.2626,0.0485,0.5931,0.0411
ddim,2,4,3,0.0108,0.0004,knn,knn,15000,90000,0.9215,0.0338,0.9274,0.0333,0.9173,0.0383,0.2727,0.0792,0.3759,0.0741,0.3151,0.0782,0.6212,0.0557
ddim,2,4,3,0.0108,0.0004,altered_knn,altered_knn,15000,60000,0.9200,0.0326,0.9296,0.0325,0.9160,0.0379,0.0449,0.0371,0.0315,0.0213,0.0360,0.0271,0.4828,0.0296
ddim,2,4,3,0.0108,0.0004,quadratic,quadratic,15000,90000,0.8921,0.0365,0.8975,0.0370,0.8955,0.0379,0.2038,0.0774,0.3969,0.0850,0.2534,0.0564,0.5754,0.0460
ddim,2,4,3,0.0108,0.0004,polar3,polar,15000,90000,0.9182,0.0345,0.9236,0.0340,0.9172,0.0397,0.1917,0.0373,0.4213,0.0743,0.2632,0.0491,0.5934,0.0413
ddim,2,4,3,0.0108,0.0004,knn,knn,20000,120000,0.9219,0.0337,0.9279,0.0332,0.9174,0.0383,0.2921,0.0834,0.3763,0.0702,0.3276,0.0782,0.6278,0.0557
ddim,2,4,3,0.0108,0.0004,altered_knn,altered_knn,20000,80000,0.9198,0.0329,0.9295,0.0328,0.9164,0.0377,0.0430,0.0355,0.0295,0.0189,0.0347,0.0251,0.4821,0.0288
ddim,2,4,3,0.0108,0.0004,quadratic,quadratic,20000,120000,0.8930,0.0362,0.8983,0.0366,0.8964,0.0377,0.2050,0.0761,0.3963,0.0842,0.2546,0.0551,0.5765,0.0451
ddim,2,4,3,0.0108,0.0004,polar3,polar,20000,120000,0.9183,0.0347,0.9237,0.0342,0.9175,0.0401,0.1913,0.0360,0.4253,0.0781,0.2636,0.0486,0.5936,0.0412
ddim,2,8,3,0.0115,0.0006,knn,knn,2000,24000,0.9394,0.0222,0.9455,0.0219,0.9499,0.0237,0.1636,0.0413,0.4130,0.0829,0.2342,0.0559,0.5899,0.0389
ddim,2,8,3,0.0115,0.0006,altered_knn,altered_knn,2000,16000,0.9317,0.0212,0.9405,0.0213,0.9441,0.0225,0.0686,0.0289,0.1667,0.0696,0.0969,0.0408,0.5187,0.0304
ddim,2,8,3,0.0115,0.0006,quadratic,quadratic,2000,24000,0.8008,0.0144,0.8038,0.0149,0.8576,0.0165,0.0420,0.0013,0.5375,0.0159,0.0779,0.0022,0.4408,0.0082
ddim,2,8,3,0.0115,0.0006,polar3,polar,2000,24000,0.9414,0.0233,0.9470,0.0233,0.9532,0.0244,0.1717,0.0375,0.4555,0.0521,0.2488,0.0475,0.5979,0.0352
ddim,2,8,3,0.0115,0.0006,knn,knn,5000,60000,0.9451,0.0234,0.9516,0.0232,0.9525,0.0253,0.2042,0.0476,0.3874,0.0669,0.2672,0.0568,0.6094,0.0399
ddim,2,8,3,0.0115,0.0006,altered_knn,altered_knn,5000,40000,0.9342,0.0198,0.9423,0.0192,0.9481,0.0239,0.0791,0.0352,0.2294,0.1096,0.1172,0.0533,0.5298,0.0362
ddim,2,8,3,0.0115,0.0006,quadratic,quadratic,5000,60000,0.7981,0.0157,0.8012,0.0162,0.8557,0.0168,0.0414,0.0015,0.5376,0.0160,0.0769,0.0024,0.4390,0.0091
ddim,2,8,3,0.0115,0.0006,polar3,polar,5000,60000,0.9413,0.0233,0.9470,0.0233,0.9529,0.0242,0.1717,0.0407,0.4482,0.0520,0.2475,0.0505,0.5972,0.0367
