sampler,d,K,n_seeds,hall_gt,hall_gt_std,model,arch,n_per_mode,n_anchors,full_acc,full_acc_std,mode_acc,mode_acc_std,mode_f1,mode_f1_std,hall_prec,hall_prec_std,hall_rec,hall_rec_std,hall_f1,hall_f1_std,balanced,balanced_std
dpmpp2m,2,2,3,0.0110,0.0005,knn,knn,2000,6000,0.9837,0.0011,0.9868,0.0009,0.9911,0.0006,0.3999,0.0178,0.7113,0.0120,0.5118,0.0168,0.7493,0.0089
dpmpp2m,2,2,3,0.0110,0.0005,altered_knn,altered_knn,2000,4000,0.9715,0.0010,0.9801,0.0011,0.9844,0.0006,0.1118,0.0172,0.1994,0.0182,0.1431,0.0185,0.5616,0.0098
dpmpp2m,2,2,3,0.0110,0.0005,quadratic,quadratic,2000,6000,0.9883,0.0010,0.9930,0.0006,0.9926,0.0008,0.6050,0.0255,0.5640,0.0371,0.5836,0.0307,0.7883,0.0154
dpmpp2m,2,2,3,0.0110,0.0005,polar3,polar,2000,6000,0.9956,0.0010,0.9972,0.0008,0.9976,0.0007,0.7955,0.0194,0.8559,0.0379,0.8242,0.0229,0.9107,0.0117
dpmpp2m,2,2,3,0.0110,0.0005,knn,knn,5000,15000,0.9899,0.0007,0.9922,0.0007,0.9947,0.0004,0.5396,0.0192,0.7849,0.0266,0.6390,0.0119,0.8156,0.0063
dpmpp2m,2,2,3,0.0110,0.0005,altered_knn,altered_knn,5000,10000,0.9759,0.0008,0.9841,0.0011,0.9875,0.0004,0.1512,0.0204,0.2431,0.0240,0.1860,0.0207,0.5850,0.0107
dpmpp2m,2,2,3,0.0110,0.0005,quadratic,quadratic,5000,15000,0.9875,0.0014,0.9923,0.0017,0.9919,0.0016,0.6067,0.0143,0.5581,0.0344,0.5811,0.0239,0.7867,0.0114
dpmpp2m,2,2,3,0.0110,0.0005,polar3,polar,5000,15000,0.9955,0.0010,0.9971,0.0008,0.9975,0.0007,0.7908,0.0173,0.8516,0.0356,0.8197,0.0214,0.9084,0.0109
dpmpp2m,2,2,3,0.0110,0.0005,knn,knn,10000,30000,0.9930,0.0007,0.9949,0.0005,0.9963,0.0005,0.6527,0.0193,0.8185,0.0302,0.7260,0.0192,0.8604,0.0098
dpmpp2m,2,2,3,0.0110,0.0005,altered_knn,altered_knn,10000,20000,0.9816,0.0029,0.9904,0.0032,0.9905,0.0014,0.2013,0.0317,0.1969,0.0271,0.1948,0.0043,0.5926,0.0038
dpmpp2m,2,2,3,0.0110,0.0005,quadratic,quadratic,10000,30000,0.9876,0.0012,0.9923,0.0016,0.9919,0.0015,0.6053,0.0210,0.5613,0.0377,0.5822,0.0285,0.7872,0.0136
dpmpp2m,2,2,3,0.0110,0.0005,polar3,polar,10000,30000,0.9955,0.0010,0.9971,0.0008,0.9975,0.0007,0.7937,0.0186,0.8482,0.0365,0.8197,0.0225,0.9084,0.0115
dpmpp2m,2,2,3,0.0110,0.0005,knn,knn,15000,45000,0.9940,0.0007,0.9959,0.0005,0.9969,0.0005,0.7025,0.0211,0.8235,0.0295,0.7579,0.0199,0.8769,0.0102
dpmpp2m,2,2,3,0.0110,0.0005,altered_knn,altered_knn,15000,30000,0.9826,0.0024,0.9910,0.0026,0.9911,0.0013,0.2272,0.0358,0.2223,0.0163,0.2220,0.0130,0.6065,0.0076
dpmpp2m,2,2,3,0.0110,0.0005,quadratic,quadratic,15000,45000,0.9879,0.0013,0.9926,0.0014,0.9922,0.0014,0.6060,0.0191,0.5637,0.0361,0.5837,0.0261,0.7882,0.0126
dpmpp2m,2,2,3,0.0110,0.0005,polar3,polar,15000,45000,0.9954,0.0010,0.9970,0.0008,0.9975,0.0008,0.7890,0.0208,0.8523,0.0347,0.8193,0.0252,0.9082,0.0129
dpmpp2m,2,2,3,0.0110,0.0005,knn,knn,20000,60000,0.9946,0.0009,0.9965,0.0007,0.9972,0.0006,0.7372,0.0272,0.8235,0.0351,0.7776,0.0262,0.8871,0.0134
dpmpp2m,2,2,3,0.0110,0.0005,altered_knn,altered_knn,20000,40000,0.9827,0.0026,0.9910,0.0027,0.9912,0.0013,0.2386,0.0447,0.2400,0.0093,0.2363,0.0203,0.6136,0.0114
dpmpp2m,2,2,3,0.0110,0.0005,quadratic,quadratic,20000,60000,0.9882,0.0013,0.9929,0.0012,0.9925,0.0013,0.6072,0.0193,0.5609,0.0359,0.5828,0.0266,0.7879,0.0130
dpmpp2m,2,2,3,0.0110,0.0005,polar3,polar,20000,60000,0.9954,0.0011,0.9970,0.0009,0.9975,0.0008,0.7844,0.0276,0.8530,0.0350,0.8170,0.0275,0.9070,0.0141
dpmpp2m,2,4,3,0.0120,0.0003,knn,knn,2000,12000,0.9621,0.0046,0.9675,0.0046,0.9750,0.0041,0.2274,0.0183,0.5127,0.0254,0.3149,0.0218,0.6412,0.0122
dpmpp2m,2,4,3,0.0120,0.0003,altered_knn,altered_knn,2000,8000,0.9455,0.0107,0.9535,0.0114,0.9677,0.0057,0.0863,0.0091,0.2874,0.0584,0.1311,0.0088,0.5423,0.0085
dpmpp2m,2,4,3,0.0120,0.0003,quadratic,quadratic,2000,12000,0.9273,0.0152,0.9334,0.0161,0.9377,0.0134,0.2513,0.0401,0.4226,0.0728,0.3083,0.0168,0.6208,0.0158
dpmpp2m,2,4,3,0.0120,0.0003,polar3,polar,2000,12000,0.9660,0.0037,0.9710,0.0039,0.9767,0.0035,0.2829,0.0141,0.5533,0.0302,0.3743,0.0181,0.6726,0.0093
dpmpp2m,2,4,3,0.0120,0.0003,knn,knn,5000,30000,0.9676,0.0043,0.9734,0.0044,0.9777,0.0040,0.2861,0.0228,0.4898,0.0332,0.3611,0.0261,0.6672,0.0137
dpmpp2m,2,4,3,0.0120,0.0003,altered_knn,altered_knn,5000,20000,0.9580,0.0028,0.9671,0.0029,0.9734,0.0027,0.0965,0.0137,0.2029,0.0685,0.1294,0.0279,0.5482,0.0131
dpmpp2m,2,4,3,0.0120,0.0003,quadratic,quadratic,5000,30000,0.9264,0.0138,0.9325,0.0146,0.9367,0.0120,0.2511,0.0427,0.4223,0.0712,0.3082,0.0206,0.6203,0.0167
dpmpp2m,2,4,3,0.0120,0.0003,polar3,polar,5000,30000,0.9660,0.0041,0.9710,0.0044,0.9766,0.0038,0.2877,0.0128,0.5574,0.0295,0.3793,0.0157,0.6751,0.0080
dpmpp2m,2,4,3,0.0120,0.0003,knn,knn,10000,60000,0.9703,0.0040,0.9762,0.0041,0.9785,0.0038,0.3477,0.0216,0.4805,0.0323,0.4032,0.0238,0.6897,0.0124
dpmpp2m,2,4,3,0.0120,0.0003,altered_knn,altered_knn,10000,40000,0.9614,0.0030,0.9711,0.0028,0.9748,0.0032,0.0986,0.0166,0.1595,0.0323,0.1218,0.0220,0.5465,0.0113
dpmpp2m,2,4,3,0.0120,0.0003,quadratic,quadratic,10000,60000,0.9275,0.0141,0.9336,0.0149,0.9377,0.0124,0.2566,0.0402,0.4230,0.0712,0.3127,0.0169,0.6232,0.0153
dpmpp2m,2,4,3,0.0120,0.0003,polar3,polar,10000,60000,0.9658,0.0038,0.9708,0.0040,0.9764,0.0037,0.2852,0.0134,0.5512,0.0302,0.3758,0.0179,0.6733,0.0089
dpmpp2m,2,4,3,0.0120,0.0003,knn,knn,15000,90000,0.9713,0.0038,0.9773,0.0040,0.9787,0.0037,0.3833,0.0176,0.4739,0.0301,0.4236,0.0206,0.7004,0.0106
dpmpp2m,2,4,3,0.0120,0.0003,altered_knn,altered_knn,15000,60000,0.9633,0.0042,0.9734,0.0043,0.9756,0.0035,0.0978,0.0132,0.1318,0.0211,0.1119,0.0153,0.5427,0.0072
dpmpp2m,2,4,3,0.0120,0.0003,quadratic,quadratic,15000,90000,0.9276,0.0140,0.9337,0.0149,0.9377,0.0124,0.2576,0.0402,0.4213,0.0712,0.3131,0.0175,0.6234,0.0152
dpmpp2m,2,4,3,0.0120,0.0003,polar3,polar,15000,90000,0.9663,0.0039,0.9713,0.0041,0.9766,0.0038,0.2966,0.0207,0.5588,0.0315,0.3874,0.0248,0.6793,0.0125
dpmpp2m,2,4,3,0.0120,0.0003,knn,knn,20000,120000,0.9718,0.0038,0.9779,0.0039,0.9788,0.0037,0.4089,0.0163,0.4723,0.0243,0.4381,0.0178,0.7080,0.0093
