sampler,d,K,n_seeds,hall_gt,hall_gt_std,model,arch,n_per_mode,n_anchors,full_acc,full_acc_std,mode_acc,mode_acc_std,mode_f1,mode_f1_std,hall_prec,hall_prec_std,hall_rec,hall_rec_std,hall_f1,hall_f1_std,balanced,balanced_std
dpmpp2m,2,2,3,0.0109,0.0005,knn,knn,2000,6000,0.9840,0.0013,0.9868,0.0011,0.9907,0.0007,0.4101,0.0254,0.7266,0.0174,0.5241,0.0252,0.7555,0.0131
dpmpp2m,2,2,3,0.0109,0.0005,altered_knn,altered_knn,2000,4000,0.9677,0.0088,0.9761,0.0097,0.9819,0.0041,0.1001,0.0093,0.2075,0.1021,0.1270,0.0195,0.5515,0.0051
dpmpp2m,2,2,3,0.0109,0.0005,quadratic,quadratic,2000,6000,0.9779,0.0008,0.9824,0.0005,0.9815,0.0004,0.5862,0.0276,0.5759,0.0223,0.5809,0.0237,0.7817,0.0121
dpmpp2m,2,2,3,0.0109,0.0005,polar3,polar,2000,6000,0.9941,0.0010,0.9953,0.0005,0.9967,0.0007,0.6866,0.0154,0.8891,0.0413,0.7745,0.0221,0.8849,0.0113
dpmpp2m,2,2,3,0.0109,0.0005,knn,knn,5000,15000,0.9904,0.0006,0.9926,0.0005,0.9947,0.0003,0.5542,0.0294,0.7926,0.0182,0.6519,0.0231,0.8222,0.0118
dpmpp2m,2,2,3,0.0109,0.0005,altered_knn,altered_knn,5000,10000,0.9721,0.0032,0.9799,0.0039,0.9853,0.0014,0.1314,0.0198,0.2659,0.0375,0.1737,0.0151,0.5768,0.0086
dpmpp2m,2,2,3,0.0109,0.0005,quadratic,quadratic,5000,15000,0.9792,0.0012,0.9838,0.0009,0.9829,0.0009,0.5841,0.0171,0.5683,0.0224,0.5760,0.0186,0.7799,0.0097
dpmpp2m,2,2,3,0.0109,0.0005,polar3,polar,5000,15000,0.9941,0.0010,0.9953,0.0004,0.9967,0.0007,0.6867,0.0138,0.8890,0.0459,0.7744,0.0224,0.8849,0.0114
dpmpp2m,2,2,3,0.0109,0.0005,knn,knn,10000,30000,0.9935,0.0007,0.9952,0.0004,0.9964,0.0006,0.6721,0.0160,0.8328,0.0244,0.7437,0.0167,0.8695,0.0085
dpmpp2m,2,2,3,0.0109,0.0005,altered_knn,altered_knn,10000,20000,0.9781,0.0030,0.9862,0.0037,0.9885,0.0014,0.1692,0.0226,0.2446,0.0450,0.1964,0.0143,0.5913,0.0073
dpmpp2m,2,2,3,0.0109,0.0005,quadratic,quadratic,10000,30000,0.9799,0.0013,0.9843,0.0008,0.9835,0.0009,0.5873,0.0210,0.5749,0.0272,0.5810,0.0236,0.7826,0.0122
dpmpp2m,2,2,3,0.0109,0.0005,polar3,polar,10000,30000,0.9942,0.0011,0.9953,0.0006,0.9967,0.0008,0.6886,0.0154,0.8913,0.0425,0.7768,0.0248,0.8860,0.0127
dpmpp2m,2,2,3,0.0109,0.0005,knn,knn,15000,45000,0.9946,0.0008,0.9962,0.0004,0.9970,0.0007,0.7245,0.0103,0.8441,0.0327,0.7796,0.0194,0.8879,0.0099
dpmpp2m,2,2,3,0.0109,0.0005,altered_knn,altered_knn,15000,30000,0.9808,0.0023,0.9891,0.0031,0.9899,0.0009,0.1970,0.0311,0.2284,0.0483,0.2054,0.0104,0.5973,0.0046
dpmpp2m,2,2,3,0.0109,0.0005,quadratic,quadratic,15000,45000,0.9791,0.0013,0.9836,0.0009,0.9827,0.0009,0.5884,0.0246,0.5752,0.0280,0.5817,0.0255,0.7826,0.0132
dpmpp2m,2,2,3,0.0109,0.0005,polar3,polar,15000,45000,0.9942,0.0011,0.9953,0.0006,0.9967,0.0008,0.6863,0.0169,0.8926,0.0433,0.7757,0.0255,0.8855,0.0130
dpmpp2m,2,2,3,0.0109,0.0005,knn,knn,20000,60000,0.9951,0.0009,0.9967,0.0006,0.9973,0.0007,0.7553,0.0160,0.8482,0.0287,0.7990,0.0211,0.8979,0.0108
dpmpp2m,2,2,3,0.0109,0.0005,altered_knn,altered_knn,20000,40000,0.9839,0.0014,0.9925,0.0024,0.9915,0.0005,0.2496,0.0442,0.2029,0.0601,0.2128,0.0307,0.6027,0.0144
