sampler,d,K,n_seeds,hall_gt,hall_gt_std,model,arch,n_per_mode,n_anchors,full_acc,full_acc_std,mode_acc,mode_acc_std,mode_f1,mode_f1_std,hall_prec,hall_prec_std,hall_rec,hall_rec_std,hall_f1,hall_f1_std,balanced,balanced_std
flow,2,2,3,0.0098,0.0003,knn,knn,2000,6000,0.9849,0.0012,0.9869,0.0012,0.9916,0.0007,0.3990,0.0227,0.7785,0.0059,0.5272,0.0204,0.7571,0.0108
flow,2,2,3,0.0098,0.0003,altered_knn,altered_knn,2000,4000,0.9660,0.0094,0.9728,0.0100,0.9819,0.0045,0.1066,0.0274,0.2820,0.0564,0.1507,0.0292,0.5618,0.0184
flow,2,2,3,0.0098,0.0003,quadratic,quadratic,2000,6000,0.9896,0.0009,0.9937,0.0006,0.9938,0.0007,0.5655,0.0093,0.5695,0.0205,0.5674,0.0148,0.7806,0.0077
flow,2,2,3,0.0098,0.0003,polar3,polar,2000,6000,0.9970,0.0001,0.9977,0.0003,0.9985,0.0001,0.7995,0.0220,0.9247,0.0176,0.8571,0.0052,0.9274,0.0027
flow,2,2,3,0.0098,0.0003,knn,knn,5000,15000,0.9912,0.0005,0.9925,0.0006,0.9954,0.0002,0.5409,0.0266,0.8570,0.0083,0.6627,0.0174,0.8276,0.0090
flow,2,2,3,0.0098,0.0003,altered_knn,altered_knn,5000,10000,0.9770,0.0036,0.9842,0.0044,0.9879,0.0015,0.1515,0.0266,0.2564,0.0588,0.1846,0.0123,0.5844,0.0065
flow,2,2,3,0.0098,0.0003,quadratic,quadratic,5000,15000,0.9888,0.0005,0.9931,0.0008,0.9930,0.0007,0.5685,0.0062,0.5616,0.0187,0.5648,0.0095,0.7790,0.0043
flow,2,2,3,0.0098,0.0003,polar3,polar,5000,15000,0.9966,0.0006,0.9973,0.0008,0.9983,0.0003,0.7771,0.0505,0.9295,0.0206,0.8449,0.0224,0.9211,0.0116
flow,2,2,3,0.0098,0.0003,knn,knn,10000,30000,0.9946,0.0005,0.9954,0.0004,0.9972,0.0002,0.6650,0.0276,0.9081,0.0111,0.7676,0.0221,0.8815,0.0113
flow,2,2,3,0.0098,0.0003,altered_knn,altered_knn,10000,20000,0.9782,0.0035,0.9849,0.0036,0.9889,0.0018,0.1728,0.0307,0.3049,0.0159,0.2186,0.0261,0.6017,0.0147
