sampler,d,K,n_seeds,hall_gt,hall_gt_std,model,arch,n_per_mode,n_anchors,full_acc,full_acc_std,mode_acc,mode_acc_std,mode_f1,mode_f1_std,hall_prec,hall_prec_std,hall_rec,hall_rec_std,hall_f1,hall_f1_std,balanced,balanced_std
flow,2,2,3,0.0097,0.0002,knn,knn,2000,6000,0.9847,0.0018,0.9869,0.0019,0.9913,0.0012,0.3974,0.0299,0.7609,0.0086,0.5212,0.0247,0.7541,0.0133
flow,2,2,3,0.0097,0.0002,altered_knn,altered_knn,2000,4000,0.9775,0.0008,0.9859,0.0012,0.9859,0.0005,0.1057,0.0185,0.1165,0.0583,0.1081,0.0356,0.5470,0.0172
flow,2,2,3,0.0097,0.0002,quadratic,quadratic,2000,6000,0.9761,0.0010,0.9800,0.0007,0.9790,0.0007,0.5699,0.0209,0.5804,0.0305,0.5750,0.0253,0.7775,0.0129
flow,2,2,3,0.0097,0.0002,polar3,polar,2000,6000,0.9954,0.0010,0.9958,0.0008,0.9977,0.0005,0.6954,0.0484,0.9534,0.0210,0.8037,0.0392,0.8998,0.0200
flow,2,2,3,0.0097,0.0002,knn,knn,5000,15000,0.9911,0.0008,0.9925,0.0009,0.9953,0.0004,0.5446,0.0331,0.8510,0.0123,0.6635,0.0242,0.8280,0.0125
flow,2,2,3,0.0097,0.0002,altered_knn,altered_knn,5000,10000,0.9776,0.0043,0.9848,0.0052,0.9880,0.0016,0.1483,0.0033,0.2473,0.1085,0.1742,0.0414,0.5795,0.0182
flow,2,2,3,0.0097,0.0002,quadratic,quadratic,5000,15000,0.9772,0.0014,0.9812,0.0011,0.9802,0.0012,0.5706,0.0122,0.5766,0.0291,0.5734,0.0197,0.7773,0.0103
flow,2,2,3,0.0097,0.0002,polar3,polar,5000,15000,0.9953,0.0009,0.9958,0.0008,0.9976,0.0004,0.6894,0.0468,0.9510,0.0169,0.7988,0.0370,0.8973,0.0189
flow,2,2,3,0.0097,0.0002,knn,knn,10000,30000,0.9943,0.0005,0.9953,0.0005,0.9971,0.0003,0.6594,0.0219,0.8955,0.0022,0.7593,0.0149,0.8773,0.0077
flow,2,2,3,0.0097,0.0002,altered_knn,altered_knn,10000,20000,0.9843,0.0020,0.9920,0.0027,0.9918,0.0008,0.2141,0.0038,0.2069,0.0844,0.2000,0.0507,0.5960,0.0240
flow,2,2,3,0.0097,0.0002,quadratic,quadratic,10000,30000,0.9778,0.0015,0.9817,0.0011,0.9808,0.0013,0.5718,0.0162,0.5798,0.0336,0.5756,0.0245,0.7787,0.0127
flow,2,2,3,0.0097,0.0002,polar3,polar,10000,30000,0.9953,0.0008,0.9958,0.0007,0.9976,0.0004,0.6887,0.0419,0.9476,0.0216,0.7973,0.0352,0.8965,0.0179
flow,2,2,3,0.0097,0.0002,knn,knn,15000,45000,0.9955,0.0006,0.9964,0.0005,0.9977,0.0003,0.7184,0.0310,0.9059,0.0142,0.8011,0.0243,0.8987,0.0124
flow,2,2,3,0.0097,0.0002,altered_knn,altered_knn,15000,30000,0.9850,0.0016,0.9923,0.0018,0.9924,0.0008,0.2454,0.0474,0.2423,0.0079,0.2415,0.0239,0.6169,0.0128
flow,2,2,3,0.0097,0.0002,quadratic,quadratic,15000,45000,0.9771,0.0014,0.9810,0.0011,0.9800,0.0012,0.5740,0.0196,0.5802,0.0341,0.5769,0.0266,0.7790,0.0138
flow,2,2,3,0.0097,0.0002,polar3,polar,15000,45000,0.9952,0.0008,0.9957,0.0006,0.9976,0.0004,0.6867,0.0410,0.9472,0.0239,0.7959,0.0356,0.8958,0.0181
flow,2,2,3,0.0097,0.0002,knn,knn,20000,60000,0.9960,0.0007,0.9969,0.0006,0.9980,0.0004,0.7480,0.0385,0.9034,0.0194,0.8182,0.0307,0.9076,0.0157
flow,2,2,3,0.0097,0.0002,altered_knn,altered_knn,20000,40000,0.9859,0.0009,0.9932,0.0012,0.9928,0.0003,0.2667,0.0276,0.2466,0.0467,0.2542,0.0336,0.6237,0.0166
flow,2,2,3,0.0097,0.0002,quadratic,quadratic,20000,60000,0.9767,0.0015,0.9806,0.0011,0.9796,0.0012,0.5748,0.0200,0.5802,0.0346,0.5773,0.0267,0.7790,0.0139
flow,2,2,3,0.0097,0.0002,polar3,polar,20000,60000,0.9952,0.0008,0.9957,0.0006,0.9976,0.0004,0.6862,0.0373,0.9489,0.0235,0.7962,0.0329,0.8960,0.0167
flow,2,4,3,0.0102,0.0004,knn,knn,2000,12000,0.9764,0.0016,0.9788,0.0016,0.9857,0.0012,0.2899,0.0256,0.7393,0.0112,0.4161,0.0280,0.6974,0.0148
flow,2,4,3,0.0102,0.0004,altered_knn,altered_knn,2000,8000,0.9558,0.0090,0.9615,0.0100,0.9742,0.0048,0.1126,0.0237,0.4055,0.0824,0.1719,0.0229,0.5667,0.0156
