sampler,d,K,n_seeds,hall_gt,hall_gt_std,model,arch,n_per_mode,n_anchors,full_acc,full_acc_std,mode_acc,mode_acc_std,mode_f1,mode_f1_std,hall_prec,hall_prec_std,hall_rec,hall_rec_std,hall_f1,hall_f1_std,balanced,balanced_std
heun,2,2,3,0.0107,0.0005,knn,knn,2000,6000,0.9840,0.0011,0.9866,0.0010,0.9913,0.0006,0.3980,0.0207,0.7398,0.0174,0.5175,0.0215,0.7521,0.0111
heun,2,2,3,0.0107,0.0005,altered_knn,altered_knn,2000,4000,0.9607,0.0092,0.9681,0.0100,0.9792,0.0039,0.0907,0.0091,0.2736,0.0954,0.1316,0.0177,0.5498,0.0068
heun,2,2,3,0.0107,0.0005,quadratic,quadratic,2000,6000,0.9880,0.0011,0.9924,0.0007,0.9924,0.0008,0.5768,0.0308,0.5785,0.0226,0.5775,0.0253,0.7849,0.0129
heun,2,2,3,0.0107,0.0005,polar3,polar,2000,6000,0.9954,0.0014,0.9964,0.0012,0.9975,0.0009,0.7464,0.0518,0.9007,0.0246,0.8159,0.0405,0.9061,0.0208
heun,2,2,3,0.0107,0.0005,knn,knn,5000,15000,0.9903,0.0012,0.9921,0.0009,0.9949,0.0007,0.5428,0.0397,0.8205,0.0314,0.6531,0.0384,0.8226,0.0196
heun,2,2,3,0.0107,0.0005,altered_knn,altered_knn,5000,10000,0.9748,0.0031,0.9826,0.0031,0.9869,0.0013,0.1434,0.0177,0.2543,0.0364,0.1820,0.0175,0.5823,0.0090
heun,2,2,3,0.0107,0.0005,quadratic,quadratic,5000,15000,0.9873,0.0014,0.9918,0.0015,0.9917,0.0016,0.5786,0.0167,0.5700,0.0215,0.5742,0.0174,0.7830,0.0082
heun,2,2,3,0.0107,0.0005,polar3,polar,5000,15000,0.9954,0.0012,0.9965,0.0010,0.9975,0.0008,0.7549,0.0360,0.8963,0.0275,0.8194,0.0317,0.9080,0.0163
heun,2,2,3,0.0107,0.0005,knn,knn,10000,30000,0.9934,0.0009,0.9949,0.0006,0.9965,0.0006,0.6540,0.0313,0.8495,0.0354,0.7390,0.0323,0.8669,0.0164
heun,2,2,3,0.0107,0.0005,altered_knn,altered_knn,10000,20000,0.9743,0.0029,0.9818,0.0035,0.9869,0.0014,0.1437,0.0115,0.2798,0.0521,0.1879,0.0171,0.5848,0.0077
heun,2,2,3,0.0107,0.0005,quadratic,quadratic,10000,30000,0.9872,0.0012,0.9917,0.0015,0.9917,0.0015,0.5771,0.0202,0.5727,0.0253,0.5748,0.0217,0.7832,0.0103
heun,2,2,3,0.0107,0.0005,polar3,polar,10000,30000,0.9956,0.0012,0.9968,0.0009,0.9976,0.0008,0.7720,0.0288,0.8883,0.0297,0.8261,0.0293,0.9114,0.0151
heun,2,2,3,0.0107,0.0005,knn,knn,15000,45000,0.9944,0.0011,0.9959,0.0006,0.9971,0.0007,0.7028,0.0338,0.8594,0.0439,0.7732,0.0379,0.8845,0.0192
heun,2,2,3,0.0107,0.0005,altered_knn,altered_knn,15000,30000,0.9793,0.0041,0.9871,0.0043,0.9895,0.0020,0.1894,0.0348,0.2597,0.0496,0.2134,0.0233,0.6002,0.0122
heun,2,2,3,0.0107,0.0005,quadratic,quadratic,15000,45000,0.9876,0.0012,0.9921,0.0013,0.9920,0.0014,0.5802,0.0229,0.5754,0.0239,0.5777,0.0218,0.7849,0.0105
heun,2,2,3,0.0107,0.0005,polar3,polar,15000,45000,0.9957,0.0011,0.9968,0.0008,0.9976,0.0008,0.7763,0.0265,0.8887,0.0299,0.8287,0.0281,0.9128,0.0144
heun,2,2,3,0.0107,0.0005,knn,knn,20000,60000,0.9950,0.0012,0.9964,0.0007,0.9973,0.0008,0.7358,0.0357,0.8590,0.0450,0.7927,0.0397,0.8945,0.0202
heun,2,2,3,0.0107,0.0005,altered_knn,altered_knn,20000,40000,0.9836,0.0034,0.9919,0.0036,0.9917,0.0017,0.2515,0.0676,0.2223,0.0127,0.2295,0.0257,0.6107,0.0146
heun,2,2,3,0.0107,0.0005,quadratic,quadratic,20000,60000,0.9880,0.0012,0.9924,0.0011,0.9924,0.0013,0.5813,0.0232,0.5739,0.0246,0.5774,0.0221,0.7849,0.0108
heun,2,2,3,0.0107,0.0005,polar3,polar,20000,60000,0.9956,0.0013,0.9967,0.0009,0.9976,0.0009,0.7708,0.0341,0.8893,0.0309,0.8258,0.0329,0.9113,0.0169
heun,2,4,3,0.0116,0.0003,knn,knn,2000,12000,0.9749,0.0017,0.9780,0.0016,0.9857,0.0012,0.3043,0.0119,0.7159,0.0094,0.4269,0.0128,0.7025,0.0072
heun,2,4,3,0.0116,0.0003,altered_knn,altered_knn,2000,8000,0.9602,0.0088,0.9679,0.0104,0.9762,0.0036,0.1301,0.0179,0.3043,0.1466,0.1644,0.0289,0.5662,0.0102
heun,2,4,3,0.0116,0.0003,quadratic,quadratic,2000,12000,0.9327,0.0120,0.9387,0.0128,0.9435,0.0098,0.2430,0.0466,0.4284,0.0750,0.3015,0.0219,0.6201,0.0173
heun,2,4,3,0.0116,0.0003,polar3,polar,2000,12000,0.9812,0.0012,0.9837,0.0011,0.9897,0.0010,0.3767,0.0113,0.7713,0.0020,0.5061,0.0105,0.7449,0.0058
heun,2,4,3,0.0116,0.0003,knn,knn,5000,30000,0.9837,0.0016,0.9866,0.0015,0.9910,0.0012,0.4148,0.0222,0.7369,0.0148,0.5306,0.0211,0.7586,0.0113
