sampler,d,K,n_seeds,hall_gt,hall_gt_std,model,arch,n_per_mode,n_anchors,full_acc,full_acc_std,mode_acc,mode_acc_std,mode_f1,mode_f1_std,hall_prec,hall_prec_std,hall_rec,hall_rec_std,hall_f1,hall_f1_std,balanced,balanced_std
heun,2,2,3,0.0106,0.0004,knn,knn,2000,6000,0.9625,0.0031,0.9663,0.0027,0.9736,0.0042,0.2620,0.0163,0.6042,0.0524,0.3647,0.0185,0.6655,0.0098
heun,2,2,3,0.0106,0.0004,altered_knn,altered_knn,2000,4000,0.9538,0.0092,0.9630,0.0096,0.9708,0.0059,0.0442,0.0151,0.0937,0.0021,0.0585,0.0130,0.5108,0.0113
heun,2,2,3,0.0106,0.0004,quadratic,quadratic,2000,6000,0.9497,0.0002,0.9535,0.0004,0.9557,0.0022,0.3858,0.0759,0.5878,0.0298,0.4588,0.0512,0.7062,0.0258
heun,2,2,3,0.0106,0.0004,polar3,polar,2000,6000,0.9673,0.0021,0.9705,0.0021,0.9744,0.0040,0.3823,0.0560,0.6681,0.0142,0.4835,0.0460,0.7270,0.0220
heun,2,2,3,0.0106,0.0004,knn,knn,5000,15000,0.9657,0.0028,0.9695,0.0026,0.9744,0.0041,0.3201,0.0204,0.6095,0.0318,0.4185,0.0114,0.6940,0.0046
heun,2,2,3,0.0106,0.0004,altered_knn,altered_knn,5000,10000,0.9588,0.0047,0.9682,0.0048,0.9731,0.0058,0.0385,0.0169,0.0715,0.0361,0.0500,0.0231,0.5091,0.0139
heun,2,2,3,0.0106,0.0004,quadratic,quadratic,5000,15000,0.9513,0.0006,0.9552,0.0008,0.9573,0.0019,0.3817,0.0676,0.5826,0.0340,0.4550,0.0430,0.7051,0.0218
heun,2,2,3,0.0106,0.0004,polar3,polar,5000,15000,0.9672,0.0019,0.9704,0.0020,0.9745,0.0039,0.3768,0.0550,0.6641,0.0114,0.4780,0.0453,0.7242,0.0217
heun,2,2,3,0.0106,0.0004,knn,knn,10000,30000,0.9671,0.0024,0.9709,0.0023,0.9744,0.0041,0.3702,0.0442,0.6163,0.0287,0.4595,0.0286,0.7152,0.0132
heun,2,2,3,0.0106,0.0004,altered_knn,altered_knn,10000,20000,0.9630,0.0045,0.9728,0.0047,0.9735,0.0059,0.0347,0.0146,0.0405,0.0222,0.0371,0.0176,0.5050,0.0110
heun,2,2,3,0.0106,0.0004,quadratic,quadratic,10000,30000,0.9519,0.0004,0.9557,0.0006,0.9578,0.0018,0.3848,0.0697,0.5866,0.0301,0.4586,0.0455,0.7072,0.0231
heun,2,2,3,0.0106,0.0004,polar3,polar,10000,30000,0.9673,0.0018,0.9705,0.0018,0.9746,0.0038,0.3804,0.0594,0.6647,0.0125,0.4807,0.0490,0.7256,0.0237
heun,2,2,3,0.0106,0.0004,knn,knn,15000,45000,0.9679,0.0024,0.9715,0.0023,0.9744,0.0042,0.4032,0.0572,0.6301,0.0228,0.4879,0.0384,0.7297,0.0181
heun,2,2,3,0.0106,0.0004,altered_knn,altered_knn,15000,30000,0.9644,0.0057,0.9745,0.0061,0.9737,0.0057,0.0283,0.0105,0.0241,0.0068,0.0260,0.0085,0.5002,0.0069
heun,2,2,3,0.0106,0.0004,quadratic,quadratic,15000,45000,0.9511,0.0006,0.9549,0.0007,0.9570,0.0020,0.3853,0.0703,0.5885,0.0296,0.4595,0.0465,0.7072,0.0235
heun,2,2,3,0.0106,0.0004,polar3,polar,15000,45000,0.9673,0.0019,0.9705,0.0019,0.9746,0.0039,0.3794,0.0580,0.6665,0.0147,0.4804,0.0474,0.7254,0.0229
heun,2,2,3,0.0106,0.0004,knn,knn,20000,60000,0.9681,0.0023,0.9717,0.0022,0.9743,0.0041,0.4181,0.0642,0.6331,0.0177,0.4995,0.0442,0.7356,0.0210
heun,2,2,3,0.0106,0.0004,altered_knn,altered_knn,20000,40000,0.9649,0.0054,0.9749,0.0058,0.9737,0.0058,0.0322,0.0119,0.0240,0.0069,0.0271,0.0084,0.5010,0.0069
heun,2,2,3,0.0106,0.0004,quadratic,quadratic,20000,60000,0.9507,0.0005,0.9546,0.0006,0.9566,0.0020,0.3867,0.0702,0.5878,0.0301,0.4603,0.0461,0.7074,0.0232
heun,2,2,3,0.0106,0.0004,polar3,polar,20000,60000,0.9673,0.0018,0.9705,0.0019,0.9745,0.0039,0.3792,0.0574,0.6664,0.0148,0.4802,0.0467,0.7253,0.0225
heun,2,4,3,0.0114,0.0005,knn,knn,2000,12000,0.9155,0.0337,0.9215,0.0330,0.9170,0.0373,0.1657,0.0539,0.3991,0.1043,0.2340,0.0716,0.5777,0.0517
heun,2,4,3,0.0114,0.0005,altered_knn,altered_knn,2000,8000,0.9085,0.0357,0.9179,0.0355,0.9117,0.0387,0.0439,0.0324,0.0872,0.0476,0.0566,0.0383,0.4873,0.0364
heun,2,4,3,0.0114,0.0005,quadratic,quadratic,2000,12000,0.8927,0.0361,0.8981,0.0366,0.8960,0.0375,0.2237,0.0876,0.4167,0.0835,0.2731,0.0630,0.5856,0.0490
heun,2,4,3,0.0114,0.0005,polar3,polar,2000,12000,0.9187,0.0338,0.9244,0.0335,0.9181,0.0388,0.2038,0.0395,0.4251,0.0668,0.2752,0.0494,0.5998,0.0411
heun,2,4,3,0.0114,0.0005,knn,knn,5000,30000,0.9191,0.0335,0.9253,0.0330,0.9176,0.0376,0.2118,0.0617,0.3825,0.0777,0.2720,0.0702,0.5986,0.0512
heun,2,4,3,0.0114,0.0005,altered_knn,altered_knn,5000,20000,0.9119,0.0370,0.9217,0.0371,0.9156,0.0383,0.0414,0.0316,0.0640,0.0193,0.0470,0.0270,0.4843,0.0319
