sampler,d,K,n_seeds,hall_gt,hall_gt_std,model,arch,n_per_mode,n_anchors,full_acc,full_acc_std,mode_acc,mode_acc_std,mode_f1,mode_f1_std,hall_prec,hall_prec_std,hall_rec,hall_rec_std,hall_f1,hall_f1_std,balanced,balanced_std
rk45,2,2,3,0.0107,0.0004,knn,knn,2000,6000,0.9839,0.0010,0.9867,0.0009,0.9912,0.0005,0.3964,0.0178,0.7274,0.0102,0.5130,0.0164,0.7498,0.0086
rk45,2,2,3,0.0107,0.0004,altered_knn,altered_knn,2000,4000,0.9716,0.0010,0.9800,0.0011,0.9845,0.0006,0.1083,0.0173,0.1991,0.0189,0.1401,0.0189,0.5600,0.0100
rk45,2,2,3,0.0107,0.0004,quadratic,quadratic,2000,6000,0.9884,0.0010,0.9929,0.0007,0.9927,0.0008,0.5945,0.0227,0.5718,0.0364,0.5827,0.0291,0.7878,0.0146
rk45,2,2,3,0.0107,0.0004,polar3,polar,2000,6000,0.9956,0.0009,0.9970,0.0008,0.9976,0.0007,0.7815,0.0216,0.8671,0.0341,0.8216,0.0204,0.9093,0.0105
rk45,2,2,3,0.0107,0.0004,knn,knn,5000,15000,0.9900,0.0006,0.9921,0.0007,0.9947,0.0004,0.5338,0.0196,0.8009,0.0257,0.6401,0.0114,0.8161,0.0060
rk45,2,2,3,0.0107,0.0004,altered_knn,altered_knn,5000,10000,0.9761,0.0008,0.9840,0.0011,0.9876,0.0004,0.1474,0.0210,0.2444,0.0247,0.1835,0.0216,0.5838,0.0112
rk45,2,2,3,0.0107,0.0004,quadratic,quadratic,5000,15000,0.9876,0.0015,0.9922,0.0017,0.9919,0.0016,0.5962,0.0115,0.5657,0.0336,0.5802,0.0221,0.7862,0.0104
rk45,2,2,3,0.0107,0.0004,polar3,polar,5000,15000,0.9955,0.0009,0.9969,0.0008,0.9975,0.0007,0.7781,0.0196,0.8639,0.0325,0.8184,0.0193,0.9076,0.0100
rk45,2,2,3,0.0107,0.0004,knn,knn,10000,30000,0.9931,0.0007,0.9948,0.0005,0.9964,0.0005,0.6471,0.0201,0.8370,0.0289,0.7296,0.0186,0.8622,0.0095
rk45,2,2,3,0.0107,0.0004,altered_knn,altered_knn,10000,20000,0.9818,0.0029,0.9903,0.0033,0.9906,0.0014,0.1959,0.0328,0.1972,0.0262,0.1922,0.0062,0.5912,0.0047
rk45,2,2,3,0.0107,0.0004,quadratic,quadratic,10000,30000,0.9877,0.0012,0.9922,0.0016,0.9919,0.0015,0.5948,0.0181,0.5690,0.0371,0.5813,0.0268,0.7867,0.0127
rk45,2,2,3,0.0107,0.0004,polar3,polar,10000,30000,0.9955,0.0010,0.9970,0.0008,0.9975,0.0007,0.7800,0.0208,0.8585,0.0333,0.8170,0.0209,0.9070,0.0108
rk45,2,2,3,0.0107,0.0004,knn,knn,15000,45000,0.9942,0.0007,0.9958,0.0006,0.9969,0.0005,0.6965,0.0220,0.8422,0.0279,0.7622,0.0194,0.8790,0.0100
rk45,2,2,3,0.0107,0.0004,altered_knn,altered_knn,15000,30000,0.9827,0.0024,0.9909,0.0026,0.9912,0.0013,0.2210,0.0375,0.2236,0.0153,0.2196,0.0168,0.6053,0.0094
rk45,2,2,3,0.0107,0.0004,quadratic,quadratic,15000,45000,0.9880,0.0013,0.9925,0.0014,0.9922,0.0014,0.5955,0.0162,0.5714,0.0353,0.5829,0.0243,0.7877,0.0117
rk45,2,2,3,0.0107,0.0004,polar3,polar,15000,45000,0.9954,0.0010,0.9969,0.0008,0.9975,0.0008,0.7740,0.0216,0.8630,0.0307,0.8159,0.0226,0.9064,0.0116
rk45,2,2,3,0.0107,0.0004,knn,knn,20000,60000,0.9947,0.0009,0.9964,0.0007,0.9972,0.0006,0.7302,0.0294,0.8415,0.0352,0.7816,0.0271,0.8890,0.0139
rk45,2,2,3,0.0107,0.0004,altered_knn,altered_knn,20000,40000,0.9829,0.0026,0.9909,0.0028,0.9913,0.0013,0.2325,0.0464,0.2406,0.0091,0.2334,0.0229,0.6122,0.0127
rk45,2,2,3,0.0107,0.0004,quadratic,quadratic,20000,60000,0.9883,0.0012,0.9928,0.0013,0.9925,0.0013,0.5967,0.0164,0.5686,0.0352,0.5820,0.0248,0.7874,0.0121
rk45,2,2,3,0.0107,0.0004,polar3,polar,20000,60000,0.9954,0.0011,0.9968,0.0009,0.9975,0.0008,0.7701,0.0286,0.8646,0.0310,0.8144,0.0255,0.9056,0.0131
rk45,2,4,3,0.0116,0.0002,knn,knn,2000,12000,0.9622,0.0046,0.9674,0.0046,0.9751,0.0041,0.2233,0.0171,0.5203,0.0273,0.3123,0.0210,0.6398,0.0118
rk45,2,4,3,0.0116,0.0002,altered_knn,altered_knn,2000,8000,0.9456,0.0107,0.9533,0.0114,0.9678,0.0057,0.0838,0.0085,0.2883,0.0584,0.1282,0.0080,0.5408,0.0084
rk45,2,4,3,0.0116,0.0002,quadratic,quadratic,2000,12000,0.9273,0.0152,0.9332,0.0161,0.9377,0.0134,0.2444,0.0384,0.4251,0.0749,0.3035,0.0163,0.6184,0.0156
rk45,2,4,3,0.0116,0.0002,polar3,polar,2000,12000,0.9660,0.0037,0.9708,0.0039,0.9767,0.0035,0.2774,0.0145,0.5607,0.0344,0.3710,0.0195,0.6709,0.0100
rk45,2,4,3,0.0116,0.0002,knn,knn,5000,30000,0.9677,0.0044,0.9733,0.0044,0.9777,0.0040,0.2814,0.0221,0.4980,0.0352,0.3594,0.0261,0.6663,0.0138
rk45,2,4,3,0.0116,0.0002,altered_knn,altered_knn,5000,20000,0.9581,0.0028,0.9670,0.0030,0.9734,0.0027,0.0936,0.0131,0.2039,0.0692,0.1269,0.0271,0.5470,0.0127
rk45,2,4,3,0.0116,0.0002,quadratic,quadratic,5000,30000,0.9264,0.0138,0.9323,0.0146,0.9367,0.0120,0.2440,0.0409,0.4246,0.0734,0.3032,0.0203,0.6178,0.0165
rk45,2,4,3,0.0116,0.0002,polar3,polar,5000,30000,0.9660,0.0041,0.9708,0.0043,0.9766,0.0038,0.2816,0.0130,0.5638,0.0339,0.3754,0.0171,0.6731,0.0087
rk45,2,4,3,0.0116,0.0002,knn,knn,10000,60000,0.9704,0.0040,0.9761,0.0042,0.9786,0.0038,0.3420,0.0209,0.4887,0.0346,0.4021,0.0240,0.6891,0.0125
