sampler,d,K,n_seeds,hall_gt,hall_gt_std,model,arch,n_per_mode,n_anchors,full_acc,full_acc_std,mode_acc,mode_acc_std,mode_f1,mode_f1_std,hall_prec,hall_prec_std,hall_rec,hall_rec_std,hall_f1,hall_f1_std,balanced,balanced_std
rk45,2,2,3,0.0106,0.0004,knn,knn,2000,6000,0.9625,0.0031,0.9663,0.0027,0.9736,0.0042,0.2617,0.0165,0.6041,0.0524,0.3644,0.0186,0.6654,0.0099
rk45,2,2,3,0.0106,0.0004,altered_knn,altered_knn,2000,4000,0.9538,0.0092,0.9630,0.0096,0.9709,0.0059,0.0442,0.0151,0.0938,0.0021,0.0586,0.0130,0.5108,0.0113
rk45,2,2,3,0.0106,0.0004,quadratic,quadratic,2000,6000,0.9497,0.0002,0.9535,0.0004,0.9557,0.0022,0.3855,0.0760,0.5878,0.0296,0.4585,0.0513,0.7060,0.0259
rk45,2,2,3,0.0106,0.0004,polar3,polar,2000,6000,0.9673,0.0021,0.9705,0.0021,0.9744,0.0040,0.3816,0.0557,0.6681,0.0137,0.4830,0.0458,0.7267,0.0219
rk45,2,2,3,0.0106,0.0004,knn,knn,5000,15000,0.9657,0.0028,0.9695,0.0026,0.9743,0.0041,0.3197,0.0204,0.6095,0.0316,0.4182,0.0113,0.6938,0.0045
rk45,2,2,3,0.0106,0.0004,altered_knn,altered_knn,5000,10000,0.9588,0.0047,0.9682,0.0048,0.9731,0.0058,0.0384,0.0167,0.0713,0.0357,0.0498,0.0229,0.5090,0.0138
rk45,2,2,3,0.0106,0.0004,quadratic,quadratic,5000,15000,0.9513,0.0006,0.9552,0.0008,0.9573,0.0019,0.3814,0.0677,0.5826,0.0338,0.4547,0.0432,0.7050,0.0218
rk45,2,2,3,0.0106,0.0004,polar3,polar,5000,15000,0.9672,0.0020,0.9704,0.0020,0.9745,0.0039,0.3770,0.0548,0.6641,0.0109,0.4782,0.0452,0.7243,0.0217
rk45,2,2,3,0.0106,0.0004,knn,knn,10000,30000,0.9671,0.0024,0.9709,0.0023,0.9744,0.0041,0.3697,0.0441,0.6162,0.0285,0.4591,0.0286,0.7150,0.0132
rk45,2,2,3,0.0106,0.0004,altered_knn,altered_knn,10000,20000,0.9630,0.0045,0.9728,0.0047,0.9735,0.0059,0.0349,0.0148,0.0408,0.0226,0.0374,0.0179,0.5051,0.0112
rk45,2,2,3,0.0106,0.0004,quadratic,quadratic,10000,30000,0.9518,0.0004,0.9557,0.0006,0.9578,0.0018,0.3845,0.0697,0.5865,0.0299,0.4583,0.0457,0.7070,0.0231
rk45,2,2,3,0.0106,0.0004,polar3,polar,10000,30000,0.9673,0.0018,0.9705,0.0018,0.9746,0.0039,0.3800,0.0595,0.6647,0.0120,0.4804,0.0491,0.7254,0.0237
rk45,2,2,3,0.0106,0.0004,knn,knn,15000,45000,0.9679,0.0024,0.9715,0.0023,0.9744,0.0042,0.4028,0.0573,0.6300,0.0226,0.4876,0.0386,0.7295,0.0182
rk45,2,2,3,0.0106,0.0004,altered_knn,altered_knn,15000,30000,0.9644,0.0057,0.9745,0.0061,0.9737,0.0057,0.0284,0.0105,0.0241,0.0068,0.0260,0.0085,0.5002,0.0069
rk45,2,2,3,0.0106,0.0004,quadratic,quadratic,15000,45000,0.9511,0.0006,0.9549,0.0007,0.9570,0.0020,0.3850,0.0704,0.5884,0.0294,0.4592,0.0466,0.7071,0.0236
rk45,2,2,3,0.0106,0.0004,polar3,polar,15000,45000,0.9673,0.0019,0.9705,0.0019,0.9745,0.0039,0.3791,0.0580,0.6662,0.0139,0.4801,0.0476,0.7253,0.0229
rk45,2,2,3,0.0106,0.0004,knn,knn,20000,60000,0.9681,0.0022,0.9717,0.0022,0.9743,0.0041,0.4176,0.0644,0.6331,0.0174,0.4992,0.0444,0.7354,0.0211
rk45,2,2,3,0.0106,0.0004,altered_knn,altered_knn,20000,40000,0.9649,0.0054,0.9749,0.0058,0.9737,0.0058,0.0316,0.0114,0.0237,0.0070,0.0267,0.0083,0.5008,0.0070
rk45,2,2,3,0.0106,0.0004,quadratic,quadratic,20000,60000,0.9507,0.0005,0.9546,0.0006,0.9566,0.0020,0.3863,0.0703,0.5878,0.0298,0.4600,0.0462,0.7073,0.0233
