process,d,K,T_train,hall_gt,T,model,arch,n_per_mode,n_anchors,roundtrip_acc,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,2,2,150,0.0274,900,analytic,analytic,0,0,nan,0.9581,0.9807,0.9716,0.4526,0.1569,0.2331,0.6069
ddim,2,2,150,0.0274,900,knn,knn,125,374,0.9947,0.8951,0.9151,0.9103,0.2953,0.1843,0.2270,0.5710
ddim,2,2,150,0.0274,900,altered_knn,altered_knn,125,250,0.9947,0.9158,0.9264,0.9537,0.1795,0.5401,0.2695,0.5979
ddim,2,2,150,0.0274,900,kernel,kernel,125,374,0.9947,0.9227,0.9439,0.9363,0.4052,0.1715,0.2410,0.5925
ddim,2,2,150,0.0274,900,linear,linear,125,374,0.9947,0.7615,0.7678,0.8579,0.0623,0.5365,0.1117,0.4397
ddim,2,2,150,0.0274,900,quadratic,quadratic,125,374,0.9947,0.9569,0.9790,0.9706,0.4338,0.1734,0.2477,0.6133
ddim,2,2,150,0.0274,900,polar2,polar,125,374,0.9947,0.9591,0.9804,0.9724,0.4784,0.2026,0.2846,0.6325
ddim,2,2,150,0.0274,900,polar3,polar,125,374,0.9947,0.9575,0.9804,0.9713,0.4219,0.1478,0.2189,0.5996
ddim,2,2,150,0.0274,900,polar8,polar,125,374,0.9947,0.9571,0.9796,0.9711,0.4065,0.1588,0.2283,0.6040
ddim,2,2,150,0.0274,900,mlp,mlp,125,374,0.9947,0.9594,0.9819,0.9723,0.5145,0.1624,0.2469,0.6144
ddim,2,2,150,0.0274,900,knn,knn,250,750,0.9933,0.9369,0.9575,0.9548,0.2568,0.2062,0.2287,0.5931
ddim,2,2,150,0.0274,900,altered_knn,altered_knn,250,500,0.9933,0.9149,0.9295,0.9494,0.1596,0.3960,0.2275,0.5785
ddim,2,2,150,0.0274,900,kernel,kernel,250,750,0.9933,0.9462,0.9685,0.9606,0.3636,0.1533,0.2157,0.5921
ddim,2,2,150,0.0274,900,linear,linear,250,750,0.9933,0.6951,0.6930,0.8156,0.0657,0.7664,0.1211,0.4070
ddim,2,2,150,0.0274,900,quadratic,quadratic,250,750,0.9933,0.9597,0.9824,0.9734,0.4375,0.1533,0.2270,0.6047
ddim,2,2,150,0.0274,900,polar2,polar,250,750,0.9933,0.9579,0.9800,0.9715,0.4465,0.1752,0.2516,0.6158
ddim,2,2,150,0.0274,900,polar3,polar,250,750,0.9933,0.9575,0.9799,0.9713,0.4218,0.1624,0.2345,0.6072
ddim,2,2,150,0.0274,900,polar8,polar,250,750,0.9933,0.9577,0.9801,0.9714,0.4354,0.1661,0.2404,0.6102
ddim,2,2,150,0.0274,900,mlp,mlp,250,750,0.9933,0.9583,0.9808,0.9716,0.4652,0.1588,0.2367,0.6088
ddim,2,2,150,0.0274,900,knn,knn,500,1500,0.9920,0.9481,0.9660,0.9647,0.3441,0.3120,0.3273,0.6466
ddim,2,2,150,0.0274,900,altered_knn,altered_knn,500,1000,0.9920,0.9262,0.9466,0.9513,0.1516,0.2044,0.1740,0.5603
ddim,2,2,150,0.0274,900,kernel,kernel,500,1500,0.9920,0.9536,0.9737,0.9668,0.4765,0.2409,0.3200,0.6468
ddim,2,2,150,0.0274,900,linear,linear,500,1500,0.9920,0.7048,0.7028,0.8227,0.0685,0.7755,0.1258,0.4143
ddim,2,2,150,0.0274,900,quadratic,quadratic,500,1500,0.9920,0.9588,0.9807,0.9726,0.4353,0.1843,0.2590,0.6198
ddim,2,2,150,0.0274,900,polar2,polar,500,1500,0.9920,0.9580,0.9794,0.9716,0.4467,0.1989,0.2753,0.6273
ddim,2,2,150,0.0274,900,polar3,polar,500,1500,0.9920,0.9578,0.9793,0.9715,0.4426,0.1971,0.2727,0.6260
ddim,2,2,150,0.0274,900,polar8,polar,500,1500,0.9920,0.9574,0.9795,0.9714,0.4148,0.1734,0.2445,0.6120
