T,model,n_cells,mean_full_acc,mean_mode_acc,mean_mode_f1,mean_hall_prec,mean_hall_rec,mean_hall_f1,mean_balanced,mean_n_anchors
100,altered_knn,20,0.8118,0.8194,0.8583,0.0648,0.3086,0.0922,0.4558,41650
100,analytic,20,0.9536,0.9566,0.9705,0.2958,0.7728,0.4085,0.6825,0
100,analytic_T_train,20,0.9703,0.9743,0.9788,0.4515,0.7223,0.5403,0.7573,0
100,kernel,20,0.6914,0.6929,0.7007,0.2710,0.5801,0.2334,0.4631,81499
100,knn,20,0.7614,0.7677,0.7702,0.2798,0.3330,0.2633,0.5155,97503
100,linear,20,0.3987,0.3956,0.5237,0.0148,0.5694,0.0287,0.2122,62002
100,linear_cal,20,0.8805,0.8920,0.9039,0.0463,0.1116,0.0620,0.4770,77002
100,mlp,20,0.9551,0.9583,0.9688,0.3256,0.7588,0.4412,0.6997,56502
100,mlp_cal,20,0.9509,0.9538,0.9674,0.3006,0.7715,0.4125,0.6832,78004
100,polar2,20,0.9370,0.9401,0.9563,0.2526,0.7439,0.3679,0.6540,83502
100,polar2_cal,20,0.9400,0.9436,0.9573,0.2714,0.7165,0.3741,0.6589,69503
100,polar3,20,0.9488,0.9518,0.9648,0.2847,0.7649,0.4072,0.6795,79002
100,polar3_cal,20,0.9464,0.9497,0.9633,0.2877,0.7462,0.3943,0.6720,84501
100,polar8,20,0.9517,0.9546,0.9671,0.3006,0.7699,0.4207,0.6877,78002
100,polar8_cal,20,0.9493,0.9524,0.9659,0.2989,0.7631,0.4078,0.6801,72501
100,quadratic,20,0.9345,0.9382,0.9506,0.2915,0.7021,0.4036,0.6709,79502
100,quadratic_cal,20,0.9302,0.9340,0.9475,0.2618,0.6984,0.3619,0.6479,82002
200,altered_knn,20,0.8453,0.8549,0.8703,0.0741,0.1981,0.0987,0.4768,51314
200,analytic,20,0.9747,0.9792,0.9809,0.5523,0.6937,0.6036,0.7914,0
200,analytic_T_train,20,0.9703,0.9743,0.9788,0.4515,0.7223,0.5403,0.7573,0
200,kernel,20,0.6883,0.6906,0.6968,0.3216,0.5275,0.2285,0.4595,77500
200,knn,20,0.7451,0.7523,0.7527,0.3269,0.2612,0.2431,0.4977,100002
200,linear,20,0.3737,0.3699,0.4941,0.0147,0.5933,0.0287,0.1993,58002
200,linear_cal,20,0.8993,0.9117,0.9118,0.0606,0.0690,0.0629,0.4873,77002
200,mlp,20,0.9714,0.9762,0.9768,0.6041,0.6697,0.6290,0.8026,73502
200,mlp_cal,20,0.9703,0.9749,0.9764,0.5559,0.6821,0.6012,0.7881,83503
200,polar2,20,0.9463,0.9509,0.9601,0.3768,0.6567,0.4619,0.7064,90002
200,polar2_cal,20,0.9567,0.9631,0.9645,0.4521,0.5466,0.4837,0.7234,83500
200,polar3,20,0.9653,0.9698,0.9726,0.5129,0.6813,0.5812,0.7755,88503
200,polar3_cal,20,0.9661,0.9711,0.9725,0.5304,0.6555,0.5760,0.7735,91002
200,polar8,20,0.9694,0.9738,0.9756,0.5452,0.6904,0.6062,0.7900,84502
200,polar8_cal,20,0.9693,0.9740,0.9754,0.5517,0.6749,0.5959,0.7850,80502
200,quadratic,20,0.9470,0.9526,0.9570,0.5275,0.5793,0.5350,0.7438,79502
200,quadratic_cal,20,0.9513,0.9569,0.9582,0.4880,0.5946,0.5240,0.7405,83502
500,altered_knn,20,0.8460,0.8559,0.8691,0.0748,0.1732,0.0938,0.4749,49982
500,analytic,20,0.9783,0.9839,0.9826,0.7311,0.6218,0.6672,0.8256,0
500,analytic_T_train,20,0.9703,0.9743,0.9788,0.4515,0.7223,0.5403,0.7573,0
500,kernel,20,0.6863,0.6889,0.6946,0.3405,0.5014,0.2181,0.4535,77500
500,knn,20,0.7375,0.7450,0.7447,0.3312,0.2279,0.2243,0.4847,100002
500,linear,20,0.3628,0.3586,0.4807,0.0147,0.6036,0.0287,0.1936,58001
500,linear_cal,20,0.9028,0.9155,0.9128,0.0691,0.0546,0.0598,0.4876,73002
500,mlp,20,0.9729,0.9792,0.9773,0.7506,0.5643,0.6416,0.8104,89501
500,mlp_cal,20,0.9724,0.9785,0.9772,0.6889,0.5829,0.6258,0.8021,87002
500,polar2,20,0.9443,0.9501,0.9585,0.4062,0.5676,0.4483,0.6992,87502
500,polar2_cal,20,0.9566,0.9651,0.9638,0.4897,0.4060,0.4385,0.7018,82002
500,polar3,20,0.9670,0.9728,0.9732,0.6428,0.5913,0.6058,0.7893,89502
500,polar3_cal,20,0.9684,0.9747,0.9733,0.6722,0.5694,0.6115,0.7931,91002
500,polar8,20,0.9714,0.9771,0.9764,0.6852,0.6030,0.6382,0.8077,91003
500,polar8_cal,20,0.9717,0.9777,0.9764,0.6930,0.5912,0.6321,0.8049,86002
500,quadratic,20,0.9478,0.9550,0.9574,0.6324,0.4700,0.5065,0.7307,79502
500,quadratic_cal,20,0.9541,0.9611,0.9595,0.6233,0.5085,0.5535,0.7573,83502
1000,altered_knn,20,0.8521,0.8629,0.8708,0.0803,0.1289,0.0844,0.4737,52982
1000,analytic,20,0.9785,0.9846,0.9826,0.7732,0.5883,0.6647,0.8246,0
1000,analytic_T_train,20,0.9703,0.9743,0.9788,0.4515,0.7223,0.5403,0.7573,0
1000,kernel,20,0.6857,0.6884,0.6940,0.3441,0.4939,0.2129,0.4507,76000
1000,knn,20,0.7354,0.7430,0.7426,0.3335,0.2197,0.2187,0.4809,100002
1000,linear,20,0.3600,0.3557,0.4773,0.0147,0.6066,0.0287,0.1922,54002
1000,linear_cal,20,0.9035,0.9162,0.9129,0.0721,0.0499,0.0581,0.4871,73003
1000,mlp,20,0.9726,0.9795,0.9771,0.7702,0.5222,0.6201,0.7998,87003
1000,mlp_cal,20,0.9723,0.9790,0.9771,0.7154,0.5401,0.6113,0.7952,92003
1000,polar2,20,0.9430,0.9493,0.9577,0.4008,0.5314,0.4299,0.6896,87502
