process,d,K,T_train,hall_gt,T,model,arch,n_per_mode,n_anchors,roundtrip_acc,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
flow,2,2,150,0.0144,200,analytic,analytic,0,0,nan,0.9827,0.9926,0.9896,0.5294,0.3114,0.3922,0.6924
flow,2,2,150,0.0144,200,knn,knn,125,374,0.9947,0.9112,0.9200,0.9211,0.2684,0.3149,0.2898,0.6049
flow,2,2,150,0.0144,200,altered_knn,altered_knn,125,250,0.9947,0.9097,0.9169,0.9513,0.0707,0.4187,0.1210,0.5190
flow,2,2,150,0.0144,200,kernel,kernel,125,374,0.9947,0.9384,0.9468,0.9455,0.4506,0.3633,0.4023,0.6746
flow,2,2,150,0.0144,200,linear,linear,125,374,0.9947,0.7460,0.7527,0.8449,0.0175,0.2872,0.0329,0.3928
flow,2,2,150,0.0144,200,quadratic,quadratic,125,374,0.9947,0.9825,0.9916,0.9898,0.4840,0.3668,0.4173,0.7045
flow,2,2,150,0.0144,200,polar2,polar,125,374,0.9947,0.9816,0.9906,0.9891,0.4693,0.3702,0.4139,0.7023
flow,2,2,150,0.0144,200,polar3,polar,125,374,0.9947,0.9822,0.9916,0.9893,0.5026,0.3391,0.4050,0.6983
flow,2,2,150,0.0144,200,polar8,polar,125,374,0.9947,0.9814,0.9908,0.9888,0.4670,0.3426,0.3952,0.6930
flow,2,2,150,0.0144,200,mlp,mlp,125,374,0.9947,0.9826,0.9917,0.9894,0.5303,0.3633,0.4312,0.7115
flow,2,2,150,0.0144,200,knn,knn,250,750,0.9867,0.9471,0.9563,0.9602,0.2049,0.3183,0.2493,0.6028
flow,2,2,150,0.0144,200,altered_knn,altered_knn,250,500,0.9867,0.9378,0.9481,0.9609,0.0836,0.2353,0.1234,0.5358
flow,2,2,150,0.0144,200,kernel,kernel,250,750,0.9867,0.9586,0.9677,0.9663,0.4181,0.3356,0.3724,0.6700
flow,2,2,150,0.0144,200,linear,linear,250,750,0.9867,0.6829,0.6848,0.8091,0.0251,0.5536,0.0480,0.3664
flow,2,2,150,0.0144,200,quadratic,quadratic,250,750,0.9867,0.9815,0.9909,0.9885,0.5181,0.3460,0.4149,0.7029
flow,2,2,150,0.0144,200,polar2,polar,250,750,0.9867,0.9831,0.9916,0.9898,0.5438,0.4083,0.4664,0.7290
flow,2,2,150,0.0144,200,polar3,polar,250,750,0.9867,0.9831,0.9918,0.9898,0.5377,0.3945,0.4551,0.7234
flow,2,2,150,0.0144,200,polar8,polar,250,750,0.9867,0.9831,0.9918,0.9898,0.5411,0.3875,0.4516,0.7217
flow,2,2,150,0.0144,200,mlp,mlp,250,750,0.9867,0.9839,0.9925,0.9900,0.6011,0.3910,0.4738,0.7332
flow,2,2,150,0.0144,200,knn,knn,500,1500,0.9833,0.9606,0.9678,0.9728,0.2764,0.4706,0.3483,0.6581
flow,2,2,150,0.0144,200,altered_knn,altered_knn,500,1000,0.9833,0.9485,0.9607,0.9621,0.0988,0.1176,0.1074,0.5341
flow,2,2,150,0.0144,200,kernel,kernel,500,1500,0.9833,0.9666,0.9748,0.9744,0.4359,0.4118,0.4235,0.6991
flow,2,2,150,0.0144,200,linear,linear,500,1500,0.9833,0.6930,0.6948,0.8166,0.0267,0.5709,0.0510,0.3729
