T,model,n_cells,mean_full_acc,mean_mode_acc,mean_mode_f1,mean_hall_prec,mean_hall_rec,mean_hall_f1,mean_balanced,mean_n_anchors
100,altered_knn,20,0.8554,0.8619,0.8727,0.0676,0.1526,0.0790,0.4704,52316
100,analytic,20,0.9853,0.9882,0.9887,0.6036,0.7268,0.6453,0.8168,0
100,analytic_T_train,20,0.9854,0.9883,0.9888,0.6107,0.7244,0.6487,0.8185,0
100,kernel,20,0.6874,0.6890,0.6964,0.3127,0.5466,0.2250,0.4570,76000
100,knn,20,0.7385,0.7426,0.7440,0.2880,0.2737,0.2358,0.4892,100002
100,linear,20,0.3567,0.3538,0.4762,0.0087,0.5893,0.0170,0.1854,60502
100,linear_cal,20,0.9088,0.9165,0.9157,0.0489,0.0521,0.0492,0.4829,75503
100,mlp,20,0.9806,0.9835,0.9836,0.6465,0.7022,0.6652,0.8244,87003
100,mlp_cal,20,0.9800,0.9829,0.9835,0.5959,0.7126,0.6349,0.8089,89504
100,polar2,20,0.9464,0.9495,0.9605,0.3021,0.6617,0.3899,0.6697,92500
100,polar2_cal,20,0.9621,0.9669,0.9673,0.4081,0.4732,0.4254,0.6962,86001
100,polar3,20,0.9720,0.9749,0.9773,0.5109,0.6988,0.5812,0.7781,88502
100,polar3_cal,20,0.9736,0.9769,0.9775,0.5400,0.6665,0.5840,0.7804,88503
100,polar8,20,0.9778,0.9804,0.9817,0.5630,0.7289,0.6300,0.8052,87003
100,polar8_cal,20,0.9781,0.9811,0.9817,0.5773,0.7035,0.6206,0.8009,91003
100,quadratic,20,0.9522,0.9560,0.9605,0.5190,0.5647,0.5186,0.7373,75502
100,quadratic_cal,20,0.9580,0.9620,0.9624,0.4835,0.5823,0.5141,0.7381,79502
200,altered_knn,20,0.8563,0.8627,0.8733,0.0628,0.1481,0.0779,0.4703,57983
200,analytic,20,0.9855,0.9883,0.9888,0.6129,0.7235,0.6495,0.8189,0
200,analytic_T_train,20,0.9854,0.9883,0.9888,0.6107,0.7244,0.6487,0.8185,0
200,kernel,20,0.6873,0.6889,0.6962,0.3136,0.5457,0.2248,0.4569,76000
200,knn,20,0.7381,0.7422,0.7437,0.2873,0.2726,0.2352,0.4887,100002
200,linear,20,0.3562,0.3533,0.4757,0.0087,0.5897,0.0170,0.1852,56502
200,linear_cal,20,0.9089,0.9166,0.9157,0.0489,0.0517,0.0490,0.4828,75503
200,mlp,20,0.9806,0.9836,0.9836,0.6549,0.6979,0.6679,0.8258,85504
200,mlp_cal,20,0.9800,0.9830,0.9834,0.6025,0.7084,0.6350,0.8090,89503
200,polar2,20,0.9463,0.9494,0.9605,0.3029,0.6590,0.3898,0.6696,90002
200,polar2_cal,20,0.9621,0.9670,0.9673,0.4088,0.4660,0.4227,0.6949,78502
200,polar3,20,0.9721,0.9750,0.9773,0.5168,0.6961,0.5837,0.7794,86002
200,polar3_cal,20,0.9737,0.9771,0.9776,0.5494,0.6627,0.5875,0.7823,87003
200,polar8,20,0.9779,0.9805,0.9818,0.5685,0.7265,0.6327,0.8066,87003
200,polar8_cal,20,0.9782,0.9812,0.9817,0.5824,0.7008,0.6218,0.8015,93504
200,quadratic,20,0.9523,0.9561,0.9605,0.5239,0.5605,0.5186,0.7373,75502
200,quadratic_cal,20,0.9581,0.9621,0.9625,0.4897,0.5791,0.5162,0.7391,79502
500,altered_knn,20,0.8567,0.8634,0.8732,0.0647,0.1351,0.0750,0.4692,54650
500,analytic,20,0.9855,0.9884,0.9888,0.6156,0.7228,0.6508,0.8196,0
500,analytic_T_train,20,0.9854,0.9883,0.9888,0.6107,0.7244,0.6487,0.8185,0
500,kernel,20,0.6873,0.6889,0.6962,0.3138,0.5453,0.2248,0.4568,76000
500,knn,20,0.7380,0.7421,0.7436,0.2877,0.2722,0.2350,0.4886,100002
500,linear,20,0.3561,0.3532,0.4755,0.0087,0.5898,0.0170,0.1851,54002
500,linear_cal,20,0.9089,0.9166,0.9158,0.0494,0.0516,0.0492,0.4829,75503
500,mlp,20,0.9806,0.9836,0.9836,0.6572,0.6963,0.6684,0.8260,85503
500,mlp_cal,20,0.9801,0.9830,0.9835,0.6058,0.7078,0.6372,0.8101,83003
500,polar2,20,0.9463,0.9493,0.9605,0.3031,0.6580,0.3897,0.6695,90002
500,polar2_cal,20,0.9622,0.9670,0.9673,0.4095,0.4644,0.4225,0.6948,81001
500,polar3,20,0.9721,0.9750,0.9773,0.5186,0.6954,0.5846,0.7798,86002
500,polar3_cal,20,0.9737,0.9771,0.9775,0.5514,0.6612,0.5880,0.7826,91003
500,polar8,20,0.9779,0.9805,0.9817,0.5712,0.7249,0.6337,0.8071,88503
500,polar8_cal,20,0.9782,0.9812,0.9817,0.5857,0.6974,0.6212,0.8012,86002
500,quadratic,20,0.9523,0.9561,0.9605,0.5252,0.5595,0.5187,0.7374,75502
500,quadratic_cal,20,0.9581,0.9622,0.9625,0.4920,0.5777,0.5171,0.7396,79502
1000,altered_knn,20,0.8567,0.8634,0.8732,0.0647,0.1351,0.0750,0.4692,54650
1000,analytic,20,0.9855,0.9884,0.9888,0.6160,0.7228,0.6510,0.8197,0
1000,analytic_T_train,20,0.9854,0.9883,0.9888,0.6107,0.7244,0.6487,0.8185,0
1000,kernel,20,0.6873,0.6889,0.6962,0.3138,0.5454,0.2248,0.4569,76000
1000,knn,20,0.7380,0.7421,0.7435,0.2830,0.2721,0.2348,0.4884,97503
1000,linear,20,0.3561,0.3532,0.4755,0.0087,0.5899,0.0170,0.1851,54002
1000,linear_cal,20,0.9089,0.9166,0.9158,0.0494,0.0516,0.0492,0.4829,75503
1000,mlp,20,0.9806,0.9836,0.9836,0.6577,0.6963,0.6687,0.8262,87003
1000,mlp_cal,20,0.9801,0.9830,0.9834,0.6077,0.7074,0.6381,0.8106,87002
1000,polar2,20,0.9463,0.9494,0.9605,0.3032,0.6577,0.3897,0.6695,90002
1000,polar2_cal,20,0.9621,0.9670,0.9673,0.4089,0.4634,0.4219,0.6944,81001
1000,polar3,20,0.9721,0.9750,0.9773,0.5188,0.6948,0.5844,0.7797,86002
1000,polar3_cal,20,0.9737,0.9771,0.9775,0.5508,0.6613,0.5880,0.7826,91003
1000,polar8,20,0.9779,0.9806,0.9818,0.5709,0.7251,0.6335,0.8070,87003
1000,polar8_cal,20,0.9782,0.9813,0.9817,0.5880,0.6976,0.6233,0.8023,88503
1000,quadratic,20,0.9523,0.9561,0.9605,0.5253,0.5593,0.5186,0.7374,75502
1000,quadratic_cal,20,0.9581,0.9622,0.9625,0.4924,0.5776,0.5173,0.7397,79502
