d,K,T,N,n_hall,n_hall_plain,n_ours,n_iq,n_sas,n_cas,eps,lam,rho_sas,rho_cas,secs,cas|interp,cas|invalid,iq@0.2|interp,iq@0.2|invalid,iq@0.4|interp,iq@0.4|invalid,iq@0.6|interp,iq@0.6|invalid,iq@0.8|interp,iq@0.8|invalid,lam@0.2,lam@0.4,lam@0.6,lam@0.8,n_interp,n_invalid,n_iq@0.2,n_iq@0.4,n_iq@0.6,n_iq@0.8,ours@0.02|interp,ours@0.02|invalid,ours@0.05|interp,ours@0.05|invalid,ours@0.1|interp,ours@0.1|invalid,ours@0.2|interp,ours@0.2|invalid,ours@0.3|interp,ours@0.3|invalid,ours@0.5|interp,ours@0.5|invalid,ours@0.8|interp,ours@0.8|invalid,ours@1.2|interp,ours@1.2|invalid,rods_window,sampler,sas|interp,sas|invalid,tube_d_med,gt
2,2,500,200000,2034,2023,37,,649,579,1.2,,0.3,0.3,829.8,580,875,86,81,274,5,434,3,491,5,0.05,0.002,0.002,0.002,921,1113,1867,1755,1597,1538,761,58,823,148,869,270,908,491,914,672,919,886,919,1032,917,1080,"[0.1, 0.5]",,506,879,0.17820626497268677,gt_cache:d2_K2_s0.pt (100000 seeds) + 100000 model-labelled
2,4,500,200000,2221,2221,27,,462,405,1.2,,0.3,0.3,866.4,1298,518,451,43,609,49,453,44,712,4,0.05,0.05,0.05,0.002,1527,694,1727,1563,1724,1505,1233,29,1378,87,1456,169,1499,307,1511,412,1519,545,1522,633,1523,671,"[0.1, 0.5]",,1243,516,0.14031094312667847,learned-sampler on 200000 seeds
2,8,500,200000,2216,2216,31,,265,277,1.2,,0.3,0.3,859.5,1651,288,466,31,490,43,692,5,857,4,0.05,0.05,0.005,0.005,1817,399,1719,1683,1519,1355,1554,28,1666,45,1746,76,1792,159,1806,222,1808,306,1811,361,1807,378,"[0.1, 0.5]",,1666,285,0.07743038237094879,learned-sampler on 200000 seeds
4,2,500,200000,2035,2035,65,,500,456,1.2,,0.3,0.3,849.0,560,1019,266,98,506,109,419,136,361,89,0.05,0.05,0.05,0.05,694,1341,1671,1420,1480,1585,401,61,527,158,608,328,671,597,685,792,691,1054,693,1222,690,1280,"[0.1, 0.5]",,515,1020,0.35159724950790405,learned-sampler on 200000 seeds
4,4,500,200000,2282,2281,72,,382,386,1.2,,0.3,0.3,862.8,1169,727,451,70,769,75,971,78,998,64,0.05,0.05,0.05,0.05,1298,984,1761,1438,1233,1220,875,39,1022,109,1140,224,1227,427,1258,558,1279,746,1276,879,1276,934,"[0.1, 0.5]",,1169,731,0.319956511259079,learned-sampler on 200000 seeds
4,8,500,200000,2332,2332,84,,336,346,1.2,,0.3,0.3,879.7,1493,493,518,28,784,39,815,41,953,2,0.05,0.05,0.05,0.005,1636,696,1786,1509,1476,1377,1216,16,1387,55,1501,123,1589,262,1611,383,1609,523,1617,606,1606,642,"[0.1, 0.5]",,1499,497,0.3021830916404724,learned-sampler on 200000 seeds
4,16,500,200000,2694,2694,88,,480,459,1.2,,0.3,0.3,927.2,1900,335,473,17,526,23,725,1,858,1,0.05,0.05,0.001,0.001,2187,507,2204,2145,1968,1835,1699,13,1916,36,2048,77,2134,185,2152,272,2159,370,2171,423,2152,454,"[0.1, 0.5]",,1881,333,0.2565593719482422,learned-sampler on 200000 seeds
8,2,500,200000,2210,2210,56,,454,449,1.2,,0.3,0.3,863.7,463,1298,205,135,298,158,198,185,163,99,0.05,0.05,0.05,0.05,503,1707,1870,1754,1827,1948,277,77,366,185,436,403,485,754,498,1016,502,1351,502,1559,499,1655,"[0.1, 0.5]",,457,1299,0.4527778923511505,learned-sampler on 200000 seeds
8,4,500,200000,2181,2181,89,,453,436,1.2,,0.3,0.3,880.0,928,817,222,73,482,82,409,132,308,3,0.05,0.05,0.05,0.001,1047,1134,1886,1617,1640,1870,593,43,756,106,916,232,1010,456,1027,637,1038,855,1044,987,1039,1053,"[0.1, 0.5]",,913,815,0.4497714638710022,learned-sampler on 200000 seeds
8,8,500,200000,2372,2372,104,,505,459,1.2,,0.3,0.3,917.1,1300,613,281,49,623,54,383,110,278,0,0.05,0.05,0.05,0.001,1488,884,2042,1695,1879,2094,861,26,1105,72,1297,148,1411,321,1457,481,1468,656,1471,754,1467,801,"[0.1, 0.5]",,1261,606,0.43094950914382935,learned-sampler on 200000 seeds
