process,d,K,T_train,hall_gt,T,model,arch,n_per_mode,n_anchors,roundtrip_acc,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,2,2,150,0.0093,100,analytic,analytic,0,0,nan,0.9900,0.9924,0.9942,0.5252,0.7252,0.6092,0.8008
ddim,2,2,150,0.0093,100,analytic_T_train,analytic,0,0,nan,0.9909,0.9934,0.9946,0.5732,0.7165,0.6369,0.8152
ddim,2,2,150,0.0093,100,knn,knn,6667,20002,0.9995,0.9887,0.9902,0.9939,0.4615,0.8283,0.5927,0.7915
ddim,2,2,150,0.0093,100,altered_knn,altered_knn,6667,13330,0.9995,0.9805,0.9869,0.9898,0.1799,0.2932,0.2230,0.6049
ddim,2,2,150,0.0093,100,quadratic,quadratic,6667,20002,0.9995,0.9831,0.9868,0.9901,0.3417,0.5848,0.4314,0.7091
ddim,2,2,150,0.0093,100,quadratic_cal,quadratic,6667,20002,0.9995,0.9848,0.9888,0.9910,0.3804,0.5572,0.4521,0.7205
ddim,2,2,150,0.0093,100,polar8,polar,6667,20002,0.9995,0.9898,0.9922,0.9943,0.5088,0.7360,0.6016,0.7969
ddim,2,2,150,0.0093,100,polar8_cal,polar,6667,20002,0.9995,0.9900,0.9924,0.9943,0.5187,0.7327,0.6074,0.7999
ddim,2,2,150,0.0093,100,knn,knn,16667,50002,0.9994,0.9897,0.9918,0.9944,0.4870,0.7657,0.5953,0.7935
ddim,2,2,150,0.0093,100,altered_knn,altered_knn,16667,33330,0.9994,0.9815,0.9878,0.9906,0.1920,0.3056,0.2358,0.6118
ddim,2,2,150,0.0093,100,quadratic,quadratic,16667,50002,0.9994,0.9832,0.9869,0.9902,0.3426,0.5842,0.4319,0.7094
ddim,2,2,150,0.0093,100,quadratic_cal,quadratic,16667,50002,0.9994,0.9850,0.9890,0.9911,0.3831,0.5583,0.4544,0.7217
ddim,2,2,150,0.0093,100,polar8,polar,16667,50002,0.9994,0.9898,0.9922,0.9942,0.5093,0.7370,0.6024,0.7973
ddim,2,2,150,0.0093,100,polar8_cal,polar,16667,50002,0.9994,0.9898,0.9922,0.9942,0.5121,0.7338,0.6032,0.7977
ddim,2,2,150,0.0093,100,knn,knn,33333,99998,0.9994,0.9899,0.9922,0.9944,0.5044,0.7414,0.6003,0.7963
ddim,2,2,150,0.0093,100,altered_knn,altered_knn,33333,66660,0.9994,0.9872,0.9954,0.9930,0.2143,0.1037,0.1397,0.5676
ddim,2,2,150,0.0093,100,quadratic,quadratic,33333,99998,0.9994,0.9833,0.9870,0.9904,0.3400,0.5837,0.4297,0.7084
ddim,2,2,150,0.0093,100,quadratic_cal,quadratic,33333,99998,0.9994,0.9852,0.9892,0.9913,0.3822,0.5551,0.4527,0.7209
ddim,2,2,150,0.0093,100,polar8,polar,33333,99998,0.9994,0.9897,0.9921,0.9942,0.5072,0.7370,0.6009,0.7965
ddim,2,2,150,0.0093,100,polar8_cal,polar,33333,99998,0.9994,0.9899,0.9923,0.9942,0.5138,0.7338,0.6044,0.7983
ddim,2,4,150,0.0066,100,analytic,analytic,0,0,nan,0.9867,0.9883,0.9893,0.5747,0.7492,0.6505,0.8194
ddim,2,4,150,0.0066,100,analytic_T_train,analytic,0,0,nan,0.9875,0.9891,0.9897,0.6325,0.7409,0.6824,0.8358
ddim,2,4,150,0.0066,100,knn,knn,3333,19996,0.9996,0.9823,0.9833,0.9860,0.4569,0.8361,0.5909,0.7871
ddim,2,4,150,0.0066,100,altered_knn,altered_knn,3333,13320,0.9996,0.6577,0.6618,0.6678,0.0325,0.0317,0.0321,0.3470
ddim,2,4,150,0.0066,100,quadratic,quadratic,3333,19996,0.9996,0.9520,0.9538,0.9559,0.4406,0.6805,0.5349,0.7444
ddim,2,4,150,0.0066,100,quadratic_cal,quadratic,3333,19996,0.9996,0.9538,0.9559,0.9566,0.5587,0.6329,0.5935,0.7747
ddim,2,4,150,0.0066,100,polar8,polar,3333,19996,0.9996,0.9860,0.9874,0.9888,0.5449,0.7749,0.6399,0.8136
