T,model,n_cells,mean_full_acc,mean_mode_acc,mean_mode_f1,mean_hall_prec,mean_hall_rec,mean_hall_f1,mean_balanced,mean_n_anchors
100,altered_knn,4,0.7594,0.7639,0.7904,0.0679,0.1375,0.0509,0.4074,26645
100,analytic,4,0.9790,0.9807,0.9816,0.5794,0.7257,0.6433,0.8120,0
100,analytic_T_train,4,0.9795,0.9813,0.9819,0.6198,0.7024,0.6574,0.8194,0
100,knn,4,0.9780,0.9797,0.9808,0.5848,0.7259,0.6424,0.8111,100002
100,polar8,4,0.9788,0.9804,0.9816,0.5633,0.7369,0.6360,0.8082,27498
100,polar8_cal,4,0.9788,0.9805,0.9816,0.5653,0.7389,0.6394,0.8099,47494
100,quadratic,4,0.9477,0.9496,0.9558,0.2779,0.6890,0.3751,0.6624,67504
100,quadratic_cal,4,0.9549,0.9574,0.9584,0.5063,0.5946,0.5452,0.7513,60004
200,altered_knn,4,0.7394,0.7432,0.7841,0.0645,0.2223,0.0603,0.4018,26645
200,analytic,4,0.9797,0.9816,0.9820,0.6385,0.6953,0.6647,0.8231,0
200,analytic_T_train,4,0.9795,0.9813,0.9819,0.6198,0.7024,0.6574,0.8194,0
200,knn,4,0.9786,0.9805,0.9810,0.6321,0.6921,0.6548,0.8176,100002
200,polar8,4,0.9794,0.9813,0.9819,0.6185,0.7036,0.6553,0.8183,42498
200,polar8_cal,4,0.9796,0.9816,0.9819,0.6475,0.6794,0.6599,0.8207,34998
200,quadratic,4,0.9482,0.9503,0.9559,0.2953,0.6640,0.3835,0.6669,67504
200,quadratic_cal,4,0.9553,0.9582,0.9584,0.5620,0.5382,0.5478,0.7530,60004
500,altered_knn,4,0.7966,0.8017,0.8052,0.0705,0.0595,0.0605,0.4311,26645
500,analytic,4,0.9799,0.9819,0.9821,0.6686,0.6784,0.6723,0.8271,0
500,analytic_T_train,4,0.9795,0.9813,0.9819,0.6198,0.7024,0.6574,0.8194,0
500,knn,4,0.9786,0.9807,0.9810,0.6468,0.6725,0.6526,0.8167,100002
500,polar8,4,0.9797,0.9816,0.9820,0.6381,0.6922,0.6610,0.8213,27498
500,polar8_cal,4,0.9798,0.9818,0.9820,0.6654,0.6727,0.6670,0.8244,27498
500,quadratic,4,0.9483,0.9505,0.9559,0.3013,0.6518,0.3853,0.6679,67504
500,quadratic_cal,4,0.9554,0.9584,0.9584,0.5710,0.5224,0.5441,0.7513,60004
