K,d,hallucination rate (%),number of points,effective rank: points in noise space that would hallucinate,effective rank: points that hallucinate in data space,effective rank: points sampled from Gaussian noise,dimensions for 99% of the variance: points in noise space that would hallucinate,dimensions for 99% of the variance: points that hallucinate in data space,dimensions for 99% of the variance: points sampled from Gaussian noise
2,2,1.1176,20000,1.988,1.640,2.000,2,2,2
2,4,1.1551,20000,3.983,2.506,4.000,4,4,4
2,8,1.2112,20000,7.987,4.716,8.000,8,8,8
2,16,1.1964,20000,15.981,4.790,15.998,16,8,16
2,32,1.2651,20000,31.981,7.923,31.993,32,11,32
2,64,1.3816,20000,63.961,13.769,63.974,64,11,64
2,128,1.6666,20000,127.889,31.648,127.892,127,34,127
2,256,2.0262,20000,255.577,65.775,255.583,253,38,253
2,512,2.7562,20000,510.358,150.231,510.336,505,49,505
2,1024,4.2252,20000,1017.369,366.185,1017.330,1008,108,1008
4,2,1.0759,20000,1.987,1.784,2.000,2,2,2
4,4,1.1132,20000,3.968,2.881,4.000,4,4,4
4,8,1.1168,20000,7.979,4.428,8.000,8,4,8
4,16,1.1297,20000,15.976,6.121,15.998,16,4,16
4,32,1.1598,20000,31.975,8.744,31.993,32,3,32
4,64,1.2991,20000,63.961,13.890,63.974,64,3,64
4,128,1.4972,20000,127.885,24.210,127.892,127,3,127
4,256,1.7816,20000,255.584,44.614,255.583,253,3,253
4,512,2.3939,20000,510.344,94.101,510.336,505,3,505
4,1024,3.6235,20000,1017.340,207.668,1017.330,1008,3,1008
8,2,1.0405,20000,2.000,1.998,2.000,2,2,2
8,4,1.0464,20000,3.990,3.583,4.000,4,4,4
8,8,1.0803,20000,7.982,6.423,8.000,8,7,8
8,16,1.0936,20000,15.979,9.096,15.998,16,7,16
8,32,1.1382,20000,31.978,12.486,31.993,32,7,32
8,64,1.2411,20000,63.963,17.591,63.974,64,7,64
8,128,1.3591,20000,127.885,26.349,127.892,127,7,127
8,256,1.6299,20000,255.580,43.740,255.583,253,7,253
8,512,2.1202,20000,510.349,78.853,510.336,505,7,505
8,1024,3.2396,20000,1017.342,159.722,1017.330,1008,7,1008
16,4,1.0368,20000,3.998,3.921,4.000,4,4,4
16,8,1.0535,20000,7.989,7.417,8.000,8,8,8
16,16,1.0902,20000,15.985,12.890,15.998,16,12,16
16,32,1.1195,20000,31.982,18.692,31.993,32,15,32
16,64,1.1789,20000,63.964,24.981,63.974,64,15,64
16,128,1.2845,20000,127.889,34.543,127.892,127,15,127
16,256,1.4909,20000,255.585,51.047,255.583,253,15,253
16,512,1.9300,20000,510.352,82.590,510.336,505,15,505
16,1024,2.8678,20000,1017.329,147.863,1017.330,1008,15,1008
32,4,1.0479,20000,3.999,3.943,4.000,4,4,4
32,8,1.0486,20000,7.995,7.814,8.000,8,8,8
32,16,1.0526,20000,15.990,14.911,15.998,16,15,16
32,32,1.0968,20000,31.987,26.569,31.993,32,26,32
32,64,1.1476,20000,63.967,37.334,63.974,64,30,64
32,128,1.2334,20000,127.890,49.545,127.892,127,31,127
32,256,1.4223,20000,255.588,67.954,255.583,253,31,253
32,512,1.7757,20000,510.337,99.502,510.336,505,31,505
32,1024,2.6385,20000,1017.349,159.558,1017.330,1008,31,1008
