K,d,hallucination rate (%),number of points,effective rank: points in noise space that would hallucinate,effective rank: points that hallucinate in data space,effective rank: points sampled from Gaussian noise,dimensions for 99% of the variance: points in noise space that would hallucinate,dimensions for 99% of the variance: points that hallucinate in data space,dimensions for 99% of the variance: points sampled from Gaussian noise
2,2,1.1176,20000,1.915,1.865,1.783,2,2,2
2,4,1.1551,20000,3.570,2.541,3.527,4,3,4
2,8,1.2112,20000,6.735,4.442,6.830,8,6,8
2,16,1.1964,20000,13.152,6.072,13.211,16,6,16
2,32,1.2651,20000,25.908,5.707,25.678,30,2,30
2,64,1.3816,20000,50.800,10.946,50.192,60,2,60
2,128,1.6666,20000,100.281,26.444,98.742,119,8,118
2,256,2.0262,20000,197.775,51.726,194.530,235,7,234
2,512,2.7562,20000,390.180,75.490,384.761,465,1,463
2,1024,4.2252,20000,769.805,187.254,761.223,915,2,911
4,2,1.0759,20000,1.969,1.654,1.783,2,2,2
4,4,1.1132,20000,3.578,3.077,3.527,4,4,4
4,8,1.1168,20000,6.805,4.624,6.830,8,5,8
4,16,1.1297,20000,13.199,5.827,13.211,16,4,16
4,32,1.1598,20000,25.816,7.865,25.678,30,4,30
4,64,1.2991,20000,50.881,11.462,50.192,60,4,60
4,128,1.4972,20000,100.062,19.152,98.742,119,4,118
4,256,1.7816,20000,197.429,25.409,194.530,235,4,234
4,512,2.3939,20000,389.895,52.883,384.761,465,3,463
4,1024,3.6235,20000,770.440,115.679,761.223,916,3,911
8,2,1.0405,20000,1.997,1.440,1.783,2,2,2
8,4,1.0464,20000,3.572,3.386,3.527,4,4,4
8,8,1.0803,20000,6.797,5.659,6.830,8,6,8
8,16,1.0936,20000,13.179,8.468,13.211,16,7,16
8,32,1.1382,20000,25.886,11.402,25.678,31,7,30
8,64,1.2411,20000,50.833,15.687,50.192,60,9,60
8,128,1.3591,20000,100.129,22.107,98.742,119,8,118
8,256,1.6299,20000,197.413,30.632,194.530,235,8,234
8,512,2.1202,20000,390.070,51.565,384.761,465,7,463
8,1024,3.2396,20000,770.272,87.709,761.223,915,7,911
16,4,1.0368,20000,3.583,3.213,3.527,4,3,4
16,8,1.0535,20000,6.819,6.317,6.830,8,7,8
16,16,1.0902,20000,13.250,11.587,13.211,16,12,16
16,32,1.1195,20000,25.848,16.715,25.678,31,15,30
16,64,1.1789,20000,50.799,21.247,50.192,60,16,60
16,128,1.2845,20000,100.054,28.357,98.742,119,15,118
16,256,1.4909,20000,197.264,38.303,194.530,235,15,234
16,512,1.9300,20000,389.965,54.806,384.761,465,15,463
16,1024,2.8678,20000,769.997,90.413,761.223,915,15,911
32,4,1.0479,20000,3.582,3.216,3.527,4,3,4
32,8,1.0486,20000,6.843,6.533,6.830,8,7,8
32,16,1.0526,20000,13.212,12.457,13.211,16,14,16
32,32,1.0968,20000,25.860,21.739,25.678,30,23,30
32,64,1.1476,20000,50.747,30.591,50.192,60,28,60
32,128,1.2334,20000,100.078,40.633,98.742,119,30,118
32,256,1.4223,20000,197.482,52.084,194.530,235,30,234
32,512,1.7757,20000,390.088,72.847,384.761,465,31,463
32,1024,2.6385,20000,770.314,104.526,761.223,915,31,911
