K,d,hallucination rate (%),number of points,effective rank: points in noise space that would hallucinate,effective rank: points that hallucinate in data space,effective rank: points sampled from Gaussian noise,dimensions for 99% of the variance: points in noise space that would hallucinate,dimensions for 99% of the variance: points that hallucinate in data space,dimensions for 99% of the variance: points sampled from Gaussian noise
2,2,0.9961,20000,1.985,1.654,2.000,2,2,2
2,4,1.0118,20000,3.984,2.519,4.000,4,4,4
2,8,1.0041,20000,7.987,4.743,8.000,8,8,8
2,16,0.9921,20000,15.989,4.785,15.998,16,8,16
2,32,0.9950,20000,31.988,7.909,31.993,32,11,32
2,64,0.9895,20000,63.972,13.727,63.974,64,11,64
2,128,0.9984,20000,127.895,31.584,127.892,127,34,127
2,256,0.9965,20000,255.589,65.622,255.583,253,37,253
2,512,1.0077,20000,510.349,149.806,510.336,505,47,505
2,1024,1.0055,20000,1017.362,365.184,1017.330,1008,105,1008
4,2,1.0080,20000,1.989,1.791,2.000,2,2,2
4,4,1.0020,20000,3.973,2.927,4.000,4,4,4
4,8,1.0025,20000,7.984,4.460,8.000,8,4,8
4,16,1.0140,20000,15.984,6.107,15.998,16,3,16
4,32,0.9867,20000,31.985,8.716,31.993,32,3,32
4,64,1.0027,20000,63.968,13.849,63.974,64,3,64
4,128,1.0027,20000,127.894,24.131,127.892,127,3,127
4,256,1.0096,20000,255.588,44.445,255.583,253,3,253
4,512,0.9963,20000,510.343,93.716,510.336,505,3,505
4,1024,1.0076,20000,1017.382,206.789,1017.330,1008,3,1008
8,2,1.0009,20000,2.000,1.998,2.000,2,2,2
8,4,0.9927,20000,3.993,3.618,4.000,4,4,4
8,8,1.0146,20000,7.986,6.429,8.000,8,7,8
8,16,1.0105,20000,15.984,9.091,15.998,16,7,16
8,32,1.0047,20000,31.984,12.466,31.993,32,7,32
8,64,1.0138,20000,63.971,17.555,63.974,64,7,64
8,128,1.0016,20000,127.894,26.262,127.892,127,7,127
8,256,0.9994,20000,255.592,43.563,255.583,253,7,253
8,512,0.9970,20000,510.354,78.443,510.336,505,7,505
8,1024,1.0116,20000,1017.357,158.868,1017.330,1008,7,1008
16,4,0.9907,20000,3.998,3.922,4.000,4,4,4
16,8,1.0025,20000,7.991,7.422,8.000,8,8,8
16,16,1.0071,20000,15.989,12.889,15.998,16,12,16
16,32,1.0091,20000,31.987,18.672,31.993,32,15,32
16,64,1.0042,20000,63.969,24.937,63.974,64,15,64
16,128,1.0015,20000,127.894,34.448,127.892,127,15,127
16,256,0.9977,20000,255.591,50.847,255.583,253,15,253
16,512,0.9953,20000,510.348,82.213,510.336,505,15,505
16,1024,0.9979,20000,1017.356,147.123,1017.330,1008,15,1008
32,4,1.0009,20000,3.999,3.945,4.000,4,4,4
32,8,0.9988,20000,7.996,7.814,8.000,8,8,8
32,16,0.9872,20000,15.992,14.914,15.998,16,15,16
32,32,1.0063,20000,31.989,26.574,31.993,32,26,32
32,64,0.9959,20000,63.971,37.296,63.974,64,30,64
32,128,1.0004,20000,127.896,49.448,127.892,127,31,127
32,256,1.0120,20000,255.588,67.747,255.583,253,31,253
32,512,1.0020,20000,510.353,99.124,510.336,505,31,505
32,1024,1.0021,20000,1017.337,158.854,1017.330,1008,31,1008
