K,d,hallucination rate (%),number of points,effective rank: points in noise space that would hallucinate,effective rank: points that hallucinate in data space,effective rank: points sampled from Gaussian noise,dimensions for 99% of the variance: points in noise space that would hallucinate,dimensions for 99% of the variance: points that hallucinate in data space,dimensions for 99% of the variance: points sampled from Gaussian noise
2,2,0.9961,20000,1.930,1.884,1.783,2,2,2
2,4,1.0118,20000,3.517,2.565,3.527,4,3,4
2,8,1.0041,20000,6.681,4.474,6.830,8,6,8
2,16,0.9921,20000,13.099,6.088,13.211,16,6,16
2,32,0.9950,20000,25.799,5.731,25.678,31,2,30
2,64,0.9895,20000,50.820,10.949,50.192,60,2,60
2,128,0.9984,20000,100.144,26.439,98.742,119,8,118
2,256,0.9965,20000,197.578,51.639,194.530,235,7,234
2,512,1.0077,20000,390.227,75.131,384.761,465,1,463
2,1024,1.0055,20000,770.531,186.194,761.223,915,2,911
4,2,1.0080,20000,1.952,1.673,1.783,2,2,2
4,4,1.0020,20000,3.525,3.140,3.527,4,4,4
4,8,1.0025,20000,6.759,4.658,6.830,8,5,8
4,16,1.0140,20000,13.154,5.841,13.211,16,4,16
4,32,0.9867,20000,25.850,7.885,25.678,31,4,30
4,64,1.0027,20000,50.813,11.439,50.192,60,4,60
4,128,1.0027,20000,100.064,19.147,98.742,119,4,118
4,256,1.0096,20000,197.431,25.694,194.530,235,4,234
4,512,0.9963,20000,390.093,52.629,384.761,465,3,463
4,1024,1.0076,20000,770.866,115.090,761.223,916,3,911
8,2,1.0009,20000,1.997,1.439,1.783,2,2,2
8,4,0.9927,20000,3.599,3.406,3.527,4,4,4
8,8,1.0146,20000,6.809,5.604,6.830,8,6,8
8,16,1.0105,20000,13.196,8.498,13.211,16,7,16
8,32,1.0047,20000,25.840,11.408,25.678,31,7,30
8,64,1.0138,20000,50.773,15.643,50.192,60,9,60
8,128,1.0016,20000,100.065,22.074,98.742,119,8,118
8,256,0.9994,20000,197.446,30.608,194.530,235,8,234
8,512,0.9970,20000,390.356,51.295,384.761,465,7,463
8,1024,1.0116,20000,770.697,87.986,761.223,915,7,911
16,4,0.9907,20000,3.598,3.223,3.527,4,3,4
16,8,1.0025,20000,6.811,6.353,6.830,8,7,8
16,16,1.0071,20000,13.217,11.608,13.211,16,12,16
16,32,1.0091,20000,25.844,16.709,25.678,31,15,30
16,64,1.0042,20000,50.759,21.287,50.192,60,16,60
16,128,1.0015,20000,100.053,28.344,98.742,119,15,118
16,256,0.9977,20000,197.496,38.250,194.530,235,15,234
16,512,0.9953,20000,390.098,54.549,384.761,465,15,463
16,1024,0.9979,20000,770.715,90.062,761.223,916,15,911
32,4,1.0009,20000,3.576,3.226,3.527,4,4,4
32,8,0.9988,20000,6.836,6.559,6.830,8,7,8
32,16,0.9872,20000,13.214,12.458,13.211,16,14,16
32,32,1.0063,20000,25.852,21.787,25.678,31,23,30
32,64,0.9959,20000,50.773,30.614,50.192,60,28,60
32,128,1.0004,20000,100.039,40.565,98.742,119,30,118
32,256,1.0120,20000,197.501,51.988,194.530,235,30,234
32,512,1.0020,20000,390.028,72.612,384.761,465,31,463
32,1024,1.0021,20000,770.695,103.996,761.223,915,31,911
