K,d,number of projections r,number of points,"upper bound min(r, d + 2)",rank before the nonlinearity: at initialisation,rank before the nonlinearity: trained,rank after the nonlinearity: at initialisation,rank after the nonlinearity: trained,anchors per mode (training),smallest distance between two points (noise space),"singular-value gap at the cut, before, at initialisation","singular-value gap at the cut, before, trained","singular-value gap at the cut, after, at initialisation","singular-value gap at the cut, after, trained",seconds to build and train the network
2,2,256,256,4,4,4,16,16,20000,0.0006582,5.317e-15,3.846e-15,9.575e-11,5.524e-11,5.858
2,4,256,256,6,6,6,50,50,20000,0.1444,5.62e-15,3.726e-15,3.387e-10,1.204e-10,5.164
2,8,256,256,10,10,10,210,210,20000,0.9249,7.741e-15,7.636e-15,1.85e-09,3.075e-10,49.33
2,16,256,256,18,18,18,256,256,20000,3.522,7.717e-15,6.408e-15,0,0,49.44
2,32,256,256,34,34,34,256,256,20000,5.621,9.908e-15,1.304e-14,0,0,4.571
2,64,256,256,66,66,66,256,256,20000,10.01,1.585e-14,3.03e-14,0,0,47.69
2,128,256,256,130,130,130,256,256,20000,14.82,4.203e-14,4.107e-14,0,0,48.53
2,256,256,256,256,256,256,256,256,20000,21.5,0,0,0,0,48.9
2,512,256,256,256,256,256,256,256,20000,30.28,0,0,0,0,48.08
4,2,256,256,4,4,4,16,16,20000,2.956e-05,3.785e-15,1.865e-15,1.956e-12,5.21e-13,6.427
4,4,256,256,6,6,6,50,50,20000,0.1406,6.547e-15,2.77e-15,4.157e-12,2.762e-13,5.688
4,8,256,256,10,10,10,210,210,20000,1.098,3.926e-15,7.183e-15,4.32e-12,2.109e-12,49.59
4,16,256,256,18,18,18,256,256,20000,2.133,3.505e-15,6.313e-15,0,0,4.981
4,32,256,256,34,34,34,256,256,20000,5.744,7.4e-15,1.517e-14,0,0,47.74
4,64,256,256,66,66,66,256,256,20000,9.205,1.438e-14,3.322e-14,0,0,47.65
4,128,256,256,130,130,130,256,256,20000,14.59,3.3e-14,4.927e-14,0,0,48.77
4,256,256,256,256,256,256,256,256,20000,21.63,0,0,0,0,48.62
4,512,256,256,256,256,256,256,256,20000,31.21,0,0,0,0,46.9
8,2,256,256,4,4,4,16,16,20000,2.65e-05,1.103e-14,1.104e-14,1.994e-11,1.474e-11,6.553
8,4,256,256,6,6,6,50,50,20000,0.1343,5.675e-15,4.713e-15,3.963e-12,7.06e-13,6.516
8,8,256,256,10,10,10,210,210,20000,1.225,4.578e-15,4.941e-15,6.741e-12,1.373e-12,50.68
8,16,256,256,18,18,18,256,256,20000,2.521,4.072e-15,5.362e-15,0,0,5.719
8,32,256,256,34,34,34,256,256,20000,5.759,5.972e-15,1.921e-14,0,0,48.48
8,64,256,256,66,66,66,256,256,20000,9.883,1.658e-14,3.088e-14,0,0,49.27
8,128,256,256,130,130,130,256,256,20000,14.24,2.544e-14,7.206e-14,0,0,49.39
8,256,256,256,256,256,256,256,256,20000,21.03,0,0,0,0,48.23
8,512,256,256,256,256,256,256,256,20000,31.02,0,0,0,0,58.91
