K,d,number of projections r,number of points,"upper bound min(r, d + 2)",rank before the nonlinearity: at initialisation,rank before the nonlinearity: trained,rank after the nonlinearity: at initialisation,rank after the nonlinearity: trained,anchors per mode (training),smallest distance between two points (noise space),"singular-value gap at the cut, before, at initialisation","singular-value gap at the cut, before, trained","singular-value gap at the cut, after, at initialisation","singular-value gap at the cut, after, trained",seconds to build and train the network
2,2,256,256,4,4,4,16,16,20000,0.0006574,3.223e-15,2.437e-15,4.26e-11,2.851e-11,46.86
2,4,256,256,6,6,6,50,50,20000,0.1456,6.065e-15,3.959e-15,9.425e-10,2.84e-10,46.89
2,8,256,256,10,10,10,210,210,20000,0.9324,8.117e-15,5.358e-15,6.431e-09,7.784e-10,4.65
2,16,256,256,18,18,18,256,256,20000,3.524,8.402e-15,6.11e-15,0,0,4.615
2,32,256,256,34,34,34,256,256,20000,5.634,1.098e-14,1.341e-14,0,0,4.853
2,64,256,256,66,66,66,256,256,20000,10.09,1.505e-14,2.274e-14,0,0,4.213
2,128,256,256,130,130,130,256,256,20000,14.93,3.588e-14,3.875e-14,0,0,6.242
2,256,256,256,256,256,256,256,256,20000,21.68,0,0,0,0,10.91
2,512,256,256,256,256,256,256,256,20000,30.53,0,0,0,0,5.527
4,2,256,256,4,4,4,16,16,20000,3.254e-05,2.073e-15,2.405e-15,7.156e-13,2.284e-13,46.9
4,4,256,256,6,6,6,50,50,20000,0.1416,6.872e-15,2.926e-15,3.087e-12,2.412e-13,47.15
4,8,256,256,10,10,10,210,210,20000,1.105,6.28e-15,5.028e-15,5.256e-12,2.167e-12,4.563
4,16,256,256,18,18,18,256,256,20000,2.132,4.605e-15,8.374e-15,0,0,4.791
4,32,256,256,34,34,34,256,256,20000,5.775,6.766e-15,1.21e-14,0,0,4.802
4,64,256,256,66,66,66,256,256,20000,9.249,1.305e-14,2.815e-14,0,0,4.479
4,128,256,256,130,130,130,256,256,20000,14.66,2.687e-14,5.247e-14,0,0,8.485
4,256,256,256,256,256,256,256,256,20000,21.79,0,0,0,0,18.19
4,512,256,256,256,256,256,256,256,20000,31.46,0,0,0,0,6.576
8,2,256,256,4,4,4,16,16,20000,2.171e-05,1.225e-14,1.19e-14,1.818e-11,9.654e-12,47.68
8,4,256,256,6,6,6,50,50,20000,0.1344,7.548e-15,3.653e-15,3.055e-12,5.21e-13,47.37
8,8,256,256,10,10,10,210,210,20000,1.232,5.969e-15,4.187e-15,5.542e-12,1.073e-12,5.338
8,16,256,256,18,18,18,256,256,20000,2.532,5.011e-15,6.047e-15,0,0,5.529
8,32,256,256,34,34,34,256,256,20000,5.744,5.617e-15,1.568e-14,0,0,5.955
8,64,256,256,66,66,66,256,256,20000,9.947,1.184e-14,3.09e-14,0,0,5.435
8,128,256,256,130,130,130,256,256,20000,14.31,2.277e-14,9.394e-14,0,0,14.01
8,256,256,256,256,256,256,256,256,20000,21.2,0,0,0,0,34.55
8,512,256,256,256,256,256,256,256,20000,31.21,0,0,0,0,10.06
